ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
1,8,810,6212,810
2,10,1810,6212,1810
3,12,2280,6212,2280
4,20,2510,6212,2510
5,22,2510,6212,2510
6,30,2990,6212,2990
7,32,3990,6212,3990
8,36,4990,6212,4990
9,38,5990,6212,5990
10,40,6990,6212,6990
11,42,7990,6212,7990
12,50,8990,6212,8990
13,58,9990,6212,9990
14,66,10800,6212,10800
15,74,11800,6212,11800
16,82,12800,6212,12800
17,90,12800,6212,12800
18,92,13800,6212,13800
19,100,14800,6212,14800
20,108,14800,6212,14800
21,116,15270,6212,15270
22,124,16270,6212,16270
23,132,16270,6212,16270
24,140,16920,6212,16920
25,148,17920,6212,17920
26,156,18290,6212,18290
27,158,19290,6212,19290
28,166,19520,6212,19520
29,168,20520,6212,20520
30,170,20990,6212,20990
31,178,21640,6212,21640
32,186,22640,6212,22640
33,194,23110,6212,23110
34,202,24110,6212,24110
35,204,25110,6212,25110
36,206,26110,6212,26110
37,214,27110,6212,27110
38,216,27920,6212,27920
39,224,28390,6212,28390
40,226,29390,6212,29390
41,234,29850,6212,29850
42,242,30070,6212,30070
43,250,32070,6212,32070
44,252,33070,6212,33070
45,254,33880,6212,33880
46,262,33880,6212,33880
47,270,34340,6212,34340
48,272,34990,6212,34990
49,280,35990,6212,35990
50,288,36990,6212,36990
51,296,37800,6212,37800
52,304,38800,6212,38800
53,306,39800,6212,39800
54,308,40270,6212,40270
55,316,41080,6212,41080
56,318,42080,6212,42080
57,320,42730,6212,42730
58,322,43730,6212,43730
59,330,44730,6212,44730
60,332,45050,6212,45050
61,340,45280,6212,45280
62,348,45750,6212,45750
63,356,46750,6212,46750
64,364,47560,6212,47560
65,366,48560,6212,48560
66,368,49030,6212,49030
67,370,49680,6212,49680
68,372,50490,6212,50490
69,374,50960,6212,50960
70,382,51960,6212,51960
71,386,52610,6212,52610
72,388,53080,6212,53080
73,396,54080,6212,54080
74,404,54890,6212,54890
75,412,55890,6212,55890
76,420,56210,6212,56210
77,422,57210,6212,57210
77,422,58210,6212,58210
78,424,59210,6212,59210
78,424,60210,6212,60210
79,432,61020,6212,61020
80,440,61830,6212,61830
81,448,62300,6212,62300
82,456,63300,6212,63300
83,464,63770,6212,63770
84,472,64770,6212,64770
85,474,65420,6212,65420
86,478,66230,6212,66230
87,480,67230,6212,67230
88,488,67710,6212,67710
89,492,68030,6212,68030
90,500,68840,6212,68840
91,502,69490,6212,69490
92,506,69960,6212,69960
93,514,70960,6212,70960
94,516,71960,6212,71960
95,524,72960,6212,72960
96,532,73960,6212,73960
97,540,74960,6212,74960
98,542,75960,6212,75960
99,550,76430,6212,76430
100,558,76900,6212,76900
101,560,77370,6212,77370
102,568,78370,6212,78370
103,576,79370,6212,79370
104,578,80370,6212,80370
105,586,80960,6212,80960
