ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
345089.06,5.56,0.38,172259.35,2.77
345051.18,5.56,0.38,171602.44,2.76
345421.9,5.56,0.39,171731.62,2.77
345942.13,5.57,0.4,171731.62,2.77
345942.13,5.57,0.4,171618.51,2.76
346304.88,5.58,0.41,171618.53,2.76
346773.5,5.59,0.41,171534.5,2.76
347050.78,5.59,0.42,172596.85,2.78
346999.05,5.59,0.42,172483.74,2.78
346961.18,5.59,0.42,171826.84,2.77
346909.45,5.59,0.42,171823.59,2.77
346857.73,5.59,0.42,171823.59,2.77
346806.01,5.59,0.42,171823.59,2.77
346942.83,5.59,0.42,171823.59,2.77
346891.11,5.59,0.42,171823.59,2.77
346839.38,5.59,0.42,171823.61,2.77
346839.38,5.59,0.42,171823.61,2.77
346787.66,5.59,0.42,171758.62,2.77
346735.94,5.6,0.42,171758.62,2.77
346735.94,5.6,0.42,171758.62,2.77
347106.65,5.6,0.43,171758.62,2.77
347054.93,5.6,0.43,171758.62,2.77
347054.93,5.6,0.43,171758.62,2.77
347327.34,5.61,0.43,171758.62,2.77
347275.61,5.61,0.43,171758.62,2.77
347712.95,5.61,0.44,171758.62,2.77
347661.22,5.61,0.44,171755.38,2.77
348181.45,5.62,0.45,171755.38,2.77
348129.73,5.62,0.45,171690.38,2.77
348500.44,5.63,0.46,171819.56,2.78
348772.85,5.63,0.46,171819.56,2.78
348721.13,5.63,0.46,171819.56,2.78
349091.84,5.64,0.47,171819.56,2.78
349040.12,5.64,0.47,171819.56,2.78
349840.86,5.65,0.48,172003.95,2.78
349789.13,5.65,0.48,171890.85,2.78
349737.41,5.65,0.48,171890.85,2.78
349874.23,5.66,0.49,172013.46,2.78
350244.95,5.66,0.49,172013.46,2.78
350193.23,5.66,0.49,171983.42,2.78
350571.91,5.67,0.5,171983.42,2.78
351099.57,5.68,0.51,171983.49,2.78
350996.12,5.68,0.51,171983.68,2.78
350944.4,5.68,0.51,171875.36,2.78
351081.22,5.68,0.51,171997.97,2.78
351081.22,5.68,0.51,171997.97,2.78
351459.91,5.69,0.52,171997.97,2.78
351732.32,5.69,0.52,172061.87,2.79
351680.59,5.69,0.52,172061.87,2.79
351628.87,5.69,0.52,172061.87,2.79
351765.7,5.7,0.52,172061.87,2.79
351713.97,5.7,0.53,172061.87,2.79
351662.25,5.7,0.53,171948.77,2.79
352032.96,5.7,0.53,172063.71,2.79
352169.79,5.71,0.53,172063.71,2.79
352118.07,5.71,0.53,171951.47,2.79
352390.47,5.71,0.54,172014.81,2.79
352338.75,5.71,0.54,171902.57,2.79
352287.03,5.71,0.54,171902.57,2.79
352754.25,5.72,0.55,171824.44,2.79
353274.48,5.73,0.56,171824.44,2.79
353645.19,5.74,0.56,171824.44,2.79
353593.47,5.74,0.56,171824.44,2.79
353730.3,5.74,0.57,171824.44,2.79
353678.57,5.74,0.57,171794.95,2.79
354049.29,5.74,0.57,171909.89,2.79
354321.7,5.75,0.58,171973.79,2.79
354458.52,5.75,0.58,172096.4,2.79
354829.24,5.76,0.59,172211.34,2.8
354777.52,5.76,0.59,172211.34,2.8
355049.92,5.76,0.59,172213.84,2.8
355420.64,5.77,0.6,172328.78,2.8
355368.92,5.77,0.6,172328.78,2.8
355505.74,5.77,0.6,172328.78,2.8
355454.02,5.77,0.6,172328.78,2.8
355907.39,5.78,0.61,172328.78,2.8
355855.67,5.78,0.61,172263.79,2.8
355803.94,5.78,0.61,172262.92,2.8
355752.22,5.78,0.61,172259.68,2.8
355700.5,5.78,0.61,172259.68,2.8
355837.32,5.79,0.61,172259.68,2.8
355974.15,5.79,0.62,172259.68,2.8
356344.87,5.79,0.62,172259.68,2.8
356293.14,5.79,0.62,172259.68,2.8
356663.86,5.8,0.63,172259.68,2.8
356612.14,5.8,0.63,172259.68,2.8
356884.54,5.81,0.63,172323.58,2.8
357021.37,5.81,0.64,171930.3,2.8
357510.91,5.82,0.65,171803.5,2.8
357873.66,5.82,0.65,171803.52,2.8
358327.03,5.83,0.66,171339.16,2.79
358463.86,5.84,0.66,171339.16,2.79
358736.26,5.84,0.67,171403.06,2.79
359142.6,5.85,0.67,171785.36,2.8
359090.87,5.85,0.67,171785.36,2.8
359891.61,5.86,0.69,171969.75,2.8
359839.88,5.86,0.69,171969.75,2.8
359788.16,5.86,0.69,171969.75,2.8
359736.43,5.86,0.69,171969.75,2.8
359684.71,5.86,0.69,171966.51,2.8
360055.43,5.87,0.7,171966.51,2.8
360426.15,5.87,0.7,171966.51,2.8
360796.86,5.88,0.71,172081.45,2.81
360745.14,5.88,0.71,172081.45,2.81
360693.42,5.88,0.71,172081.45,2.81
360641.69,5.88,0.71,171968.35,2.8
360967.06,5.89,0.72,171968.35,2.8
360915.33,5.89,0.72,171968.35,2.81
360863.61,5.89,0.72,171968.35,2.81
360811.88,5.89,0.72,171968.35,2.81
360760.16,5.89,0.72,171968.35,2.81
360708.44,5.89,0.72,171968.35,2.81
360656.71,5.89,0.72,171855.25,2.81
360604.99,5.89,0.72,171742.15,2.8
360975.71,5.89,0.72,171742.15,2.8
361301.07,5.9,0.73,171742.15,2.8
361249.35,5.9,0.73,171738.9,2.81
361197.62,5.9,0.73,171738.9,2.81
361334.45,5.9,0.73,171738.9,2.81
361606.85,5.91,0.74,171912.88,2.81
361555.13,5.91,0.74,171912.88,2.81
361503.41,5.91,0.74,171912.88,2.81
361451.68,5.91,0.74,171912.88,2.81
361822.4,5.92,0.74,171912.88,2.81
361770.68,5.92,0.74,171892.57,2.81
362149.36,5.92,0.75,171892.57,2.81
362097.64,5.92,0.75,171844.46,2.81
362045.92,5.92,0.75,171731.36,2.81
362416.63,5.93,0.76,171731.36,2.81
362364.91,5.93,0.76,171731.36,2.81
362364.91,5.93,0.76,171618.26,2.81
362501.74,5.93,0.76,171740.87,2.81
362450.01,5.93,0.76,171740.87,2.81
362820.73,5.94,0.77,171740.87,2.81
363199.42,5.95,0.77,172143.81,2.82
363147.69,5.95,0.77,172140.57,2.82
363095.97,5.95,0.77,172140.57,2.82
363044.25,5.95,0.77,172137.32,2.82
363181.07,5.95,0.78,172137.32,2.82
363129.35,5.95,0.78,172137.32,2.82
363077.62,5.95,0.78,172024.22,2.82
363077.62,5.95,0.78,172024.22,2.82
363214.45,5.95,0.78,172024.22,2.82
363162.72,5.95,0.78,172024.22,2.82
363111.0,5.95,0.78,172024.22,2.82
363247.83,5.96,0.78,172146.51,2.82
363196.1,5.96,0.78,172146.51,2.82
363144.38,5.96,0.78,172033.41,2.82
363092.65,5.96,0.78,172030.17,2.82
363040.93,5.96,0.78,172159.2,2.82
362989.21,5.96,0.78,172155.96,2.83
362937.48,5.96,0.78,172155.96,2.83
362885.76,5.96,0.78,172155.96,2.83
363022.58,5.96,0.79,172278.58,2.83
363022.58,5.96,0.79,172330.87,2.83
363393.3,5.97,0.79,172445.82,2.83
363718.67,5.97,0.8,172445.82,2.83
363666.94,5.97,0.8,172445.82,2.83
363615.22,5.97,0.8,172416.32,2.83
363563.49,5.97,0.8,172416.32,2.83
363934.21,5.98,0.81,172416.32,2.83
363934.21,5.98,0.81,172416.63,2.83
364071.04,5.98,0.81,172416.63,2.83
364033.16,5.98,0.81,171852.15,2.82
364305.57,5.99,0.82,171852.15,2.82
364825.8,6.0,0.82,171947.98,2.83
365151.16,6.0,0.83,171947.98,2.83
365521.88,6.01,0.84,171947.98,2.83
365658.7,6.01,0.84,172070.6,2.83
366029.42,6.02,0.85,172199.77,2.83
366166.25,6.02,0.85,172199.75,2.83
366303.07,6.02,0.85,172322.37,2.83
366251.35,6.02,0.85,172322.37,2.83
366199.63,6.03,0.85,172322.37,2.84
366570.34,6.03,0.86,172633.79,2.84
366518.62,6.03,0.86,172633.79,2.84
366518.62,6.03,0.86,172633.79,2.84
366466.9,6.03,0.86,172520.68,2.84
366603.72,6.03,0.86,172643.3,2.84
366740.55,6.04,0.87,172643.72,2.84
366688.82,6.04,0.87,172614.23,2.84
366637.1,6.04,0.87,172584.74,2.84
366637.1,6.04,0.87,172584.74,2.84
366773.92,6.04,0.87,172707.36,2.84
366757.81,6.04,0.87,172813.37,2.85
366894.64,6.05,0.87,172813.37,2.85
366842.92,6.05,0.87,172700.27,2.85
366979.74,6.05,0.88,172822.88,2.85
366928.02,6.05,0.88,172822.88,2.85
367200.42,6.05,0.88,172822.88,2.85
367337.25,6.06,0.88,172822.88,2.85
367321.14,6.06,0.89,173052.26,2.85
367269.41,6.06,0.89,173049.02,2.85
367217.69,6.06,0.89,173049.02,2.85
367354.52,6.06,0.89,173236.07,2.86
367302.79,6.06,0.89,173206.03,2.86
367439.62,6.06,0.89,173328.64,2.86
367453.13,6.07,0.89,173271.16,2.86
367725.54,6.07,0.9,173271.16,2.86
368096.25,6.08,0.9,173271.16,2.86
368044.53,6.08,0.9,173271.16,2.86
367992.81,6.08,0.9,173271.16,2.86
367941.08,6.08,0.9,173274.62,2.86
368077.91,6.08,0.91,173274.62,2.86
368214.73,6.08,0.91,173274.62,2.86
368351.56,6.09,0.91,173274.62,2.86
368820.19,6.1,0.92,173190.58,2.86
368768.46,6.1,0.92,173190.58,2.86
369754.22,6.11,0.94,173632.68,2.87
369702.5,6.11,0.94,173519.57,2.87
369650.77,6.11,0.94,173516.33,2.87
369599.05,6.11,0.94,173403.23,2.87
369547.33,6.11,0.94,173403.23,2.87
369495.6,6.11,0.94,173403.23,2.87
369866.32,6.12,0.95,173403.23,2.87
369866.32,6.12,0.95,173403.23,2.87
370400.4,6.13,0.96,173248.75,2.87
370672.8,6.13,0.96,173312.64,2.87
371126.18,6.14,0.97,173312.64,2.87
371074.45,6.14,0.97,173312.64,2.87
371074.45,6.14,0.97,173312.64,2.87
371453.14,6.15,0.98,173312.64,2.87
371437.03,6.15,0.98,173489.69,2.87
371905.66,6.16,0.99,173405.65,2.87
371853.93,6.16,0.99,173405.65,2.87
371802.21,6.16,0.99,173405.65,2.87
371750.48,6.16,0.99,173405.65,2.87
371887.31,6.16,0.99,173405.65,2.87
371835.59,6.16,0.99,173405.65,2.87
371972.41,6.17,0.99,173405.65,2.87
371920.69,6.17,0.99,173292.55,2.87
372291.41,6.17,1.0,173603.97,2.88
372299.89,6.17,1.0,172872.34,2.87
372670.6,6.18,1.01,173001.52,2.87
373139.23,6.19,1.02,172917.48,2.87
373411.64,6.19,1.02,172917.48,2.87
373359.91,6.19,1.02,172917.48,2.87
373496.74,6.2,1.02,173040.1,2.87
373445.01,6.2,1.02,173040.1,2.87
373428.9,6.2,1.03,172990.2,2.87
373873.15,6.21,1.03,173200.08,2.87
373821.43,6.21,1.03,173091.76,2.87
373958.26,6.21,1.04,173091.76,2.87
374478.48,6.22,1.05,173092.04,2.87
374931.86,6.23,1.05,173218.03,2.88
374880.13,6.23,1.05,173214.79,2.88
375242.29,6.23,1.06,173214.79,2.88
375190.56,6.23,1.06,173185.3,2.88
375327.39,6.24,1.06,173307.59,2.88
375464.21,6.24,1.07,173194.49,2.88
375834.93,6.25,1.07,173194.49,2.88
375783.21,6.25,1.07,173194.49,2.88
375731.48,6.25,1.07,173194.49,2.88
375679.76,6.25,1.07,173194.49,2.88
375628.04,6.25,1.07,173194.49,2.88
375995.47,6.25,1.08,172942.19,2.88
375943.75,6.25,1.08,172938.94,2.88
375892.03,6.25,1.08,172935.7,2.88
376262.74,6.26,1.09,172935.7,2.88
376211.02,6.26,1.09,172932.46,2.88
376211.02,6.26,1.09,172821.83,2.88
376483.43,6.27,1.09,172885.73,2.88
376431.7,6.27,1.09,172882.49,2.88
376379.98,6.27,1.09,172882.49,2.88
376742.13,6.27,1.1,172882.49,2.88
376878.96,6.28,1.1,173005.1,2.88
376827.23,6.28,1.1,173005.1,2.88
376775.51,6.28,1.1,173005.1,2.88
376723.79,6.28,1.1,173005.1,2.88
376672.06,6.28,1.1,172940.11,2.88
376620.34,6.28,1.1,172940.11,2.88
377076.4,6.28,1.11,172940.13,2.88
377024.67,6.28,1.11,172939.82,2.88
376972.95,6.28,1.11,172939.82,2.88
376921.23,6.28,1.11,172939.82,2.88
376869.5,6.28,1.11,172826.71,2.88
376817.78,6.29,1.11,172823.47,2.88
377188.49,6.29,1.12,172952.65,2.88
377136.77,6.29,1.12,172952.68,2.89
377085.05,6.29,1.12,172952.68,2.89
376878.15,6.29,1.12,172952.68,2.89
376826.43,6.29,1.12,172949.44,2.89
377165.64,6.3,1.13,172322.13,2.88
377113.92,6.3,1.13,172322.13,2.88
377558.17,6.31,1.13,172886.01,2.89
378011.54,6.32,1.14,172886.01,2.89
378455.79,6.32,1.15,172773.67,2.89
378404.07,6.32,1.15,172773.67,2.89
378352.34,6.32,1.15,172660.57,2.89
378300.62,6.32,1.15,172660.59,2.89
378248.9,6.32,1.15,172550.73,2.88
378619.61,6.33,1.16,172550.73,2.88
378892.02,6.34,1.16,172540.72,2.89
378840.3,6.34,1.16,172520.4,2.89
379211.01,6.34,1.17,172520.4,2.89
379159.29,6.34,1.17,172490.91,2.89
379107.57,6.34,1.17,172470.6,2.89
379055.84,6.34,1.17,172470.6,2.89
379004.12,6.34,1.17,172450.28,2.89
378952.39,6.34,1.17,172340.42,2.88
378900.67,6.34,1.17,172310.93,2.88
378848.95,6.34,1.17,172392.06,2.89
379302.32,6.35,1.18,172518.61,2.89
379250.6,6.35,1.18,172518.61,2.89
379387.42,6.35,1.18,172518.61,2.89
379524.25,6.36,1.19,172518.61,2.89
379894.97,6.36,1.19,172518.61,2.89
380031.79,6.37,1.2,172518.61,2.89
380402.51,6.37,1.2,172633.55,2.89
380855.88,6.38,1.21,172759.54,2.9
380992.71,6.39,1.21,172882.16,2.9
380940.99,6.39,1.21,172882.13,2.9
381266.35,6.39,1.22,172882.13,2.9
381214.63,6.39,1.22,172882.13,2.9
381162.9,6.39,1.22,172882.13,2.9
381299.73,6.4,1.22,172882.13,2.9
381248.0,6.4,1.22,172882.13,2.9
381196.28,6.4,1.22,172882.13,2.9
381468.69,6.4,1.23,172946.03,2.9
381416.96,6.4,1.23,172417.44,2.89
381365.24,6.4,1.23,172417.44,2.89
381502.06,6.4,1.23,172417.44,2.89
381880.75,6.41,1.24,172417.44,2.89
382153.16,6.42,1.24,172481.34,2.9
382101.44,6.42,1.24,172481.34,2.9
382049.71,6.42,1.24,172481.34,2.9
382539.25,6.43,1.25,172354.54,2.9
383048.45,6.44,1.26,173220.29,2.91
382996.73,6.44,1.26,173199.98,2.91
383367.45,6.44,1.27,173199.98,2.91
383738.17,6.45,1.28,173199.98,2.91
384010.57,6.45,1.28,173199.98,2.91
383958.85,6.45,1.28,173199.98,2.91
384329.57,6.46,1.29,173485.14,2.92
384601.97,6.47,1.29,173485.14,2.92
385091.51,6.48,1.3,173408.75,2.92
385581.06,6.49,1.31,173332.36,2.92
385717.88,6.49,1.32,173454.98,2.92
385666.16,6.49,1.32,173454.98,2.92
385614.43,6.49,1.32,173454.98,2.92
385562.71,6.49,1.32,173454.98,2.92
385699.54,6.49,1.32,173454.98,2.92
385699.54,6.49,1.32,173341.32,2.92
385647.81,6.49,1.32,173341.32,2.92
386018.53,6.5,1.33,173341.32,2.92
385966.81,6.5,1.33,173489.66,2.92
385915.08,6.5,1.33,173489.66,2.92
386368.46,6.51,1.34,173489.66,2.92
386316.73,6.51,1.34,173376.56,2.92
386265.01,6.51,1.34,173376.56,2.92
386590.37,6.51,1.34,173376.56,2.92
386538.65,6.51,1.34,173376.56,2.92
386486.92,6.51,1.34,173376.56,2.92
386435.2,6.51,1.34,173376.56,2.92
386707.61,6.52,1.35,173376.56,2.92
386655.88,6.52,1.35,173376.56,2.92
386604.16,6.52,1.35,173376.56,2.92
386552.43,6.52,1.35,173376.56,2.92
386500.71,6.52,1.35,173376.56,2.93
386448.99,6.52,1.35,173376.56,2.93
386448.99,6.52,1.35,173376.56,2.93
386819.7,6.53,1.36,173505.74,2.93
387190.42,6.53,1.36,173505.74,2.93
387327.25,6.54,1.37,173505.74,2.93
387275.52,6.54,1.37,173505.74,2.93
387223.8,6.54,1.37,173476.25,2.93
387172.08,6.54,1.37,173476.25,2.93
387308.9,6.54,1.37,173476.25,2.93
387679.62,6.55,1.38,173476.25,2.93
387816.45,6.55,1.38,173476.25,2.93
387953.27,6.56,1.38,173476.25,2.93
388090.1,6.56,1.39,173598.86,2.93
388038.37,6.56,1.39,173598.86,2.93
387986.65,6.56,1.39,173797.95,2.94
388123.48,6.56,1.39,173797.95,2.94
388260.3,6.57,1.39,173985.03,2.94
388397.13,6.57,1.4,174107.65,2.94
388850.5,6.58,1.4,174107.65,2.94
389229.19,6.58,1.41,174107.65,2.94
389599.91,6.59,1.42,174110.3,2.95
389186.12,6.59,1.42,174110.3,2.95
389548.27,6.6,1.43,174485.52,2.96
389496.54,6.6,1.43,174485.52,2.96
389633.37,6.6,1.43,174485.52,2.96
389910.65,6.61,1.44,175547.86,2.98
390430.87,6.62,1.44,175547.86,2.98
390801.59,6.62,1.45,175547.86,2.98
391172.31,6.63,1.46,175547.86,2.98
391309.13,6.63,1.46,175547.86,2.98
391257.41,6.63,1.46,175547.86,2.98
391628.13,6.64,1.47,175547.86,2.98
391576.4,6.64,1.47,175547.88,2.98
391524.68,6.64,1.47,175547.88,2.98
391472.96,6.64,1.47,175518.39,2.98
391421.23,6.64,1.47,175518.39,2.98
391369.51,6.64,1.47,175408.53,2.98
391506.33,6.65,1.47,175477.39,2.98
391643.16,6.65,1.48,175477.39,2.98
392013.88,6.66,1.48,175592.33,2.98
391962.15,6.66,1.48,175592.33,2.98
392896.3,6.67,1.5,176047.52,2.99
392844.57,6.67,1.5,176047.52,2.99
392430.78,6.67,1.5,176047.52,2.99
392379.05,6.67,1.5,176047.52,2.99
392749.77,6.68,1.51,176047.52,2.99
392698.05,6.68,1.51,175934.42,2.99
392834.87,6.68,1.51,176057.03,3.0
392783.15,6.68,1.51,176057.03,3.0
393153.87,6.69,1.52,176186.21,3.0
393102.14,6.69,1.52,176186.21,3.0
393050.42,6.69,1.52,176186.21,3.0
392998.7,6.69,1.52,176186.21,3.0
392946.97,6.69,1.52,176156.72,3.0
393317.69,6.7,1.53,176458.96,3.01
393279.81,6.7,1.53,175802.06,3.0
393605.18,6.71,1.53,175802.06,3.0
393553.46,6.71,1.53,175802.06,3.0
393501.73,6.71,1.53,175798.81,3.0
393638.56,6.71,1.54,176093.97,3.0
393586.83,6.71,1.54,176093.97,3.0
393535.11,6.71,1.54,176324.25,3.01
393905.83,6.72,1.55,176572.88,3.01
393854.1,6.72,1.55,176572.88,3.01
393440.31,6.72,1.55,176572.88,3.02
393424.2,6.72,1.55,176743.92,3.02
393891.42,6.73,1.56,176665.79,3.02
393839.7,6.73,1.56,176636.3,3.02
394112.11,6.73,1.56,176636.3,3.02
394112.11,6.73,1.56,176523.2,3.02
394060.38,6.74,1.56,176523.2,3.02
394211.06,6.74,1.57,176163.83,3.01
394174.35,6.74,1.57,176130.53,3.01
394225.97,6.74,1.57,176157.72,3.01
394174.25,6.74,1.57,176157.72,3.01
394122.52,6.74,1.57,176074.11,3.01
394070.8,6.74,1.57,176074.11,3.01
394070.8,6.74,1.57,176074.11,3.01
394019.07,6.74,1.57,176304.38,3.02
393967.35,6.74,1.57,176304.38,3.02
393915.63,6.74,1.57,176304.38,3.02
393863.9,6.74,1.57,176274.89,3.02
393812.18,6.74,1.57,176161.79,3.02
393760.45,6.74,1.57,176314.54,3.02
394746.22,6.76,1.59,176756.63,3.03
394746.22,6.76,1.59,176756.63,3.03
394694.49,6.76,1.59,176756.63,3.03
395147.87,6.77,1.6,176756.65,3.03
395518.58,6.78,1.6,176885.83,3.03
395655.41,6.78,1.61,176885.83,3.03
396144.95,6.79,1.62,176809.44,3.03
396144.95,6.79,1.62,176696.33,3.03
396144.95,6.79,1.62,176696.33,3.03
396093.23,6.79,1.62,176588.01,3.03
396041.5,6.79,1.62,176523.02,3.03
395989.78,6.79,1.62,176523.02,3.03
395938.06,6.79,1.62,176599.32,3.03
395886.33,6.79,1.62,176599.32,3.03
396354.96,6.8,1.63,176515.29,3.03
396303.23,6.8,1.63,176515.22,3.03
396303.23,6.8,1.63,176515.22,3.03
396642.45,6.81,1.63,175887.92,3.02
396590.72,6.81,1.63,175857.87,3.02
397044.1,6.81,1.64,175984.42,3.02
396992.37,6.81,1.64,175984.42,3.02
397129.2,6.82,1.64,176107.04,3.02
