ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
1,1,810,6212,810
2,2,1810,6212,1810
3,3,2280,6212,2280
3,3,2510,6212,2510
4,5,2510,6212,2510
5,6,2990,6212,2990
6,7,3990,6212,3990
6,7,4990,6212,4990
6,7,5990,6212,5990
7,8,6990,6212,6990
8,10,7990,6212,7990
9,12,8990,6212,8990
9,12,9990,6212,9990
10,13,10800,6212,10800
11,15,11800,6212,11800
11,15,12800,6212,12800
11,15,12800,6212,12800
12,17,13800,6212,13800
12,17,14800,6212,14800
12,17,14800,6212,14800
13,18,15270,6212,15270
14,20,16270,6212,16270
14,20,16270,6212,16270
15,22,16920,6212,16920
16,24,17920,6212,17920
16,24,18290,6212,18290
17,26,19290,6212,19290
17,26,19520,6212,19520
17,26,20520,6212,20520
17,26,20990,6212,20990
18,28,21640,6212,21640
19,29,22640,6212,22640
19,29,23110,6212,23110
19,29,24110,6212,24110
20,31,25110,6212,25110
20,31,26110,6212,26110
20,31,27110,6212,27110
21,32,27920,6212,27920
21,32,28390,6212,28390
22,34,29390,6212,29390
23,35,29850,6212,29850
23,35,30070,6212,30070
24,37,32070,6212,32070
24,37,33070,6212,33070
25,38,33880,6212,33880
25,38,33880,6212,33880
26,39,34340,6212,34340
27,41,34990,6212,34990
28,43,35990,6212,35990
28,43,36990,6212,36990
28,43,37800,6212,37800
29,45,38800,6212,38800
29,45,39800,6212,39800
30,46,40270,6212,40270
31,47,41080,6212,41080
32,48,42080,6212,42080
33,50,42730,6212,42730
34,51,43730,6212,43730
35,53,44730,6212,44730
35,53,45050,6212,45050
35,53,45280,6212,45280
35,53,45750,6212,45750
36,55,46750,6212,46750
37,56,47560,6212,47560
37,56,48560,6212,48560
37,56,49030,6212,49030
38,58,49680,6212,49680
38,58,50490,6212,50490
39,59,50960,6212,50960
39,59,51960,6212,51960
40,61,52610,6212,52610
40,61,53080,6212,53080
41,63,54080,6212,54080
42,64,54890,6212,54890
42,64,55890,6212,55890
42,64,56210,6212,56210
43,66,57210,6212,57210
43,66,58210,6212,58210
44,68,59210,6212,59210
44,68,60210,6212,60210
45,69,61020,6212,61020
46,70,61830,6212,61830
46,70,62300,6212,62300
47,72,63300,6212,63300
48,73,63770,6212,63770
48,73,64770,6212,64770
49,75,65420,6212,65420
49,75,66230,6212,66230
50,77,67230,6212,67230
50,77,67710,6212,67710
50,77,68030,6212,68030
51,78,68840,6212,68840
52,80,69490,6212,69490
52,80,69960,6212,69960
52,80,70960,6212,70960
53,82,71960,6212,71960
53,82,72960,6212,72960
54,84,73960,6212,73960
54,84,74960,6212,74960
55,86,75960,6212,75960
55,86,76430,6212,76430
56,88,76900,6212,76900
56,88,77370,6212,77370
56,88,78370,6212,78370
57,90,79370,6212,79370
57,90,80370,6212,80370
57,90,80960,6212,80960
58,92,81960,6212,81960
58,92,82960,6212,82960
59,94,83960,6212,83960
59,94,84960,6212,84960
60,96,85960,6212,85960
60,96,86960,6212,86960
61,98,87960,6212,87960
62,100,88430,6212,88430
62,100,89020,6212,89020
62,100,90020,6212,90020
63,102,91020,6212,91020
64,104,91830,6212,91830
64,104,92480,6212,92480
64,104,93480,6212,93480
65,106,94480,6212,94480
65,106,95480,6212,95480
66,108,95950,6212,95950
67,110,96950,6212,96950
67,110,97410,6212,97410
67,110,98410,6212,98410
68,112,99410,6212,99410
68,112,99880,6212,99880
68,112,100880,6212,100880
68,112,100880,6212,100880
69,114,101690,6212,101690
70,116,102690,6212,102690
70,116,103160,6212,103160
70,116,103620,6212,103620
70,116,104620,6212,104620
71,118,105620,6212,105620
71,118,106620,6212,106620
72,120,107430,6212,107430
73,122,108430,6212,108430
73,122,109430,6212,109430
73,122,109430,6212,109430
73,122,110240,6212,110240
74,124,111240,6212,111240
74,124,112240,6212,112240
75,126,113050,6212,113050
76,128,114050,6212,114050
76,128,115050,6212,115050
77,130,116050,6212,116050
77,130,117050,6212,117050
78,132,118050,6212,118050
78,132,119050,6212,119050
79,134,120050,6212,120050
79,134,120860,6212,120860
79,134,120860,6212,120860
79,134,121330,6212,121330
80,136,121920,6212,121920
80,136,122920,6212,122920
81,138,123920,6212,123920
81,138,124920,6212,124920
81,138,125390,6212,125390
81,138,125390,6212,125390
82,140,126200,6212,126200
83,142,127200,6212,127200
83,142,127850,6212,127850
83,142,128080,6212,128080
84,144,128670,6212,128670
84,144,129140,6212,129140
84,144,129950,6212,129950
85,146,130420,6212,130420
85,146,131230,6212,131230
86,148,132040,6212,132040
86,148,133040,6212,133040
87,150,134040,6212,134040
87,150,134510,6212,134510
87,150,135510,6212,135510
88,158,135510,6212,135510
89,160,136510,6212,136510
89,160,137320,6212,137320
90,162,138130,6212,138130
90,162,139130,6212,139130
91,164,140130,6212,140130
91,164,140130,6212,140130
91,164,140940,6212,140940
92,166,141940,6212,141940
93,168,142750,6212,142750
94,170,143750,6212,143750
94,170,144560,6212,144560
95,172,145560,6212,145560
96,174,146210,6212,146210
96,174,147020,6212,147020
96,174,148020,6212,148020
97,176,149020,6212,149020
97,176,150020,6212,150020
98,178,150830,6212,150830
98,178,151830,6212,151830
98,178,152640,6212,152640
98,178,153640,6212,153640
99,180,154290,6212,154290
100,182,154760,6212,154760
