ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
1,1,810,6212,810
2,2,1810,6212,1810
3,3,2280,6212,2280
3,3,2510,6212,2510
4,5,2510,6212,2510
5,6,2990,6212,2990
6,7,3990,6212,3990
6,7,4990,6212,4990
6,7,5990,6212,5990
7,8,6990,6212,6990
8,10,7990,6212,7990
9,12,8990,6212,8990
9,12,9990,6212,9990
9,12,10800,6212,10800
10,14,11800,6212,11800
10,14,12800,6212,12800
10,14,12800,6212,12800
11,16,13800,6212,13800
11,16,14800,6212,14800
11,16,14800,6212,14800
12,17,15270,6212,15270
13,19,16270,6212,16270
13,19,16270,6212,16270
14,21,16920,6212,16920
14,21,17920,6212,17920
15,22,18290,6212,18290
16,24,19290,6212,19290
16,24,19520,6212,19520
17,26,20520,6212,20520
17,26,20990,6212,20990
18,28,21640,6212,21640
18,28,22640,6212,22640
18,28,23110,6212,23110
18,28,24110,6212,24110
19,30,25110,6212,25110
19,30,26110,6212,26110
20,31,27110,6212,27110
21,32,27920,6212,27920
22,34,28390,6212,28390
22,34,29390,6212,29390
22,34,29850,6212,29850
22,34,30070,6212,30070
23,36,32070,6212,32070
24,37,33070,6212,33070
25,38,33880,6212,33880
25,38,33880,6212,33880
26,39,34340,6212,34340
27,41,34990,6212,34990
27,41,35990,6212,35990
28,43,36990,6212,36990
28,43,37800,6212,37800
29,45,38800,6212,38800
29,45,39800,6212,39800
30,46,40270,6212,40270
31,47,41080,6212,41080
32,48,42080,6212,42080
33,50,42730,6212,42730
33,50,43730,6212,43730
34,52,44730,6212,44730
34,52,45050,6212,45050
34,52,45280,6212,45280
35,54,45750,6212,45750
36,56,46750,6212,46750
36,56,47560,6212,47560
36,56,48560,6212,48560
36,56,49030,6212,49030
37,58,49680,6212,49680
37,58,50490,6212,50490
37,58,50960,6212,50960
38,60,51960,6212,51960
38,60,52610,6212,52610
39,61,53080,6212,53080
40,63,54080,6212,54080
40,63,54890,6212,54890
41,65,55890,6212,55890
41,65,56210,6212,56210
41,65,57210,6212,57210
42,67,58210,6212,58210
42,67,59210,6212,59210
43,69,60210,6212,60210
43,69,61020,6212,61020
44,70,61830,6212,61830
45,72,62300,6212,62300
45,72,63300,6212,63300
45,72,63770,6212,63770
46,74,64770,6212,64770
46,74,65420,6212,65420
47,75,66230,6212,66230
48,77,67230,6212,67230
48,77,67710,6212,67710
48,77,68030,6212,68030
48,77,68840,6212,68840
49,79,69490,6212,69490
49,79,69960,6212,69960
50,81,70960,6212,70960
50,81,71960,6212,71960
51,83,72960,6212,72960
51,83,73960,6212,73960
52,85,74960,6212,74960
52,85,75960,6212,75960
52,85,76430,6212,76430
53,87,76900,6212,76900
53,87,77370,6212,77370
53,87,78370,6212,78370
54,89,79370,6212,79370
54,89,80370,6212,80370
54,89,80960,6212,80960
55,91,81960,6212,81960
55,91,82960,6212,82960
56,93,83960,6212,83960
56,93,84960,6212,84960
57,95,85960,6212,85960
58,97,86960,6212,86960
58,97,87960,6212,87960
59,99,88430,6212,88430
59,99,89020,6212,89020
59,99,90020,6212,90020
60,101,91020,6212,91020
60,101,91830,6212,91830
61,103,92480,6212,92480
61,103,93480,6212,93480
62,105,94480,6212,94480
62,105,95480,6212,95480
62,105,95950,6212,95950
63,107,96950,6212,96950
63,107,97410,6212,97410
64,109,98410,6212,98410
64,109,99410,6212,99410
64,109,99880,6212,99880
65,111,100880,6212,100880
65,111,100880,6212,100880
65,111,101690,6212,101690
66,113,102690,6212,102690
66,113,103160,6212,103160
66,113,103620,6212,103620
67,115,104620,6212,104620
67,115,105620,6212,105620
68,117,106620,6212,106620
68,117,107430,6212,107430
69,118,108430,6212,108430
70,120,109430,6212,109430
70,120,109430,6212,109430
70,120,110240,6212,110240
71,122,111240,6212,111240
71,122,112240,6212,112240
72,123,113050,6212,113050
73,125,114050,6212,114050
73,125,115050,6212,115050
74,127,116050,6212,116050
74,127,117050,6212,117050
75,129,118050,6212,118050
75,129,119050,6212,119050
76,131,120050,6212,120050
76,131,120860,6212,120860
76,131,120860,6212,120860
77,132,121330,6212,121330
78,133,121920,6212,121920
79,135,122920,6212,122920
79,135,123920,6212,123920
80,136,124920,6212,124920
81,138,125390,6212,125390
81,138,125390,6212,125390
81,138,126200,6212,126200
82,140,127200,6212,127200
82,140,127850,6212,127850
82,140,128080,6212,128080
83,142,128670,6212,128670
83,142,129140,6212,129140
83,142,129950,6212,129950
84,144,130420,6212,130420
84,144,131230,6212,131230
85,146,132040,6212,132040
85,146,133040,6212,133040
86,148,134040,6212,134040
86,148,134510,6212,134510
87,150,135510,6212,135510
88,158,135510,6212,135510
88,158,136510,6212,136510
88,158,137320,6212,137320
89,160,138130,6212,138130
89,160,139130,6212,139130
90,162,140130,6212,140130
90,162,140130,6212,140130
90,162,140940,6212,140940
91,164,141940,6212,141940
91,164,142750,6212,142750
92,166,143750,6212,143750
92,166,144560,6212,144560
93,168,145560,6212,145560
93,168,146210,6212,146210
94,170,147020,6212,147020
94,170,148020,6212,148020
95,172,149020,6212,149020
95,172,150020,6212,150020
96,174,150830,6212,150830
96,174,151830,6212,151830
97,176,152640,6212,152640
97,176,153640,6212,153640
98,178,154290,6212,154290
98,178,154760,6212,154760
99,180,155760,6212,155760
