name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0836,,P100,16,2,128849018880,16280,3,548,128849018880,0,0,50,814,0,0,0,0,0,0,0,0,0,0,0,0,50,814
0001-openb-node-1179,,T4,104,2,549755813888,15109,6,7582,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0002-openb-node-1183,,T4,104,2,549755813888,15109,8,3200,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0003-openb-node-0816,,G2,96,8,412316860416,20000,8,948,412316860416,190,3800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7190,143800
0004-openb-node-0216,,G2,96,8,412316860416,20000,6,348,412316860416,0,0,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7000,140000
0005-openb-node-0504,,V100M16,32,4,137438953472,16160,1,0,137438953472,1000,16160,1000,16160,1000,16160,1000,16160,0,0,0,0,0,0,0,0,4000,64640
0006-openb-node-0255,,T4,104,2,549755813888,15109,9,1192,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0007-openb-node-0912,,G2,96,8,412316860416,20000,3,2800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0008-openb-node-0563,,V100M16,8,1,34359738368,16160,2,848,34359738368,30,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,484
0009-openb-node-0850,,G2,96,8,412316860416,20000,3,1000,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010-openb-node-0026,,G2,96,8,412316860416,20000,4,3300,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011-openb-node-0170,,G3,128,8,824633720832,30000,2,0,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0012-openb-node-0516,,G2,96,8,412316860416,20000,3,0,412316860416,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,8000,160000
0013-openb-node-0046,,G2,96,8,412316860416,20000,3,6800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0014-openb-node-0831,,G2,96,8,412316860416,20000,3,2800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015-openb-node-0430,,P100,16,2,128849018880,16280,1,300,128849018880,0,0,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1000,16280
0016-openb-node-0460,,G2,96,8,412316860416,20000,7,0,412316860416,0,0,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7000,140000
0017-openb-node-0174,,G2,96,8,412316860416,20000,6,0,412316860416,0,0,0,0,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6000,120000
0018-openb-node-1004,,G2,96,8,412316860416,20000,8,848,412316860416,190,3800,0,0,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6190,123800
0019-openb-node-0324,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0020-openb-node-0031,,G2,96,8,412316860416,20000,8,696,412316860416,0,0,190,3800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6190,123800
0021-openb-node-0268,,G2,96,8,412316860416,20000,8,796,412316860416,0,0,0,0,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6000,120000
0022-openb-node-0576,,G2,96,8,412316860416,20000,6,696,412316860416,190,3800,0,0,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6190,123800
0023-openb-node-0522,,G2,96,8,412316860416,20000,3,0,412316860416,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,8000,160000
0024-openb-node-0200,,T4,104,2,549755813888,15109,6,1492,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0025-openb-node-0459,,G2,96,8,412316860416,20000,11,884,412316860416,0,0,0,0,30,600,70,1400,0,0,0,0,190,3800,190,3800,480,9600
0026-openb-node-0446,,G2,96,8,412316860416,20000,11,1580,412316860416,0,0,0,0,130,2600,410,8200,60,1200,30,600,0,0,0,0,630,12600
0027-openb-node-0566,,T4,104,2,549755813888,15109,6,6792,549755813888,10,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,151
0028-openb-node-1087,,G2,96,8,412316860416,20000,13,74,412316860416,0,0,0,0,0,0,0,0,30,600,30,600,0,0,0,0,60,1200
0029-openb-node-0578,,P100,16,2,128849018880,16280,2,1548,128849018880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0030-openb-node-0185,,G2,96,8,412316860416,20000,10,15944,412316860416,0,0,0,0,0,0,0,0,30,600,30,600,0,0,0,0,60,1200
0031-openb-node-1147,,G2,96,8,412316860416,20000,11,1032,412316860416,0,0,210,4200,30,600,0,0,0,0,0,0,0,0,0,0,240,4800
0032-openb-node-1159,,T4,104,2,549755813888,15109,7,2976,549755813888,0,0,10,151,0,0,0,0,0,0,0,0,0,0,0,0,10,151
0033-openb-node-1127,,T4,104,2,549755813888,15109,8,192,549755813888,20,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,302
0034-openb-node-0690,,T4,104,2,549755813888,15109,5,3100,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0035-openb-node-1042,,G2,96,8,412316860416,20000,7,2266,412316860416,0,0,0,0,350,7000,0,0,0,0,0,0,0,0,1000,20000,1350,27000
0036-openb-node-0827,,G2,96,8,412316860416,20000,10,1380,412316860416,0,0,0,0,30,600,190,3800,160,3200,0,0,0,0,0,0,380,7600
0037-openb-node-0419,,T4,104,2,549755813888,15109,7,7092,549755813888,20,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,302
0038-openb-node-0259,,G2,96,8,412316860416,20000,11,3812,412316860416,120,2400,190,3800,0,0,30,600,190,3800,0,0,60,1200,190,3800,780,15600
0039-openb-node-0397,,G2,96,8,412316860416,20000,12,3618,412316860416,0,0,0,0,30,600,30,600,190,3800,70,1400,0,0,0,0,320,6400
0040-openb-node-0740,,G2,96,8,412316860416,20000,10,728,412316860416,60,1200,190,3800,0,0,0,0,0,0,0,0,230,4600,0,0,480,9600
0041-openb-node-0295,,T4,104,2,549755813888,15109,5,3300,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0042-openb-node-0276,,G2,96,8,412316860416,20000,13,1188,412316860416,0,0,210,4200,0,0,0,0,0,0,30,600,80,1600,70,1400,390,7800
0043-openb-node-0689,,T4,104,2,549755813888,15109,6,292,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0044-openb-node-0414,,T4,104,2,549755813888,15109,8,2540,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0045-openb-node-0634,,T4,104,2,549755813888,15109,5,1990,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0046-openb-node-0854,,G2,96,8,412316860416,20000,9,500,412316860416,0,0,70,1400,0,0,0,0,0,0,0,0,530,10600,0,0,600,12000
0047-openb-node-0940,,G2,96,8,412316860416,20000,12,3026,412316860416,60,1200,0,0,0,0,0,0,0,0,0,0,90,1800,30,600,180,3600
