ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
1,1,810,6212,810
2,2,1810,6212,1810
3,4,2280,6212,2280
4,5,2510,6212,2510
5,9,2510,6212,2510
5,9,2990,6212,2990
6,11,3990,6212,3990
7,13,4990,6212,4990
8,15,5990,6212,5990
8,15,6990,6212,6990
9,17,7990,6212,7990
10,19,8990,6212,8990
11,21,9990,6212,9990
11,21,10800,6212,10800
12,23,11800,6212,11800
12,23,12800,6212,12800
13,25,12800,6212,12800
13,25,13800,6212,13800
14,27,14800,6212,14800
15,28,14800,6212,14800
16,29,15270,6212,15270
17,31,16270,6212,16270
17,31,16270,6212,16270
18,33,16920,6212,16920
19,35,17920,6212,17920
19,35,18290,6212,18290
20,37,19290,6212,19290
20,37,19520,6212,19520
21,41,20520,6212,20520
22,43,20990,6212,20990
23,45,21640,6212,21640
24,46,22640,6212,22640
25,48,23110,6212,23110
25,48,24110,6212,24110
26,50,25110,6212,25110
27,52,26110,6212,26110
27,52,27110,6212,27110
27,52,27920,6212,27920
28,54,28390,6212,28390
29,56,29390,6212,29390
30,57,29850,6212,29850
31,58,30070,6212,30070
32,60,32070,6212,32070
33,61,33070,6212,33070
33,61,33880,6212,33880
33,61,33880,6212,33880
34,62,34340,6212,34340
35,64,34990,6212,34990
36,66,35990,6212,35990
37,68,36990,6212,36990
37,68,37800,6212,37800
38,70,38800,6212,38800
39,72,39800,6212,39800
40,73,40270,6212,40270
40,73,41080,6212,41080
40,73,42080,6212,42080
41,75,42730,6212,42730
41,75,43730,6212,43730
42,77,44730,6212,44730
42,77,45050,6212,45050
43,78,45280,6212,45280
44,80,45750,6212,45750
44,80,46750,6212,46750
44,80,47560,6212,47560
45,81,48560,6212,48560
46,82,49030,6212,49030
47,84,49680,6212,49680
47,84,50490,6212,50490
48,85,50960,6212,50960
49,87,51960,6212,51960
50,89,52610,6212,52610
51,90,53080,6212,53080
52,92,54080,6212,54080
52,92,54890,6212,54890
53,94,55890,6212,55890
54,95,56210,6212,56210
54,95,57210,6212,57210
55,97,58210,6212,58210
56,99,59210,6212,59210
57,101,60210,6212,60210
57,101,61020,6212,61020
57,101,61830,6212,61830
58,103,62300,6212,62300
59,105,63300,6212,63300
60,106,63770,6212,63770
61,108,64770,6212,64770
62,110,65420,6212,65420
62,110,66230,6212,66230
63,112,67230,6212,67230
63,112,67710,6212,67710
63,112,68030,6212,68030
63,112,68840,6212,68840
64,114,69490,6212,69490
65,116,69960,6212,69960
66,118,70960,6212,70960
67,120,71960,6212,71960
68,122,72960,6212,72960
69,124,73960,6212,73960
70,126,74960,6212,74960
71,128,75960,6212,75960
72,130,76430,6212,76430
73,132,76900,6212,76900
74,133,77370,6212,77370
75,135,78370,6212,78370
76,137,79370,6212,79370
77,139,80370,6212,80370
77,139,80960,6212,80960
78,141,81960,6212,81960
79,143,82960,6212,82960
80,145,83960,6212,83960
81,147,84960,6212,84960
82,149,85960,6212,85960
83,151,86960,6212,86960
84,153,87960,6212,87960
85,155,88430,6212,88430
85,155,89020,6212,89020
86,157,90020,6212,90020
87,159,91020,6212,91020
87,159,91830,6212,91830
88,161,92480,6212,92480
88,161,93480,6212,93480
89,163,94480,6212,94480
90,165,95480,6212,95480
91,166,95950,6212,95950
92,168,96950,6212,96950
92,168,97410,6212,97410
93,170,98410,6212,98410
94,172,99410,6212,99410
95,174,99880,6212,99880
96,176,100880,6212,100880
96,176,100880,6212,100880
96,176,101690,6212,101690
97,178,102690,6212,102690
98,179,103160,6212,103160
98,179,103620,6212,103620
99,181,104620,6212,104620
100,183,105620,6212,105620
101,185,106620,6212,106620
101,185,107430,6212,107430
102,186,108430,6212,108430
103,188,109430,6212,109430
103,188,109430,6212,109430
103,188,110240,6212,110240
104,190,111240,6212,111240
105,192,112240,6212,112240
105,192,113050,6212,113050
105,192,114050,6212,114050
106,194,115050,6212,115050
107,196,116050,6212,116050
108,198,117050,6212,117050
109,200,118050,6212,118050
109,200,119050,6212,119050
110,202,120050,6212,120050
110,202,120860,6212,120860
110,202,120860,6212,120860
111,204,121330,6212,121330
111,204,121920,6212,121920
112,206,122920,6212,122920
112,206,123920,6212,123920
112,206,124920,6212,124920
113,208,125390,6212,125390
113,208,125390,6212,125390
113,208,126200,6212,126200
113,208,127200,6212,127200
114,210,127850,6212,127850
114,210,128080,6212,128080
114,210,128670,6212,128670
115,212,129140,6212,129140
115,212,129950,6212,129950
116,214,130420,6212,130420
116,214,131230,6212,131230
116,214,132040,6212,132040
117,216,133040,6212,133040
118,218,134040,6212,134040
119,220,134510,6212,134510
120,222,135510,6212,135510
120,222,135510,6212,135510
120,222,136510,6212,136510
120,222,137320,6212,137320
120,222,138130,6212,138130
120,222,139130,6212,139130
121,224,140130,6212,140130
121,224,140130,6212,140130
121,224,140940,6212,140940
122,226,141940,6212,141940
122,226,142750,6212,142750
123,228,143750,6212,143750
123,228,144560,6212,144560
124,230,145560,6212,145560
125,232,146210,6212,146210
125,232,147020,6212,147020
126,234,148020,6212,148020
127,236,149020,6212,149020
127,236,150020,6212,150020
127,236,150830,6212,150830
127,236,151830,6212,151830
127,236,152640,6212,152640
128,238,153640,6212,153640
129,240,154290,6212,154290
130,242,154760,6212,154760
131,244,155760,6212,155760
131,244,156760,6212,156760
