name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0836,,P100,16,2,128849018880,16280,2,92,128849018880,370,6023,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1370,22303
0001-openb-node-1179,,T4,104,2,549755813888,15109,3,92848,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0002-openb-node-1183,,T4,104,2,549755813888,15109,2,82890,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0003-openb-node-0816,,G2,96,8,412316860416,20000,3,3900,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0004-openb-node-0216,,G2,96,8,412316860416,20000,3,6800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0005-openb-node-0504,,V100M16,32,4,137438953472,16160,1,0,137438953472,1000,16160,1000,16160,1000,16160,1000,16160,0,0,0,0,0,0,0,0,4000,64640
0006-openb-node-0255,,T4,104,2,549755813888,15109,2,91038,549755813888,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0007-openb-node-0912,,G2,96,8,412316860416,20000,3,2800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0008-openb-node-0563,,V100M16,8,1,34359738368,16160,2,848,34359738368,30,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,484
0009-openb-node-0850,,G2,96,8,412316860416,20000,3,2800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010-openb-node-0026,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011-openb-node-0170,,G3,128,8,824633720832,30000,2,0,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0012-openb-node-0516,,G2,96,8,412316860416,20000,13,3428,412316860416,0,0,130,2600,90,1800,60,1200,30,600,0,0,0,0,0,0,310,6200
0013-openb-node-0046,,G2,96,8,412316860416,20000,10,3474,412316860416,0,0,0,0,0,0,0,0,30,600,190,3800,0,0,0,0,220,4400
0014-openb-node-0831,,G2,96,8,412316860416,20000,10,15944,412316860416,0,0,0,0,0,0,0,0,30,600,30,600,0,0,0,0,60,1200
0015-openb-node-0430,,P100,16,2,128849018880,16280,2,700,128849018880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016-openb-node-0460,,G2,96,8,412316860416,20000,11,236,412316860416,190,3800,0,0,50,1000,190,3800,0,0,0,0,0,0,0,0,430,8600
0017-openb-node-0174,,G2,96,8,412316860416,20000,9,4914,412316860416,0,0,0,0,0,0,30,600,0,0,0,0,0,0,0,0,30,600
0018-openb-node-1004,,G2,96,8,412316860416,20000,9,1732,412316860416,0,0,0,0,0,0,30,600,190,3800,0,0,0,0,0,0,220,4400
0019-openb-node-0324,,G2,96,8,412316860416,20000,11,3812,412316860416,120,2400,190,3800,0,0,60,1200,30,600,190,3800,0,0,190,3800,780,15600
0020-openb-node-0031,,G2,96,8,412316860416,20000,10,9710,412316860416,0,0,0,0,190,3800,190,3800,60,1200,190,3800,0,0,0,0,630,12600
0021-openb-node-0268,,G2,96,8,412316860416,20000,9,1880,412316860416,70,1400,190,3800,0,0,0,0,0,0,530,10600,0,0,450,9000,1240,24800
0022-openb-node-0576,,G2,96,8,412316860416,20000,13,1188,412316860416,0,0,0,0,40,800,0,0,0,0,0,0,30,600,10,200,80,1600
0023-openb-node-0522,,G2,96,8,412316860416,20000,11,192,412316860416,190,3800,190,3800,0,0,80,1600,0,0,0,0,0,0,190,3800,650,13000
0024-openb-node-0200,,T4,104,2,549755813888,15109,2,89548,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0025-openb-node-0459,,G2,96,8,412316860416,20000,9,330,412316860416,60,1200,0,0,0,0,0,0,60,1200,0,0,0,0,1000,20000,1120,22400
0026-openb-node-0446,,G2,96,8,412316860416,20000,11,6644,412316860416,0,0,0,0,0,0,190,3800,90,1800,0,0,130,2600,0,0,410,8200
0027-openb-node-0566,,T4,104,2,549755813888,15109,2,76648,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0028-openb-node-1087,,G2,96,8,412316860416,20000,9,1280,412316860416,60,1200,0,0,0,0,0,0,0,0,190,3800,0,0,0,0,250,5000
0029-openb-node-0578,,P100,16,2,128849018880,16280,2,190,128849018880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0030-openb-node-0185,,G2,96,8,412316860416,20000,9,3296,412316860416,0,0,0,0,0,0,0,0,0,0,70,1400,190,3800,0,0,260,5200
0031-openb-node-1147,,G2,96,8,412316860416,20000,11,2868,412316860416,0,0,0,0,30,600,0,0,0,0,0,0,120,2400,0,0,150,3000
