ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
1,1,810,6212,810
2,2,1810,6212,1810
3,4,2280,6212,2280
3,4,2510,6212,2510
3,4,2510,6212,2510
4,5,2990,6212,2990
4,5,3990,6212,3990
5,7,4990,6212,4990
5,7,5990,6212,5990
6,8,6990,6212,6990
7,16,7990,6212,7990
7,16,8990,6212,8990
7,16,9990,6212,9990
8,17,10800,6212,10800
8,17,11800,6212,11800
9,18,12800,6212,12800
9,18,12800,6212,12800
9,18,13800,6212,13800
10,26,14800,6212,14800
10,26,14800,6212,14800
11,27,15270,6212,15270
11,27,16270,6212,16270
11,27,16270,6212,16270
11,27,16920,6212,16920
11,27,17920,6212,17920
12,28,18290,6212,18290
12,28,19290,6212,19290
12,28,19520,6212,19520
13,30,20520,6212,20520
13,30,20990,6212,20990
14,38,21640,6212,21640
15,39,22640,6212,22640
15,39,23110,6212,23110
16,40,24110,6212,24110
16,40,25110,6212,25110
16,40,26110,6212,26110
17,41,27110,6212,27110
18,42,27920,6212,27920
18,42,28390,6212,28390
19,50,29390,6212,29390
19,50,29850,6212,29850
19,50,30070,6212,30070
19,50,32070,6212,32070
20,51,33070,6212,33070
21,52,33880,6212,33880
21,52,33880,6212,33880
22,53,34340,6212,34340
22,53,34990,6212,34990
22,53,35990,6212,35990
22,53,36990,6212,36990
23,54,37800,6212,37800
24,62,38800,6212,38800
24,62,39800,6212,39800
25,63,40270,6212,40270
26,64,41080,6212,41080
27,65,42080,6212,42080
27,65,42730,6212,42730
28,66,43730,6212,43730
28,66,44730,6212,44730
28,66,45050,6212,45050
28,66,45280,6212,45280
28,66,45750,6212,45750
29,74,46750,6212,46750
30,75,47560,6212,47560
31,76,48560,6212,48560
31,76,49030,6212,49030
31,76,49680,6212,49680
32,78,50490,6212,50490
33,80,50960,6212,50960
33,80,51960,6212,51960
33,80,52610,6212,52610
33,80,53080,6212,53080
33,80,54080,6212,54080
33,80,54890,6212,54890
33,80,55890,6212,55890
33,80,56210,6212,56210
34,88,57210,6212,57210
34,88,58210,6212,58210
34,88,59210,6212,59210
34,88,60210,6212,60210
35,90,61020,6212,61020
35,90,61830,6212,61830
35,90,62300,6212,62300
35,90,63300,6212,63300
35,90,63770,6212,63770
36,98,64770,6212,64770
36,98,65420,6212,65420
37,100,66230,6212,66230
37,100,67230,6212,67230
37,100,67710,6212,67710
37,100,68030,6212,68030
38,102,68840,6212,68840
38,102,69490,6212,69490
38,102,69960,6212,69960
38,102,70960,6212,70960
38,102,71960,6212,71960
38,102,72960,6212,72960
39,110,73960,6212,73960
39,110,74960,6212,74960
39,110,75960,6212,75960
39,110,76430,6212,76430
39,110,76900,6212,76900
39,110,77370,6212,77370
39,110,78370,6212,78370
40,114,79370,6212,79370
40,114,80370,6212,80370
40,114,80960,6212,80960
40,114,81960,6212,81960
40,114,82960,6212,82960
41,122,83960,6212,83960
41,122,84960,6212,84960
41,122,85960,6212,85960
41,122,86960,6212,86960
41,122,87960,6212,87960
41,122,88430,6212,88430
41,122,89020,6212,89020
41,122,90020,6212,90020
42,130,91020,6212,91020
42,130,91830,6212,91830
42,130,92480,6212,92480
42,130,93480,6212,93480
42,130,94480,6212,94480
42,130,95480,6212,95480
42,130,95950,6212,95950
42,130,96950,6212,96950
42,130,97410,6212,97410
43,138,98410,6212,98410
43,138,99410,6212,99410
43,138,99880,6212,99880
43,138,100880,6212,100880
43,138,100880,6212,100880
43,138,101690,6212,101690
43,138,102690,6212,102690
43,138,103160,6212,103160
43,138,103620,6212,103620
43,138,104620,6212,104620
44,146,105620,6212,105620
44,146,106620,6212,106620
44,146,107430,6212,107430
44,146,108430,6212,108430
44,146,109430,6212,109430
44,146,109430,6212,109430
44,146,110240,6212,110240
44,146,111240,6212,111240
44,146,112240,6212,112240
44,146,113050,6212,113050
45,154,114050,6212,114050
45,154,115050,6212,115050
45,154,116050,6212,116050
45,154,117050,6212,117050
45,154,118050,6212,118050
45,154,119050,6212,119050
45,154,120050,6212,120050
45,154,120860,6212,120860
45,154,120860,6212,120860
45,154,121330,6212,121330
45,154,121920,6212,121920
45,154,122920,6212,122920
45,154,123920,6212,123920
45,154,124920,6212,124920
45,154,125390,6212,125390
45,154,125390,6212,125390
46,162,126200,6212,126200
46,162,127200,6212,127200
46,162,127850,6212,127850
46,162,128080,6212,128080
46,162,128670,6212,128670
46,162,129140,6212,129140
46,162,129950,6212,129950
46,162,130420,6212,130420
46,162,131230,6212,131230
46,162,132040,6212,132040
47,170,133040,6212,133040
47,170,134040,6212,134040
47,170,134510,6212,134510
47,170,135510,6212,135510
47,170,135510,6212,135510
47,170,136510,6212,136510
47,170,137320,6212,137320
47,170,138130,6212,138130
47,170,139130,6212,139130
47,170,140130,6212,140130
47,170,140130,6212,140130
48,178,140940,6212,140940
48,178,141940,6212,141940
48,178,142750,6212,142750
48,178,143750,6212,143750
48,178,144560,6212,144560
48,178,145560,6212,145560
48,178,146210,6212,146210
48,178,147020,6212,147020
49,180,148020,6212,148020
49,180,149020,6212,149020
50,188,150020,6212,150020
50,188,150830,6212,150830
50,188,151830,6212,151830
50,188,152640,6212,152640
