ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
344574.08,5.55,0.38,171755.33,2.77
263776.08,4.25,0.4,186021.34,3.0
264165.7,4.25,0.41,186212.18,3.0
264029.23,4.25,0.41,185888.36,2.99
264029.23,4.25,0.41,186271.63,3.0
263890.91,4.25,0.4,186162.19,3.0
263852.45,4.25,0.4,186058.99,3.0
263813.99,4.25,0.4,185984.32,3.0
263775.52,4.25,0.4,185926.01,3.0
263142.66,4.24,0.39,185191.89,2.98
263104.2,4.24,0.39,185191.89,2.99
263065.73,4.24,0.39,185191.89,2.99
263027.27,4.24,0.39,185191.89,2.99
262583.08,4.23,0.39,184646.43,2.98
262544.62,4.23,0.39,184678.87,2.98
261911.75,4.22,0.38,183944.75,2.97
261911.75,4.22,0.38,183957.19,2.97
261873.29,4.22,0.38,183988.18,2.97
261848.81,4.23,0.38,183952.73,2.97
261848.81,4.23,0.38,183942.38,2.97
261745.94,4.22,0.38,183738.25,2.97
261707.48,4.22,0.38,183738.25,2.97
261707.48,4.22,0.38,183749.16,2.97
262001.89,4.23,0.38,183749.16,2.97
261963.43,4.23,0.38,183749.16,2.97
261949.55,4.23,0.38,183634.02,2.96
261911.08,4.23,0.38,183773.71,2.97
261689.48,4.23,0.38,183550.63,2.96
261651.01,4.23,0.38,183746.85,2.97
262040.63,4.23,0.39,183937.69,2.97
262356.01,4.24,0.39,184272.27,2.98
261723.15,4.23,0.38,183538.15,2.97
261355.07,4.22,0.38,183214.33,2.96
260722.2,4.21,0.37,182480.21,2.95
260683.74,4.21,0.37,182540.21,2.95
260645.28,4.21,0.37,182540.21,2.95
260012.41,4.2,0.36,181806.08,2.94
259568.22,4.2,0.35,181260.63,2.93
259957.83,4.2,0.36,181260.63,2.93
259919.37,4.2,0.36,181404.76,2.93
259561.29,4.2,0.35,181278.13,2.93
259379.41,4.2,0.35,182605.3,2.95
259288.5,4.2,0.35,182577.33,2.95
258655.63,4.19,0.34,181843.2,2.94
258211.43,4.18,0.33,181297.75,2.93
258211.43,4.18,0.33,181297.75,2.93
258118.57,4.18,0.33,181103.63,2.93
258412.97,4.18,0.34,181117.03,2.93
258374.51,4.18,0.34,181117.03,2.93
258336.05,4.18,0.34,181117.03,2.93
257891.85,4.18,0.33,180571.57,2.92
257874.37,4.18,0.33,182349.28,2.95
257835.91,4.18,0.33,182349.28,2.95
257733.04,4.18,0.33,182263.9,2.95
257288.85,4.17,0.32,181718.44,2.94
256655.98,4.16,0.31,180984.32,2.93
256950.38,4.17,0.32,181083.11,2.94
256317.52,4.16,0.31,180348.99,2.92
256279.06,4.16,0.31,180277.23,2.92
255976.19,4.15,0.3,180271.38,2.92
255771.64,4.15,0.3,180055.44,2.92
256175.24,4.15,0.31,181214.5,2.94
256136.78,4.15,0.31,181214.5,2.94
255692.59,4.15,0.3,180669.04,2.93
255059.72,4.14,0.29,180053.66,2.92
255323.99,4.14,0.3,180164.32,2.92
255618.39,4.15,0.3,180164.32,2.92
255258.11,4.14,0.3,179601.94,2.91
255554.37,4.15,0.3,179734.17,2.92
255515.91,4.15,0.3,179867.86,2.92
255810.31,4.15,0.31,179861.11,2.92
256199.93,4.16,0.31,179791.55,2.92
256161.47,4.16,0.31,179791.55,2.92
255636.01,4.15,0.31,179314.59,2.91
255597.55,4.15,0.31,179314.59,2.91
255315.66,4.15,0.3,181475.14,2.95
255277.2,4.15,0.3,181475.14,2.95
255238.74,4.15,0.3,181475.34,2.95
255200.28,4.15,0.3,181475.28,2.95
255161.82,4.15,0.3,181475.14,2.95
255228.11,4.15,0.3,180950.36,2.94
254783.92,4.14,0.3,180631.54,2.94
255173.53,4.15,0.3,181039.18,2.94
255135.07,4.15,0.3,181042.94,2.94
254766.99,4.14,0.3,180691.54,2.94
254728.53,4.14,0.3,180691.54,2.94
255022.94,4.15,0.3,180691.54,2.94
255173.15,4.15,0.31,180691.54,2.94
255134.69,4.15,0.31,180702.0,2.94
254882.48,4.15,0.3,179389.33,2.92
254579.62,4.14,0.3,179378.87,2.92
254729.83,4.15,0.3,179378.87,2.92
255024.23,4.15,0.31,180052.91,2.93
255413.85,4.16,0.31,180229.0,2.93
255375.38,4.16,0.31,180380.2,2.94
255336.92,4.16,0.31,180380.2,2.94
255298.46,4.16,0.31,180380.2,2.94
255260.0,4.16,0.31,180397.12,2.94
255221.54,4.16,0.31,180398.75,2.94
255183.08,4.16,0.31,180400.7,2.94
255586.68,4.17,0.32,180415.59,2.94
255505.31,4.16,0.32,181675.39,2.96
255139.69,4.16,0.31,181483.65,2.96
255101.22,4.16,0.31,181483.65,2.96
255062.76,4.16,0.31,181483.65,2.96
255024.3,4.16,0.31,181483.65,2.96
