name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0836,,P100,16,2,128849018880,16280,4,2696,128849018880,30,488,50,814,0,0,0,0,0,0,0,0,0,0,0,0,80,1302
0001-openb-node-1179,,T4,104,2,549755813888,15109,9,892,549755813888,20,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,302
0002-openb-node-1183,,T4,104,2,549755813888,15109,8,1982,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0003-openb-node-0816,,G2,96,8,412316860416,20000,10,1072,412316860416,0,0,0,0,0,0,0,0,0,0,60,1200,180,3600,190,3800,430,8600
0004-openb-node-0216,,G2,96,8,412316860416,20000,10,388,412316860416,0,0,0,0,130,2600,0,0,0,0,0,0,30,600,0,0,160,3200
0005-openb-node-0504,,V100M16,32,4,137438953472,16160,7,396,137438953472,0,0,0,0,0,0,20,323,0,0,0,0,0,0,0,0,20,323
0006-openb-node-0255,,T4,104,2,549755813888,15109,7,976,549755813888,0,0,60,906,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0007-openb-node-0912,,G2,96,8,412316860416,20000,11,980,412316860416,120,2400,0,0,0,0,70,1400,70,1400,190,3800,90,1800,1000,20000,1540,30800
0008-openb-node-0563,,V100M16,8,1,34359738368,16160,2,848,34359738368,30,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,484
0009-openb-node-0850,,G2,96,8,412316860416,20000,8,2874,412316860416,0,0,0,0,0,0,30,600,0,0,0,0,0,0,0,0,30,600
0010-openb-node-0026,,G2,96,8,412316860416,20000,10,3360,412316860416,0,0,0,0,120,2400,0,0,60,1200,190,3800,190,3800,0,0,560,11200
0011-openb-node-0170,,G3,128,8,824633720832,30000,10,958,824633720832,0,0,30,900,0,0,350,10500,60,1800,0,0,0,0,0,0,440,13200
0012-openb-node-0516,,G2,96,8,412316860416,20000,10,2980,412316860416,0,0,0,0,0,0,0,0,60,1200,80,1600,190,3800,0,0,330,6600
0013-openb-node-0046,,G2,96,8,412316860416,20000,10,5340,412316860416,0,0,30,600,0,0,0,0,0,0,0,0,0,0,0,0,30,600
0014-openb-node-0831,,G2,96,8,412316860416,20000,8,2532,412316860416,0,0,0,0,0,0,60,1200,0,0,190,3800,0,0,0,0,250,5000
0015-openb-node-0430,,P100,16,2,128849018880,16280,2,948,128849018880,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0016-openb-node-0460,,G2,96,8,412316860416,20000,9,2138,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,30,600,0,0,30,600
0017-openb-node-0174,,G2,96,8,412316860416,20000,10,512,412316860416,0,0,30,600,0,0,0,0,70,1400,0,0,0,0,0,0,100,2000
0018-openb-node-1004,,G2,96,8,412316860416,20000,11,1080,412316860416,0,0,0,0,60,1200,0,0,0,0,30,600,180,3600,0,0,270,5400
