ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc55-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc55-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc55-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc55-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc55-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
657705.93,10.59,0.37,177784.26,2.86
657792.34,10.59,0.37,177784.26,2.86
657878.74,10.59,0.37,177784.26,2.86
657776.52,10.59,0.37,177784.26,2.86
657674.3,10.59,0.37,177784.26,2.86
657572.08,10.59,0.37,177692.57,2.86
657658.49,10.6,0.37,177692.57,2.86
658146.33,10.61,0.38,178050.98,2.87
658540.67,10.61,0.39,178050.98,2.87
659245.52,10.63,0.4,178159.26,2.87
659143.3,10.63,0.4,178166.04,2.87
659229.7,10.63,0.41,178166.04,2.87
659229.7,10.63,0.41,178166.04,2.87
659127.48,10.63,0.41,178166.04,2.87
659127.48,10.63,0.41,178166.04,2.87
659127.48,10.63,0.41,178074.36,2.87
659025.26,10.63,0.41,178074.36,2.87
659025.26,10.63,0.41,178074.36,2.87
658923.04,10.63,0.41,178074.36,2.87
659022.56,10.63,0.41,177675.52,2.87
658920.34,10.63,0.41,177583.83,2.87
658818.11,10.63,0.41,177553.27,2.87
659702.51,10.65,0.42,178076.3,2.87
659600.29,10.65,0.42,178083.08,2.87
660350.6,10.66,0.44,178311.52,2.88
660282.09,10.66,0.44,178462.87,2.88
660368.5,10.66,0.44,178576.71,2.88
660266.28,10.66,0.44,178576.71,2.88
661016.58,10.68,0.45,178805.15,2.89
661342.53,10.68,0.46,178918.0,2.89
661676.56,10.69,0.47,178918.0,2.89
661574.34,10.69,0.47,178918.0,2.89
661660.75,10.69,0.47,178918.0,2.89
661558.52,10.69,0.47,178909.48,2.89
661456.3,10.69,0.47,178909.48,2.89
661354.08,10.69,0.47,178817.79,2.89
661251.86,10.69,0.47,178817.79,2.89
661351.38,10.69,0.47,178418.95,2.88
661249.16,10.69,0.47,178418.95,2.89
661249.16,10.69,0.47,178418.95,2.89
661575.11,10.7,0.48,178531.8,2.89
661472.89,10.7,0.48,178531.8,2.89
661370.66,10.7,0.48,178566.77,2.89
661370.66,10.7,0.48,178566.77,2.89
661268.44,10.7,0.48,178550.02,2.89
661166.22,10.7,0.48,178550.02,2.89
661064.0,10.7,0.48,178458.33,2.89
661506.69,10.71,0.49,178458.52,2.89
661404.47,10.71,0.49,178450.0,2.89
661404.47,10.71,0.49,178450.0,2.89
661627.75,10.71,0.49,178514.75,2.89
661525.53,10.71,0.49,178521.53,2.89
662005.81,10.72,0.5,178523.26,2.89
661916.7,10.72,0.5,177926.93,2.88
661814.48,10.72,0.5,177918.41,2.88
661712.26,10.72,0.5,177918.41,2.88
661988.88,10.73,0.5,177918.41,2.88
662739.18,10.74,0.52,178146.85,2.89
662636.96,10.74,0.52,178138.33,2.89
662534.74,10.74,0.52,178042.89,2.89
662634.26,10.74,0.52,177644.05,2.88
662565.76,10.74,0.52,177513.94,2.88
662497.25,10.74,0.52,177665.29,2.88
662395.03,10.74,0.52,177573.6,2.88
662807.22,10.75,0.53,177857.71,2.88
662705.0,10.75,0.53,177857.71,2.89
662602.78,10.75,0.53,177857.71,2.89
662500.56,10.75,0.53,177767.06,2.88
662826.51,10.76,0.54,177879.91,2.89
662826.51,10.76,0.54,177790.83,2.89
662724.29,10.76,0.54,177790.83,2.89
662622.07,10.76,0.54,177790.83,2.89
662708.47,10.76,0.54,177790.83,2.89
662606.25,10.76,0.54,177790.83,2.89
662504.03,10.76,0.54,177790.83,2.89
662838.06,10.77,0.54,177790.83,2.89
662924.46,10.77,0.55,177790.83,2.89
663314.88,10.78,0.56,177644.97,2.89
663314.88,10.78,0.56,177644.97,2.89
663727.08,10.79,0.56,178006.71,2.89
663813.48,10.79,0.57,178006.71,2.89
663711.26,10.79,0.57,178006.71,2.89
664037.21,10.79,0.57,178119.56,2.9
664449.4,10.8,0.58,178223.27,2.9
664449.4,10.8,0.58,178131.58,2.9
664775.35,10.81,0.59,178131.58,2.9
664673.13,10.81,0.59,178123.06,2.9
664759.53,10.81,0.59,178123.06,2.9
665073.11,10.82,0.59,178123.06,2.9
665399.06,10.82,0.6,178235.91,2.9
665811.26,10.83,0.61,178236.09,2.9
665709.03,10.83,0.61,178144.4,2.9
665606.81,10.83,0.61,178144.4,2.9
665504.59,10.83,0.61,178135.88,2.9
665591.0,10.83,0.61,178249.72,2.9
665981.42,10.84,0.62,178103.87,2.9
665981.42,10.84,0.62,178103.87,2.9
665879.2,10.84,0.62,178095.35,2.9
665879.2,10.84,0.62,178095.35,2.9
666205.15,10.85,0.63,178095.35,2.9
666102.92,10.85,0.63,178095.35,2.9
666326.21,10.85,0.63,178095.35,2.9
666223.99,10.85,0.63,178095.35,2.9
666121.77,10.85,0.63,178095.35,2.9
666208.18,10.86,0.63,178209.19,2.9
666105.96,10.86,0.63,178209.19,2.9
666192.36,10.86,0.64,178323.04,2.91
666123.86,10.86,0.64,178418.8,2.91
666021.64,10.86,0.64,178388.24,2.91
666021.64,10.86,0.64,178299.15,2.91
665919.42,10.86,0.64,178290.63,2.91
665953.27,10.86,0.64,178442.92,2.91
665851.04,10.86,0.64,178351.23,2.91
665761.94,10.86,0.64,177661.0,2.9
665659.72,10.86,0.64,177661.0,2.9
665557.49,10.86,0.64,177661.0,2.9
665455.27,10.86,0.64,177586.06,2.9
665353.05,10.86,0.64,177586.06,2.9
665699.32,10.87,0.65,178425.88,2.91
665597.1,10.87,0.65,178425.88,2.91
665494.88,10.87,0.65,178425.88,2.91
665820.83,10.87,0.65,178538.73,2.92
666559.93,10.89,0.67,178706.89,2.92
666893.96,10.89,0.67,178706.89,2.92
666791.73,10.89,0.67,178706.89,2.92
667203.93,10.9,0.68,178707.07,2.92
667303.44,10.9,0.68,178308.23,2.91
667201.22,10.9,0.68,178308.23,2.91
667099.0,10.9,0.68,178308.23,2.91
667424.95,10.91,0.69,178308.23,2.91
667322.73,10.91,0.69,178308.23,2.92
667220.51,10.91,0.69,178216.54,2.91
667118.29,10.91,0.69,178216.54,2.91
667016.07,10.91,0.69,178216.54,2.92
667428.14,10.92,0.7,178125.43,2.91
668178.45,10.93,0.71,178353.87,2.92
668076.22,10.93,0.71,178258.43,2.92
667974.0,10.93,0.71,178258.43,2.92
667974.0,10.93,0.71,178258.43,2.92
667974.0,10.93,0.71,178169.34,2.92
667871.78,10.93,0.71,178077.65,2.91
667769.56,10.93,0.71,177985.96,2.91
668095.51,10.94,0.72,177985.96,2.91
667993.29,10.94,0.72,177985.96,2.91
668079.69,10.94,0.72,177985.96,2.91
667977.47,10.94,0.72,177949.64,2.91
667875.25,10.94,0.72,177949.64,2.92
668287.44,10.95,0.73,178053.35,2.92
668185.22,10.95,0.73,178053.35,2.92
668083.0,10.95,0.73,178053.35,2.92
668083.0,10.95,0.73,178053.35,2.92
668408.95,10.95,0.73,178053.35,2.92
668306.73,10.96,0.73,178053.35,2.92
668204.51,10.96,0.73,178053.35,2.92
667998.46,10.95,0.73,177757.95,2.91
667896.24,10.95,0.73,177757.95,2.92
667982.65,10.96,0.73,177757.95,2.92
667880.43,10.96,0.73,177757.95,2.92
668103.71,10.96,0.74,177824.91,2.92
668001.49,10.96,0.74,177794.35,2.92
667899.27,10.96,0.74,177801.14,2.92
668273.64,10.97,0.75,177578.93,2.91
668599.58,10.98,0.75,177689.78,2.92
668497.36,10.98,0.75,177598.09,2.92
668395.14,10.98,0.75,177598.09,2.92
668807.33,10.98,0.76,177701.8,2.92
668705.11,10.98,0.76,177701.8,2.92
668602.89,10.98,0.76,177701.8,2.92
