ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
1,1,470,6212,470
2,2,1280,6212,1280
3,3,2090,6212,2090
4,4,3090,6212,3090
5,6,4090,6212,4090
5,6,5090,6212,5090
6,7,5900,6212,5900
6,7,6120,6212,6120
7,8,6490,6212,6490
8,10,7490,6212,7490
8,10,8490,6212,8490
9,11,9300,6212,9300
10,19,9300,6212,9300
11,21,10300,6212,10300
11,21,10300,6212,10300
11,21,10300,6212,10300
11,21,11300,6212,11300
11,21,11300,6212,11300
12,22,12300,6212,12300
13,23,13110,6212,13110
14,25,14110,6212,14110
14,25,15110,6212,15110
14,25,15110,6212,15110
15,27,16110,6212,16110
15,27,16580,6212,16580
16,29,17580,6212,17580
16,29,18390,6212,18390
17,31,19390,6212,19390
17,31,19860,6212,19860
17,31,20330,6212,20330
17,31,20790,6212,20790
18,33,21790,6212,21790
18,33,22600,6212,22600
19,35,23600,6212,23600
19,35,24600,6212,24600
20,37,25600,6212,25600
20,37,26600,6212,26600
21,38,27410,6212,27410
22,39,28410,6212,28410
23,47,28410,6212,28410
24,49,28880,6212,28880
24,49,29880,6212,29880
25,51,30880,6212,30880
25,51,30880,6212,30880
25,51,31880,6212,31880
26,53,32880,6212,32880
26,53,33880,6212,33880
26,53,33990,6212,33990
27,55,34990,6212,34990
27,55,34990,6212,34990
27,55,35640,6212,35640
28,57,36640,6212,36640
28,57,36870,6212,36870
28,57,37870,6212,37870
29,59,38870,6212,38870
29,59,39870,6212,39870
29,59,40460,6212,40460
29,59,40930,6212,40930
30,61,41930,6212,41930
30,61,42930,6212,42930
31,62,43740,6212,43740
32,64,44740,6212,44740
32,64,45740,6212,45740
33,66,46740,6212,46740
33,66,47060,6212,47060
34,68,48060,6212,48060
34,68,49060,6212,49060
35,69,50060,6212,50060
35,69,50530,6212,50530
35,69,50530,6212,50530
36,70,51530,6212,51530
37,72,52530,6212,52530
37,72,53340,6212,53340
38,74,54340,6212,54340
38,74,55340,6212,55340
39,75,55800,6212,55800
40,76,56610,6212,56610
41,78,57610,6212,57610
41,78,57610,6212,57610
41,78,57930,6212,57930
42,79,58740,6212,58740
43,81,59740,6212,59740
43,81,60210,6212,60210
43,81,60530,6212,60530
43,81,60530,6212,60530
43,81,61000,6212,61000
44,83,62000,6212,62000
44,83,62810,6212,62810
45,84,63360,6212,63360
46,86,63830,6212,63830
46,86,64150,6212,64150
47,88,65150,6212,65150
47,88,66150,6212,66150
48,90,67150,6212,67150
48,90,67960,6212,67960
48,90,68960,6212,68960
49,98,68960,6212,68960
50,100,69960,6212,69960
50,100,69960,6212,69960
50,100,70430,6212,70430
51,102,71430,6212,71430
52,104,72080,6212,72080
52,104,73080,6212,73080
53,106,74080,6212,74080
53,106,74890,6212,74890
53,106,75890,6212,75890
54,107,76700,6212,76700
55,109,77700,6212,77700
56,111,78700,6212,78700
56,111,78700,6212,78700
57,113,79700,6212,79700
57,113,80700,6212,80700
58,115,81700,6212,81700
58,115,82700,6212,82700
58,115,83700,6212,83700
59,117,84700,6212,84700
59,117,85700,6212,85700
60,119,86700,6212,86700
60,119,86700,6212,86700
60,119,87700,6212,87700
61,121,88700,6212,88700
61,121,89170,6212,89170
61,121,89820,6212,89820
62,122,90280,6212,90280
63,124,91280,6212,91280
63,124,91600,6212,91600
63,124,92410,6212,92410
63,124,93410,6212,93410
64,126,94410,6212,94410
65,128,94880,6212,94880
65,128,95880,6212,95880
66,130,96880,6212,96880
66,130,97880,6212,97880
67,132,98880,6212,98880
67,132,99040,6212,99040
67,132,99510,6212,99510
67,132,100510,6212,100510
68,134,101510,6212,101510
68,134,101510,6212,101510
68,134,101510,6212,101510
68,134,102510,6212,102510
69,136,103510,6212,103510
69,136,103980,6212,103980
70,138,104980,6212,104980
70,138,105790,6212,105790
71,140,106790,6212,106790
71,140,107790,6212,107790
71,140,108110,6212,108110
72,142,109110,6212,109110
72,142,110110,6212,110110
72,142,110110,6212,110110
72,142,110580,6212,110580
73,144,111580,6212,111580
73,144,112580,6212,112580
74,146,113580,6212,113580
74,146,114580,6212,114580
74,146,115390,6212,115390
75,148,116390,6212,116390
75,148,117040,6212,117040
76,150,118040,6212,118040
76,150,119040,6212,119040
77,152,120040,6212,120040
77,152,120510,6212,120510
78,154,121510,6212,121510
79,155,122510,6212,122510
79,155,122830,6212,122830
80,156,123830,6212,123830
81,157,124830,6212,124830
81,157,124830,6212,124830
81,157,124830,6212,124830
82,159,125830,6212,125830
82,159,126830,6212,126830
82,159,127060,6212,127060
82,159,127530,6212,127530
83,161,128530,6212,128530
84,163,129530,6212,129530
84,163,130340,6212,130340
84,163,130660,6212,130660
84,163,130660,6212,130660
85,164,131250,6212,131250
86,166,131720,6212,131720
86,166,132180,6212,132180
86,166,133180,6212,133180
87,168,133990,6212,133990
87,168,134800,6212,134800
88,170,135800,6212,135800
88,170,135850,6212,135850
88,170,136850,6212,136850
89,172,137170,6212,137170
89,172,137630,6212,137630
89,172,138100,6212,138100
90,174,138750,6212,138750
90,174,139750,6212,139750
90,174,139980,6212,139980
91,176,140980,6212,140980
91,176,141980,6212,141980
92,178,142980,6212,142980
93,186,142980,6212,142980
93,186,142980,6212,142980
93,186,143980,6212,143980
94,188,144790,6212,144790
94,188,145790,6212,145790
95,190,146790,6212,146790
95,190,147790,6212,147790
96,192,148790,6212,148790
96,192,149600,6212,149600
97,194,150600,6212,150600
97,194,151600,6212,151600
97,194,151600,6212,151600
98,196,152600,6212,152600
98,196,153600,6212,153600
99,198,154600,6212,154600
99,198,155410,6212,155410
100,200,156220,6212,156220
100,200,157030,6212,157030
100,200,157030,6212,157030
100,200,157500,6212,157500
100,200,157500,6212,157500
100,200,157660,6212,157660
101,202,158660,6212,158660
101,202,158660,6212,158660
101,202,159660,6212,159660
102,204,160470,6212,160470
102,204,161280,6212,161280
103,206,162280,6212,162280
103,206,163280,6212,163280
104,208,164280,6212,164280
104,208,164510,6212,164510
105,210,165510,6212,165510
105,210,166510,6212,166510
106,212,167510,6212,167510
106,212,167510,6212,167510
106,212,168510,6212,168510
106,212,168980,6212,168980
107,214,169980,6212,169980
108,216,170790,6212,170790
108,216,171790,6212,171790
109,218,172790,6212,172790
109,218,173790,6212,173790
109,218,173790,6212,173790
110,220,174790,6212,174790
110,220,175790,6212,175790
111,222,176790,6212,176790
112,224,177250,6212,177250
112,224,177570,6212,177570
112,224,178040,6212,178040
112,224,179040,6212,179040
113,226,180040,6212,180040
114,228,181040,6212,181040
114,228,181360,6212,181360
114,228,182360,6212,182360
114,228,183360,6212,183360
115,230,183950,6212,183950
115,230,184950,6212,184950
115,230,185180,6212,185180
116,232,185990,6212,185990
116,232,186220,6212,186220
116,232,186220,6212,186220
116,232,187220,6212,187220
117,234,188220,6212,188220
118,236,189220,6212,189220
119,238,190220,6212,190220
119,238,191030,6212,191030
119,238,192030,6212,192030
120,240,193030,6212,193030
120,240,193140,6212,193140
121,242,193610,6212,193610
121,242,194610,6212,194610
121,242,195080,6212,195080
121,242,195890,6212,195890
122,244,196360,6212,196360
122,244,197360,6212,197360
122,244,198360,6212,198360
123,246,199010,6212,199010
123,246,199010,6212,199010
123,246,199010,6212,199010
123,246,200010,6212,200010
123,246,200480,6212,200480
124,248,201480,6212,201480
124,248,202480,6212,202480
125,250,203480,6212,203480
125,250,204290,6212,204290
125,250,204290,6212,204290
126,252,205100,6212,205100
126,252,206100,6212,206100
127,254,206910,6212,206910
127,254,207910,6212,207910
128,256,208910,6212,208910
128,256,208910,6212,208910
128,256,209910,6212,209910
129,258,210720,6212,210720
129,258,211720,6212,211720
130,260,212720,6212,212720
130,260,213040,6212,213040
130,260,214040,6212,214040
131,262,214360,6212,214360
131,262,214950,6212,214950
131,262,214950,6212,214950
131,262,215110,6212,215110
131,262,215580,6212,215580
131,262,216050,6212,216050
132,264,217050,6212,217050
133,266,218050,6212,218050
133,266,218050,6212,218050
133,266,218860,6212,218860
133,266,219860,6212,219860
134,268,220860,6212,220860
134,268,221860,6212,221860
135,276,221860,6212,221860
136,278,222860,6212,222860
136,278,223670,6212,223670
137,280,224320,6212,224320
137,280,225320,6212,225320
137,280,225320,6212,225320
138,282,226130,6212,226130
138,282,227130,6212,227130
139,284,228130,6212,228130
139,284,228940,6212,228940
140,286,229940,6212,229940
140,286,230410,6212,230410
141,288,231410,6212,231410
141,288,232410,6212,232410
142,290,234410,6212,234410
142,290,234880,6212,234880
143,292,235880,6212,235880
143,292,236110,6212,236110
144,294,237110,6212,237110
144,294,237430,6212,237430
144,294,237750,6212,237750
145,296,238750,6212,238750
145,296,239340,6212,239340
145,296,240340,6212,240340
146,298,241340,6212,241340
146,298,241340,6212,241340
146,298,241660,6212,241660
146,298,241660,6212,241660
146,298,242470,6212,242470
147,300,243470,6212,243470
148,302,243940,6212,243940
148,302,244170,6212,244170
148,302,244490,6212,244490
149,304,244810,6212,244810
149,304,245620,6212,245620
149,304,246270,6212,246270
149,304,247270,6212,247270
149,304,248270,6212,248270
150,306,249270,6212,249270
150,306,250270,6212,250270
