ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
1,2,470,6212,470
2,3,1280,6212,1280
3,4,2090,6212,2090
4,6,3090,6212,3090
5,8,4090,6212,4090
6,10,5090,6212,5090
6,10,5900,6212,5900
7,11,6120,6212,6120
7,11,6490,6212,6490
8,13,7490,6212,7490
9,15,8490,6212,8490
9,15,9300,6212,9300
10,19,9300,6212,9300
11,21,10300,6212,10300
12,22,10300,6212,10300
13,24,10300,6212,10300
14,26,11300,6212,11300
14,26,11300,6212,11300
14,26,12300,6212,12300
14,26,13110,6212,13110
15,28,14110,6212,14110
15,28,15110,6212,15110
16,29,15110,6212,15110
17,31,16110,6212,16110
18,32,16580,6212,16580
19,34,17580,6212,17580
19,34,18390,6212,18390
20,36,19390,6212,19390
21,37,19860,6212,19860
22,38,20330,6212,20330
22,38,20790,6212,20790
23,40,21790,6212,21790
23,40,22600,6212,22600
24,42,23600,6212,23600
25,44,24600,6212,24600
25,44,25600,6212,25600
26,46,26600,6212,26600
26,46,27410,6212,27410
26,46,28410,6212,28410
26,46,28410,6212,28410
27,48,28880,6212,28880
28,50,29880,6212,29880
29,52,30880,6212,30880
29,52,30880,6212,30880
29,52,31880,6212,31880
30,54,32880,6212,32880
31,56,33880,6212,33880
32,57,33990,6212,33990
33,59,34990,6212,34990
34,63,34990,6212,34990
35,65,35640,6212,35640
36,67,36640,6212,36640
36,67,36870,6212,36870
36,67,37870,6212,37870
37,69,38870,6212,38870
37,69,39870,6212,39870
37,69,40460,6212,40460
38,70,40930,6212,40930
39,72,41930,6212,41930
40,74,42930,6212,42930
40,74,43740,6212,43740
41,76,44740,6212,44740
42,78,45740,6212,45740
43,80,46740,6212,46740
43,80,47060,6212,47060
44,82,48060,6212,48060
45,84,49060,6212,49060
45,84,50060,6212,50060
46,85,50530,6212,50530
47,86,50530,6212,50530
47,86,51530,6212,51530
48,88,52530,6212,52530
48,88,53340,6212,53340
49,90,54340,6212,54340
50,92,55340,6212,55340
50,92,55800,6212,55800
50,92,56610,6212,56610
51,94,57610,6212,57610
52,96,57610,6212,57610
52,96,57930,6212,57930
52,96,58740,6212,58740
53,98,59740,6212,59740
54,99,60210,6212,60210
54,99,60530,6212,60530
55,101,60530,6212,60530
56,102,61000,6212,61000
57,104,62000,6212,62000
57,104,62810,6212,62810
57,104,63360,6212,63360
58,106,63830,6212,63830
58,106,64150,6212,64150
59,108,65150,6212,65150
60,109,66150,6212,66150
61,111,67150,6212,67150
61,111,67960,6212,67960
62,113,68960,6212,68960
62,113,68960,6212,68960
62,113,69960,6212,69960
63,115,69960,6212,69960
64,117,70430,6212,70430
65,119,71430,6212,71430
66,121,72080,6212,72080
67,123,73080,6212,73080
68,125,74080,6212,74080
68,125,74890,6212,74890
69,127,75890,6212,75890
69,127,76700,6212,76700
70,129,77700,6212,77700
71,131,78700,6212,78700
72,132,78700,6212,78700
73,134,79700,6212,79700
74,136,80700,6212,80700
74,136,81700,6212,81700
74,136,82700,6212,82700
75,138,83700,6212,83700
76,140,84700,6212,84700
77,141,85700,6212,85700
78,143,86700,6212,86700
79,147,86700,6212,86700
80,149,87700,6212,87700
81,151,88700,6212,88700
82,152,89170,6212,89170
83,154,89820,6212,89820
83,154,90280,6212,90280
84,158,91280,6212,91280
84,158,91600,6212,91600
84,158,92410,6212,92410
85,160,93410,6212,93410
86,162,94410,6212,94410
87,164,94880,6212,94880
88,166,95880,6212,95880
89,168,96880,6212,96880
89,168,97880,6212,97880
90,170,98880,6212,98880
90,170,99040,6212,99040
91,171,99510,6212,99510
92,173,100510,6212,100510
93,175,101510,6212,101510
94,177,101510,6212,101510
95,178,101510,6212,101510
96,182,102510,6212,102510
97,184,103510,6212,103510
98,186,103980,6212,103980
99,188,104980,6212,104980
99,188,105790,6212,105790
100,190,106790,6212,106790
100,190,107790,6212,107790
100,190,108110,6212,108110
101,192,109110,6212,109110
102,194,110110,6212,110110
103,196,110110,6212,110110
104,197,110580,6212,110580
105,199,111580,6212,111580
106,201,112580,6212,112580
107,203,113580,6212,113580
107,203,114580,6212,114580
107,203,115390,6212,115390
108,205,116390,6212,116390
109,207,117040,6212,117040
110,209,118040,6212,118040
111,211,119040,6212,119040
112,213,120040,6212,120040
113,215,120510,6212,120510
114,217,121510,6212,121510
114,217,122510,6212,122510
114,217,122830,6212,122830
114,217,123830,6212,123830
114,217,124830,6212,124830
115,219,124830,6212,124830
115,219,124830,6212,124830
115,219,125830,6212,125830
116,220,126830,6212,126830
116,220,127060,6212,127060
117,222,127530,6212,127530
118,224,128530,6212,128530
119,226,129530,6212,129530
119,226,130340,6212,130340
119,226,130660,6212,130660
120,228,130660,6212,130660
120,228,131250,6212,131250
121,230,131720,6212,131720
121,230,132180,6212,132180
122,232,133180,6212,133180
122,232,133990,6212,133990
122,232,134800,6212,134800
123,234,135800,6212,135800
123,234,135850,6212,135850
124,236,136850,6212,136850
124,236,137170,6212,137170
