ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
658288.22,10.6,0.38,178740.99,2.88
657887.07,10.59,0.37,178220.43,2.87
657485.92,10.59,0.37,177699.87,2.86
657876.34,10.6,0.37,177549.48,2.86
658286.57,10.6,0.38,177385.21,2.86
658660.93,10.61,0.39,177158.47,2.85
658165.35,10.61,0.38,176602.6,2.85
658355.58,10.61,0.39,176809.81,2.85
658316.05,10.61,0.39,176770.29,2.85
659020.9,10.62,0.4,176874.03,2.85
659411.32,10.63,0.41,176723.64,2.85
658895.94,10.62,0.4,176181.64,2.84
662487.06,10.68,0.46,179299.75,2.89
662897.28,10.69,0.47,179135.48,2.89
663307.5,10.7,0.47,179562.69,2.9
664586.33,10.72,0.49,180470.01,2.91
664484.11,10.72,0.49,180375.06,2.91
664587.94,10.72,0.5,180724.48,2.91
663902.36,10.71,0.49,179978.61,2.9
663386.98,10.7,0.48,179436.61,2.89
663284.76,10.7,0.48,179341.66,2.89
663078.71,10.7,0.48,178992.25,2.89
663488.94,10.71,0.48,179283.06,2.89
663879.36,10.71,0.49,179132.66,2.89
663819.58,10.71,0.49,178953.48,2.89
664210.0,10.72,0.5,178803.08,2.89
663714.42,10.72,0.49,178247.21,2.88
664088.79,10.72,0.5,178020.47,2.87
664029.01,10.72,0.5,177841.28,2.87
663969.23,10.72,0.5,177662.1,2.87
663839.71,10.72,0.5,177532.57,2.87
664230.13,10.73,0.51,177382.18,2.87
663734.55,10.72,0.5,176826.31,2.86
664124.97,10.73,0.51,176675.92,2.85
664515.39,10.74,0.52,176525.53,2.85
664413.17,10.74,0.52,176525.53,2.85
664803.59,10.75,0.53,176375.13,2.85
664308.02,10.74,0.52,175819.26,2.84
663622.44,10.73,0.51,175073.39,2.83
663622.44,10.73,0.51,175073.39,2.83
664530.68,10.75,0.53,175487.47,2.84
664921.1,10.76,0.53,175337.08,2.84
665311.52,10.76,0.54,175186.69,2.83
665311.52,10.76,0.54,175186.69,2.83
664625.94,10.75,0.53,174440.82,2.82
665016.36,10.76,0.54,174290.42,2.82
665721.21,10.78,0.55,174394.16,2.82
666021.43,10.78,0.56,174711.38,2.83
666411.85,10.79,0.57,174560.98,2.83
670002.96,10.85,0.62,177679.09,2.88
670742.07,10.86,0.64,177842.7,2.88
671132.49,10.87,0.65,177692.31,2.88
671216.91,10.87,0.65,177716.44,2.88
670531.33,10.86,0.64,176970.57,2.87
670921.75,10.87,0.65,176820.18,2.86
670236.18,10.86,0.64,176074.31,2.85
669960.6,10.86,0.63,175738.44,2.85
669900.82,10.86,0.63,175559.25,2.84
670291.24,10.86,0.64,175408.86,2.84
670996.09,10.88,0.65,175512.59,2.85
670500.51,10.87,0.65,174956.72,2.84
670910.73,10.88,0.66,174765.84,2.83
671301.15,10.89,0.66,174615.45,2.83
671675.52,10.89,0.67,174388.7,2.83
671355.52,10.89,0.67,174068.7,2.82
671745.94,10.9,0.68,173918.31,2.82
672136.36,10.91,0.68,173767.92,2.82
671450.78,10.9,0.67,173022.05,2.81
671391.0,10.9,0.67,172842.86,2.81
671801.22,10.9,0.68,173133.67,2.81
671115.65,10.89,0.67,172387.8,2.8
671525.87,10.9,0.68,172223.54,2.8
671030.29,10.9,0.67,171667.67,2.79
671404.66,10.9,0.68,171440.92,2.78
671795.08,10.91,0.69,171290.53,2.78
671665.56,10.91,0.69,171161.01,2.78
671150.18,10.9,0.68,170645.63,2.77
671540.6,10.91,0.69,170495.24,2.77
673245.44,10.94,0.72,171598.98,2.79
673239.86,10.94,0.72,171533.11,2.79
672744.29,10.93,0.71,170977.24,2.78
672642.07,10.93,0.71,170882.29,2.78
672582.29,10.93,0.71,170703.1,2.77
672576.71,10.93,0.71,170637.23,2.77
674281.56,10.96,0.74,171740.97,2.79
674221.78,10.96,0.74,171561.78,2.79
674612.2,10.97,0.75,171411.39,2.79
674096.82,10.96,0.74,170869.39,2.78
673861.24,10.96,0.74,170573.52,2.77
674769.48,10.98,0.75,170987.6,2.78
674449.48,10.97,0.75,170667.6,2.78
674859.71,10.98,0.76,170476.72,2.77
674269.93,10.97,0.75,169767.53,2.76
674660.35,10.98,0.76,169617.14,2.76
674164.77,10.97,0.75,169061.27,2.75
674555.19,10.98,0.76,168910.87,2.75
674659.02,10.98,0.76,169260.29,2.76
674452.97,10.98,0.76,168910.87,2.75
674452.97,10.98,0.76,168901.47,2.75
675361.21,11.0,0.77,169315.55,2.76
675751.63,11.0,0.78,169165.16,2.75
676490.73,11.02,0.8,169328.78,2.76
676881.15,11.03,0.8,169178.38,2.76
677586.0,11.04,0.82,169282.12,2.76
677090.42,11.03,0.81,168726.25,2.75
677480.84,11.04,0.82,168575.86,2.75
676965.46,11.03,0.81,168060.48,2.74
677355.88,11.04,0.82,167910.09,2.74
677766.1,11.05,0.83,167745.82,2.74
678176.33,11.06,0.84,168036.63,2.74
678566.75,11.07,0.84,167886.24,2.74
