ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
657705.93,10.59,0.37,177887.76,2.86
657304.78,10.58,0.36,177367.2,2.86
656903.63,10.58,0.36,176846.64,2.85
656801.41,10.58,0.36,176847.86,2.85
656699.19,10.58,0.36,176845.56,2.85
656596.97,10.58,0.36,177003.05,2.85
656195.82,10.57,0.35,176618.9,2.85
656068.56,10.57,0.35,176789.06,2.85
656102.46,10.57,0.35,176839.95,2.85
656000.24,10.57,0.35,176809.52,2.85
655898.02,10.57,0.35,176809.65,2.85
655496.87,10.57,0.35,176289.09,2.84
655496.87,10.57,0.35,176292.48,2.84
655394.65,10.57,0.35,177038.25,2.85
655394.65,10.57,0.35,176760.14,2.85
655394.65,10.57,0.35,176759.95,2.85
655292.43,10.57,0.35,176759.95,2.85
655292.43,10.57,0.35,179019.95,2.89
654702.65,10.56,0.34,178310.76,2.88
654301.5,10.56,0.33,177790.2,2.87
654199.28,10.56,0.33,177698.51,2.87
654097.06,10.56,0.33,177698.51,2.87
654097.06,10.56,0.33,177698.51,2.87
653994.84,10.56,0.33,177698.64,2.87
653935.06,10.56,0.33,177519.46,2.87
653832.84,10.56,0.33,177519.61,2.87
653431.69,10.55,0.33,177135.45,2.86
653329.47,10.55,0.33,179169.39,2.89
653269.69,10.55,0.33,178990.2,2.89
653209.91,10.55,0.33,178811.01,2.89
653160.13,10.55,0.33,178641.82,2.89
653057.91,10.55,0.33,178648.61,2.89
652656.76,10.54,0.32,178128.04,2.88
652554.54,10.54,0.32,178127.57,2.88
652452.32,10.54,0.32,178261.62,2.88
652350.1,10.54,0.32,178330.3,2.88
652247.88,10.54,0.32,178231.83,2.88
651846.73,10.54,0.32,177711.26,2.87
651256.95,10.53,0.31,177002.08,2.86
651256.95,10.53,0.31,177002.08,2.86
651582.9,10.54,0.32,177114.93,2.86
651480.68,10.54,0.32,177284.38,2.87
651378.46,10.54,0.32,177291.17,2.87
651378.46,10.54,0.32,177291.17,2.87
650788.68,10.53,0.31,176581.98,2.86
650686.46,10.53,0.31,176483.51,2.86
650584.24,10.53,0.31,176483.51,2.86
650515.59,10.53,0.31,177767.74,2.88
650413.37,10.53,0.31,177759.22,2.88
650413.37,10.53,0.31,177759.22,2.88
650636.66,10.53,0.31,177759.22,2.88
650534.44,10.53,0.31,177676.06,2.88
650328.93,10.53,0.31,177676.06,2.88
649739.15,10.52,0.3,176966.87,2.87
649636.93,10.52,0.3,176966.87,2.87
649047.15,10.52,0.29,176257.68,2.86
648463.47,10.51,0.29,175674.0,2.85
648095.3,10.5,0.28,175360.01,2.84
647993.08,10.5,0.28,175351.49,2.84
647890.86,10.5,0.28,175351.49,2.84
647489.71,10.5,0.28,174830.93,2.83
647387.49,10.5,0.28,174830.93,2.83
647285.27,10.5,0.28,174830.93,2.84
647183.05,10.5,0.28,174846.52,2.84
646863.05,10.49,0.27,174526.52,2.83
646760.83,10.49,0.27,174646.01,2.83
646658.61,10.49,0.27,174526.52,2.83
