ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1296401.62,20.87,0.37,197017.26,3.17
1299581.72,20.92,0.42,199798.54,3.22
1300160.16,20.93,0.43,199829.74,3.22
1300669.5,20.94,0.45,199797.5,3.22
1300720.4,20.95,0.45,199854.05,3.22
1300953.71,20.95,0.45,199588.23,3.21
1301101.79,20.96,0.46,199157.34,3.21
1301335.09,20.97,0.47,198902.7,3.2
1301554.11,20.97,0.47,198580.14,3.2
1301455.38,20.97,0.47,198518.78,3.2
1301501.42,20.97,0.48,198522.36,3.2
1300862.69,20.97,0.47,197921.0,3.19
1300693.01,20.97,0.47,197751.33,3.19
1300159.05,20.96,0.46,197163.72,3.18
1299520.31,20.95,0.46,196418.32,3.17
1300029.66,20.96,0.47,196386.08,3.17
1299930.92,20.96,0.47,196180.68,3.16
1299822.19,20.96,0.47,195965.28,3.16
1300055.5,20.97,0.47,195710.63,3.16
1300288.8,20.98,0.48,195455.99,3.15
1301419.14,21.0,0.5,196249.0,3.17
1301475.18,21.0,0.5,196251.4,3.17
1302984.53,21.02,0.53,197219.16,3.18
1303231.76,21.03,0.53,196924.8,3.18
1303465.06,21.04,0.54,196670.16,3.17
1303698.37,21.04,0.55,196404.34,3.17
1304207.71,21.06,0.56,196372.1,3.17
1303673.75,21.05,0.55,195784.5,3.16
1303125.86,21.04,0.55,195236.61,3.15
1303373.1,21.05,0.55,194942.26,3.15
1302734.36,21.04,0.55,194196.85,3.14
1302981.6,21.05,0.55,193902.5,3.13
1303228.83,21.06,0.56,193608.15,3.13
1306408.93,21.11,0.61,196389.42,3.17
1305874.96,21.1,0.61,195801.82,3.16
1309055.06,21.16,0.66,198583.1,3.21
1309841.87,21.17,0.67,199089.96,3.22
1309117.91,21.16,0.66,198323.54,3.21
1309380.45,21.17,0.67,198324.44,3.21
1308642.56,21.16,0.66,197586.55,3.19
1307002.75,21.16,0.66,197583.32,3.2
1307249.98,21.17,0.67,197288.96,3.19
1307483.29,21.17,0.68,197023.14,3.19
1306935.4,21.17,0.67,196475.25,3.18
1308244.53,21.19,0.69,197664.16,3.2
1308316.67,21.2,0.7,198438.66,3.21
1308549.97,21.2,0.71,198172.84,3.21
1308492.08,21.2,0.71,198114.95,3.21
1308725.39,21.21,0.71,197860.31,3.21
1308797.52,21.22,0.72,198634.8,3.22
1309030.83,21.22,0.73,198380.16,3.22
1309609.27,21.23,0.74,198411.37,3.22
1309842.58,21.24,0.74,198145.54,3.21
1309294.69,21.24,0.74,197597.66,3.2
1309804.03,21.25,0.75,197565.41,3.2
1310037.34,21.25,0.76,197310.77,3.2
1310284.57,21.26,0.76,197016.42,3.2
1310531.8,21.27,0.77,196722.07,3.19
1310765.11,21.28,0.78,196456.24,3.19
1310998.41,21.28,0.79,196201.6,3.19
1310464.45,21.28,0.78,195625.18,3.18
1313644.55,21.33,0.83,198406.46,3.22
1313700.59,21.33,0.83,198420.04,3.22
1314830.93,21.35,0.85,199213.05,3.23
1316340.27,21.37,0.88,200180.81,3.25
1317448.24,21.4,0.9,200187.59,3.25
1316914.28,21.39,0.89,199599.99,3.24
1320094.37,21.44,0.94,202381.27,3.29
1320843.15,21.46,0.96,202630.79,3.29
1321591.93,21.47,0.97,202880.32,3.3
1322340.71,21.48,0.99,203129.84,3.3
1322850.06,21.49,1.0,203097.6,3.3
1322850.06,21.49,1.0,203097.6,3.3
1323958.02,21.52,1.02,203104.38,3.3
1324191.33,21.52,1.03,202849.74,3.3
1323657.37,21.52,1.02,202262.14,3.29
1323548.63,21.52,1.02,202046.74,3.28
1323439.9,21.52,1.02,201831.33,3.28
1324570.24,21.54,1.04,202624.34,3.29
1324471.51,21.54,1.04,202418.94,3.29
1324704.81,21.54,1.05,202164.3,3.29
