ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
1293221.52,20.82,0.32,206042.52,3.32
1293221.52,20.82,0.32,207494.96,3.34
1293344.76,20.82,0.32,207643.66,3.34
1293139.78,20.82,0.32,207535.9,3.34
1292931.57,20.82,0.32,207399.43,3.34
1292726.59,20.82,0.32,207401.01,3.34
1292521.62,20.82,0.32,207342.03,3.34
1292316.64,20.82,0.32,207357.32,3.34
1292111.67,20.82,0.32,207284.63,3.34
1292012.93,20.82,0.32,207223.27,3.34
1292095.99,20.82,0.32,207199.66,3.34
1291457.26,20.82,0.32,206454.25,3.33
1291358.52,20.82,0.32,206248.85,3.32
1290908.57,20.81,0.31,205692.23,3.32
1290269.83,20.8,0.31,204946.83,3.3
1290064.86,20.8,0.31,204889.43,3.3
1290307.58,20.81,0.31,205323.95,3.31
1289929.88,20.8,0.31,204959.43,3.31
1290163.19,20.81,0.31,204704.79,3.3
1289958.21,20.81,0.31,204720.07,3.3
1290038.2,20.81,0.32,205580.75,3.32
1290094.24,20.81,0.32,205583.15,3.32
1294277.55,20.88,0.38,210849.54,3.4
1294072.58,20.88,0.38,210776.85,3.4
1293867.6,20.88,0.38,210792.14,3.4
1293662.63,20.88,0.38,210719.45,3.4
1293457.65,20.88,0.38,210662.05,3.4
1293441.45,20.88,0.39,210842.6,3.4
1292991.5,20.88,0.38,210285.97,3.4
1292786.52,20.88,0.38,210228.57,3.4
1292581.55,20.88,0.38,210228.57,3.4
1292376.57,20.88,0.38,210171.17,3.4
1292171.6,20.88,0.38,210171.17,3.4
1292171.6,20.88,0.38,210171.17,3.4
1291721.64,20.88,0.38,209614.55,3.39
1291721.64,20.88,0.38,209614.55,3.39
1291721.64,20.88,0.38,209614.55,3.39
1291082.91,20.87,0.37,208869.15,3.38
1290984.18,20.87,0.37,208663.74,3.37
1290345.44,20.86,0.36,207918.34,3.36
1288705.64,20.86,0.37,207893.97,3.37
1288500.66,20.86,0.37,207836.57,3.37
1288295.69,20.86,0.37,207836.57,3.37
1287845.73,20.86,0.36,207423.99,3.36
1287640.76,20.86,0.36,207366.59,3.36
1287435.78,20.86,0.36,207366.59,3.36
1287230.8,20.86,0.36,207368.18,3.36
1287558.51,20.86,0.37,207702.5,3.37
1287353.54,20.86,0.37,207717.78,3.37
1287148.56,20.86,0.37,207645.1,3.37
1287381.87,20.87,0.37,207390.45,3.36
1286879.18,20.87,0.37,207027.15,3.36
