ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
1,8,0,6212,0
2,10,0,6212,0
2,10,650,6212,650
2,10,1650,6212,1650
2,10,1880,6212,1880
3,12,2880,6212,2880
3,12,3880,6212,3880
4,14,4880,6212,4880
4,14,5880,6212,5880
5,15,6340,6212,6340
6,16,6570,6212,6570
7,17,7570,6212,7570
8,18,8030,6212,8030
9,19,8840,6212,8840
10,20,9840,6212,9840
11,22,10840,6212,10840
12,23,11300,6212,11300
13,24,11770,6212,11770
13,24,12770,6212,12770
14,26,13770,6212,13770
14,26,13770,6212,13770
15,27,13990,6212,13990
15,27,13990,6212,13990
15,27,14990,6212,14990
16,29,15990,6212,15990
16,29,16990,6212,16990
17,31,17990,6212,17990
18,32,18800,6212,18800
19,33,19610,6212,19610
19,33,20610,6212,20610
20,34,21610,6212,21610
21,36,22610,6212,22610
21,36,23610,6212,23610
21,36,23610,6212,23610
22,37,24420,6212,24420
22,37,24420,6212,24420
22,37,24420,6212,24420
23,38,25420,6212,25420
24,39,25880,6212,25880
25,40,26880,6212,26880
26,48,34880,6212,34880
27,50,35880,6212,35880
27,50,36880,6212,36880
28,51,37690,6212,37690
29,53,38690,6212,38690
30,57,39690,6212,39690
30,57,40690,6212,40690
31,58,41010,6212,41010
32,62,42010,6212,42010
33,64,43010,6212,43010
33,64,44010,6212,44010
34,68,44660,6212,44660
34,68,45660,6212,45660
35,69,46470,6212,46470
36,73,47470,6212,47470
37,75,48470,6212,48470
37,75,49470,6212,49470
38,77,50470,6212,50470
38,77,51470,6212,51470
