ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1293221.52,20.82,0.32,206042.52,3.32
1183129.82,19.05,0.45,288205.37,4.64
1183258.6,19.05,0.45,288236.16,4.64
1183065.61,19.05,0.45,288436.33,4.64
1182863.02,19.05,0.45,288222.75,4.64
1182670.04,19.05,0.45,288213.0,4.64
1182477.05,19.05,0.45,288143.29,4.64
1182284.07,19.05,0.45,288144.92,4.64
1182091.09,19.05,0.45,288063.83,4.64
1182017.05,19.05,0.45,287989.79,4.64
1182127.09,19.05,0.45,287974.03,4.64
1181513.05,19.04,0.45,287234.2,4.63
1181439.02,19.04,0.45,287034.37,4.63
1181011.65,19.04,0.44,286481.21,4.62
1180397.61,19.03,0.44,285741.38,4.61
1180204.63,19.03,0.44,285773.04,4.61
1180130.6,19.03,0.44,285573.21,4.61
1180046.56,19.03,0.44,285363.38,4.6
1179853.58,19.03,0.44,285252.26,4.6
1179660.6,19.03,0.44,285253.88,4.6
1179660.6,19.03,0.44,285272.18,4.6
1179780.04,19.03,0.44,285265.83,4.6
1179780.04,19.03,0.44,285247.53,4.6
1179587.05,19.03,0.44,285166.44,4.6
1179394.07,19.03,0.44,285168.07,4.6
1179201.09,19.03,0.44,285086.98,4.6
1179008.11,19.03,0.44,285014.53,4.6
1178580.74,19.03,0.43,284461.37,4.59
1178153.37,19.03,0.43,283908.21,4.58
1177960.39,19.03,0.43,283901.19,4.59
1177346.35,19.02,0.42,283287.15,4.58
1177153.37,19.02,0.42,283215.82,4.58
1176960.39,19.02,0.42,283207.69,4.58
1176960.39,19.02,0.42,283229.99,4.58
1176533.02,19.01,0.42,282676.82,4.57
1176533.02,19.01,0.42,282676.82,4.57
1176533.02,19.01,0.42,282676.85,4.57
1175918.98,19.01,0.41,281937.01,4.56
1175844.95,19.01,0.41,281737.18,4.55
1175230.91,19.0,0.4,280997.35,4.54
1173743.19,19.0,0.4,280858.65,4.55
1173571.26,19.0,0.41,280738.34,4.55
1173378.28,19.0,0.41,280728.58,4.55
1172950.91,19.0,0.4,280175.42,4.54
1172757.93,19.0,0.4,280105.71,4.54
1172564.95,19.0,0.4,280107.57,4.54
1172371.96,19.0,0.4,280097.81,4.54
1172397.37,19.0,0.4,279997.42,4.54
1172204.39,19.0,0.4,279927.72,4.54
1172011.4,19.0,0.4,279929.57,4.54
1171818.42,19.0,0.4,279931.2,4.54
1171947.19,19.0,0.41,280106.78,4.54
1171754.21,19.0,0.41,279982.14,4.54
1171326.84,19.0,0.4,279428.98,4.53
1171147.89,19.0,0.4,279312.94,4.53
1170954.91,19.0,0.4,279314.56,4.53
1170761.93,19.0,0.4,279233.47,4.53
1170568.95,19.0,0.4,279161.72,4.53
1170375.96,19.0,0.4,279154.01,4.53
1170182.98,19.0,0.4,279155.64,4.53
1169755.61,18.99,0.4,278602.47,4.52
1169755.61,18.99,0.4,278602.47,4.52
1169562.95,18.99,0.39,278470.23,4.52
