ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1607480.51,25.88,0.31,206177.54,3.32
1607224.78,25.88,0.31,206072.08,3.32
1606969.04,25.88,0.31,206085.67,3.32
1606969.04,25.88,0.31,206081.16,3.32
1606713.3,25.88,0.31,206023.8,3.32
1606457.56,25.88,0.31,205980.03,3.32
1606201.82,25.88,0.31,205980.03,3.32
1606356.38,25.89,0.31,205655.39,3.31
1606356.38,25.89,0.31,205652.51,3.31
1605614.79,25.88,0.3,204871.17,3.3
1605378.34,25.88,0.3,204605.78,3.3
1606049.3,25.89,0.31,204797.42,3.3
1605927.5,25.89,0.31,204575.56,3.3
1605927.5,25.89,0.31,204575.56,3.3
1605265.7,25.88,0.31,203813.69,3.29
1605009.96,25.88,0.31,203871.05,3.29
1604754.22,25.88,0.31,203769.92,3.29
1604908.78,25.89,0.31,203445.28,3.28
1604908.78,25.89,0.31,208717.42,3.37
1605600.55,25.9,0.33,210293.93,3.39
1605563.49,25.9,0.33,210156.79,3.39
1605431.68,25.9,0.33,209924.93,3.39
1605175.95,25.9,0.33,209938.52,3.39
1604920.21,25.9,0.33,209881.16,3.39
1604862.22,25.9,0.33,209783.54,3.39
1604606.48,25.9,0.33,209739.77,3.39
1604350.74,25.9,0.33,209739.77,3.39
1604095.0,25.9,0.33,209696.0,3.39
1603839.26,25.9,0.33,209696.0,3.39
1603839.26,25.9,0.33,209773.18,3.39
1603680.53,25.9,0.33,209668.15,3.39
1606768.56,25.95,0.38,209850.7,3.39
1606512.82,25.95,0.38,209864.29,3.39
1606257.08,25.95,0.38,209806.93,3.39
1606257.08,25.95,0.38,209764.66,3.39
1605672.35,25.94,0.37,209179.92,3.38
1605747.23,25.94,0.37,209758.07,3.39
1605274.29,25.94,0.37,209185.06,3.38
1605463.74,25.94,0.37,209270.99,3.38
1611342.94,26.04,0.47,216650.53,3.5
1611471.25,26.04,0.47,217312.08,3.51
1610998.31,26.04,0.47,216739.07,3.5
1610998.31,26.04,0.47,216775.13,3.5
1610742.57,26.04,0.47,216783.06,3.5
1610486.83,26.04,0.47,216731.36,3.5
1610013.89,26.04,0.46,216303.55,3.5
1610013.89,26.04,0.46,216260.09,3.5
1609352.09,26.03,0.46,215498.22,3.49
1609096.35,26.03,0.46,215511.81,3.49
1608711.16,26.03,0.45,215091.51,3.48
1608900.61,26.03,0.46,215177.43,3.48
1608900.61,26.03,0.46,215177.43,3.48
1608833.73,26.03,0.46,215468.39,3.49
1608458.54,26.03,0.45,215295.28,3.48
1607716.95,26.02,0.45,214513.94,3.47
1607461.21,26.02,0.45,214456.58,3.47
1606799.41,26.01,0.44,213694.71,3.46
1606137.61,26.01,0.43,212932.84,3.45
1606550.58,26.02,0.44,212826.87,3.45
1606705.14,26.03,0.45,212512.7,3.44
1606449.4,26.03,0.45,212526.29,3.44
1606155.35,26.02,0.45,212305.35,3.44
1605899.61,26.02,0.45,212247.99,3.44
1606054.17,26.03,0.45,211933.82,3.43
1606129.05,26.03,0.46,218417.69,3.54
1606097.98,26.03,0.46,218306.81,3.54
1605436.18,26.02,0.45,217544.94,3.53
1607086.28,26.05,0.48,218089.31,3.54
1607586.29,26.06,0.49,218065.08,3.54
1610396.18,26.11,0.53,218456.49,3.54
1610140.44,26.11,0.53,218444.46,3.54
1610140.44,26.11,0.53,218440.0,3.54
1609884.7,26.11,0.53,218380.4,3.54
