ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
1607480.51,25.88,0.31,206177.54,3.32
1607224.78,25.88,0.31,206072.08,3.32
1606969.04,25.88,0.31,206085.67,3.32
1606969.04,25.88,0.31,206081.16,3.32
1606713.3,25.88,0.31,206023.8,3.32
1606457.56,25.88,0.31,205980.03,3.32
1606201.82,25.88,0.31,205980.03,3.32
1606356.38,25.89,0.31,205655.39,3.31
1606356.38,25.89,0.31,205652.51,3.31
1605614.79,25.88,0.3,204871.17,3.3
1605378.34,25.88,0.3,204605.78,3.3
1606049.3,25.89,0.31,204797.42,3.3
1605927.5,25.89,0.31,204575.56,3.3
1605927.5,25.89,0.31,204575.56,3.3
1605199.51,25.88,0.31,203807.94,3.29
1604943.77,25.88,0.31,203865.3,3.29
1604688.03,25.88,0.31,203764.17,3.29
1604842.59,25.89,0.31,203439.53,3.28
1604842.59,25.89,0.31,208711.68,3.37
1605534.36,25.9,0.32,210288.18,3.39
1605422.78,25.9,0.32,210136.84,3.39
1605290.98,25.9,0.32,209904.98,3.39
1605035.24,25.9,0.32,209918.57,3.39
1604779.5,25.9,0.32,209861.21,3.39
1604748.43,25.9,0.33,209750.32,3.39
1604492.69,25.9,0.33,209706.55,3.39
1604236.95,25.9,0.33,209706.55,3.39
1603981.21,25.9,0.33,209662.78,3.39
1603725.47,25.9,0.33,209662.78,3.39
1603725.47,25.9,0.33,209739.96,3.39
1603566.74,25.9,0.32,209634.93,3.39
1606654.77,25.95,0.37,209817.48,3.39
1606399.03,25.95,0.37,209831.07,3.39
1606143.29,25.95,0.37,209773.71,3.39
1606143.29,25.95,0.37,209731.44,3.39
1605592.56,25.94,0.37,209160.46,3.38
1605667.44,25.94,0.37,209738.6,3.39
1605194.5,25.94,0.36,209165.59,3.38
1605383.95,25.94,0.37,209251.52,3.38
1611263.16,26.04,0.46,216631.06,3.5
1611391.47,26.04,0.47,217292.62,3.51
1610918.52,26.04,0.46,216719.6,3.5
1610918.52,26.04,0.46,216755.67,3.5
1610662.79,26.04,0.46,216763.59,3.5
1610407.05,26.04,0.46,216711.9,3.5
1609934.1,26.03,0.46,216138.89,3.5
1609934.1,26.03,0.46,216095.42,3.49
1609272.3,26.03,0.45,215478.75,3.49
1609016.56,26.03,0.45,215492.35,3.49
1608631.37,26.02,0.45,215072.04,3.48
1608820.82,26.03,0.45,215324.33,3.48
1608820.82,26.03,0.45,215324.33,3.48
1608347.88,26.02,0.45,214751.32,3.47
1607972.69,26.02,0.45,214511.67,3.47
1607310.89,26.01,0.44,213749.8,3.46
1606649.09,26.01,0.43,212987.93,3.45
1605987.29,26.0,0.43,212226.06,3.44
1605325.49,25.99,0.42,211464.19,3.42
1605069.75,25.99,0.42,211420.42,3.42
1604814.01,25.99,0.42,211420.42,3.42
1604968.57,26.0,0.43,211106.25,3.42
1604674.52,26.0,0.42,210885.31,3.42
1604418.78,26.0,0.42,210841.54,3.42
1604163.04,26.0,0.42,210841.54,3.42
1604237.92,26.0,0.43,217325.41,3.52
1604166.34,26.0,0.43,217203.61,3.52
1603504.54,25.99,0.42,216441.74,3.51
1605154.64,26.02,0.45,216986.11,3.52
1605654.64,26.03,0.46,216961.88,3.52
1608464.54,26.08,0.5,217353.29,3.52
1608619.09,26.08,0.51,217028.65,3.52
1608619.09,26.08,0.51,217024.18,3.52
1608773.65,26.09,0.52,216710.02,3.51
1608773.65,26.09,0.52,216707.08,3.51
