ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
1607962.02,25.89,0.31,206547.84,3.33
1608374.99,25.9,0.32,206437.59,3.32
1608529.55,25.9,0.33,206119.15,3.32
1609587.72,25.92,0.35,206857.1,3.33
1610000.69,25.93,0.36,206746.85,3.33
1611162.38,25.95,0.38,207749.11,3.35
1611316.94,25.96,0.39,207430.67,3.34
1611471.49,25.97,0.39,207101.76,3.34
1612529.66,25.99,0.41,207839.7,3.35
1611788.08,25.98,0.4,207047.9,3.34
1611726.49,25.98,0.4,206936.1,3.34
1612397.45,25.99,0.42,207172.91,3.34
1612275.65,25.99,0.42,206951.04,3.34
1612275.65,25.99,0.42,207141.42,3.34
1611534.06,25.98,0.41,206360.08,3.33
1611350.42,25.98,0.41,206538.24,3.33
1611022.58,25.98,0.41,206098.07,3.32
1611177.14,25.99,0.42,205769.16,3.32
1612235.31,26.01,0.43,206507.11,3.33
1613293.48,26.02,0.45,207245.05,3.34
1613181.89,26.02,0.45,207093.72,3.34
1613050.09,26.02,0.45,206861.85,3.34
1613204.65,26.03,0.46,206543.41,3.33
1613359.2,26.04,0.46,206224.96,3.33
1613287.62,26.04,0.46,206103.16,3.33
1613700.59,26.05,0.47,205992.92,3.33
1613038.79,26.04,0.47,205231.05,3.31
1613179.97,26.05,0.47,204849.02,3.31
