ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
1,8,470,6212,470
1,8,1470,6212,1470
1,8,2470,6212,2470
1,8,2470,6212,2470
1,8,3470,6212,3470
2,16,4470,6212,4470
2,16,5470,6212,5470
2,16,6470,6212,6470
2,16,6470,6212,6470
3,17,7470,6212,7470
3,17,7790,6212,7790
3,17,8260,6212,8260
3,17,8720,6212,8720
4,25,8720,6212,8720
5,26,9720,6212,9720
5,26,10720,6212,10720
5,26,11720,6212,11720
5,26,12720,6212,12720
6,34,12720,6212,12720
6,34,12720,6212,12720
7,35,13090,6212,13090
8,36,13560,6212,13560
8,36,14560,6212,14560
8,36,15560,6212,15560
9,37,15890,6212,15890
9,37,16890,6212,16890
10,38,17890,6212,17890
11,40,18890,6212,18890
11,40,19890,6212,19890
11,40,19890,6212,19890
11,40,20050,6212,20050
11,40,20050,6212,20050
12,48,21050,6212,21050
12,48,22050,6212,22050
12,48,22050,6212,22050
12,48,22640,6212,22640
12,48,22640,6212,22640
13,49,23450,6212,23450
13,49,23920,6212,23920
13,49,23920,6212,23920
13,49,24510,6212,24510
14,50,25320,6212,25320
14,50,25320,6212,25320
15,52,26320,6212,26320
15,52,27320,6212,27320
16,53,28130,6212,28130
16,53,28130,6212,28130
17,54,29130,6212,29130
18,62,30130,6212,30130
18,62,30600,6212,30600
18,62,31070,6212,31070
18,62,31070,6212,31070
19,63,31880,6212,31880
19,63,32340,6212,32340
20,64,33340,6212,33340
21,65,34340,6212,34340
22,66,35340,6212,35340
23,67,36340,6212,36340
23,67,37340,6212,37340
23,67,38340,6212,38340
23,67,39340,6212,39340
24,68,39660,6212,39660
25,76,40660,6212,40660
25,76,41660,6212,41660
25,76,41660,6212,41660
26,77,41990,6212,41990
27,78,42990,6212,42990
27,78,42990,6212,42990
27,78,43640,6212,43640
27,78,43640,6212,43640
27,78,44640,6212,44640
27,78,44640,6212,44640
28,86,45640,6212,45640
28,86,45640,6212,45640
28,86,46640,6212,46640
29,87,47450,6212,47450
29,87,47450,6212,47450
