ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1607480.51,25.88,0.31,206023.16,3.32
1800934.27,29.0,0.33,212368.2,3.42
1800647.55,29.0,0.33,212340.9,3.42
1800647.55,29.0,0.33,212390.05,3.42
1800360.84,29.0,0.33,212485.35,3.42
1800074.13,29.0,0.33,212480.57,3.42
1799787.41,29.0,0.33,212480.57,3.42
1799500.7,29.0,0.33,213104.54,3.43
1799500.7,29.0,0.33,213323.36,3.44
1798818.88,28.99,0.32,212549.29,3.43
1798581.92,28.99,0.32,214705.95,3.46
1798739.97,28.99,0.32,214473.66,3.46
1798547.03,28.99,0.32,216941.26,3.5
1798547.03,28.99,0.32,216999.41,3.5
1797865.21,28.99,0.32,216225.35,3.49
1797578.5,28.99,0.32,217394.09,3.51
1797291.78,28.99,0.32,216921.84,3.5
1797005.07,28.99,0.32,216459.61,3.49
1797005.07,28.99,0.32,216456.91,3.49
1797005.07,28.99,0.32,216454.84,3.49
1796946.64,28.99,0.32,216304.16,3.49
1796794.83,28.99,0.32,216060.09,3.49
1796508.11,28.99,0.32,216060.09,3.49
1796221.4,28.99,0.32,216060.09,3.49
1796167.41,28.99,0.32,215935.15,3.49
1795880.7,28.99,0.32,217346.53,3.51
1795198.88,28.98,0.31,216572.46,3.5
1794912.17,28.98,0.31,216539.94,3.5
1794625.45,28.98,0.31,216539.94,3.5
1794625.45,28.98,0.31,216539.94,3.5
1794523.6,28.98,0.31,215457.44,3.48
1794523.6,28.98,0.31,215944.62,3.49
1794236.89,28.98,0.31,215941.66,3.49
1793950.17,28.98,0.31,215939.84,3.49
1793950.17,28.98,0.31,215939.84,3.49
1793366.78,28.97,0.3,215356.45,3.48
1793366.78,28.97,0.3,215356.45,3.48
1792872.97,28.97,0.3,214862.64,3.47
1793031.01,28.98,0.3,214862.64,3.47
1793031.01,28.98,0.3,215901.11,3.49
1792483.18,28.97,0.3,215331.98,3.48
1791989.37,28.97,0.29,214745.92,3.47
1791989.37,28.97,0.29,214353.74,3.46
1791702.66,28.97,0.29,214355.43,3.47
1791415.94,28.97,0.29,214321.22,3.47
1790922.13,28.96,0.29,213735.16,3.46
1790922.13,28.96,0.29,213735.16,3.46
1790240.31,28.95,0.28,212961.09,3.44
1789953.6,28.95,0.28,212958.13,3.44
1789638.78,28.95,0.28,212683.38,3.44
1789796.82,28.96,0.29,212681.57,3.44
1789796.82,28.96,0.29,212681.57,3.44
1789303.01,28.95,0.28,212095.51,3.43
1788928.25,28.95,0.28,212268.21,3.43
1788246.43,28.94,0.27,211494.14,3.42
1787564.62,28.94,0.26,210720.07,3.41
1786882.8,28.93,0.26,209946.0,3.4
1786200.98,28.92,0.25,209264.18,3.39
