ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
1,8,0,6212,0
2,10,810,6212,810
3,12,1810,6212,1810
4,20,2810,6212,2810
5,28,3810,6212,3810
6,30,4620,6212,4620
7,38,5090,6212,5090
8,46,5740,6212,5740
9,48,6550,6212,6550
10,50,6780,6212,6780
11,52,7590,6212,7590
12,54,8590,6212,8590
13,62,9060,6212,9060
14,70,9520,6212,9520
15,78,9520,6212,9520
16,86,10520,6212,10520
17,88,10980,6212,10980
18,96,11440,6212,11440
19,104,12440,6212,12440
20,106,13440,6212,13440
21,114,13440,6212,13440
21,114,13910,6212,13910
22,116,13910,6212,13910
23,124,14720,6212,14720
24,132,14880,6212,14880
25,140,14880,6212,14880
25,140,15880,6212,15880
26,142,16880,6212,16880
27,150,17690,6212,17690
28,158,18690,6212,18690
29,160,18800,6212,18800
30,164,19800,6212,19800
31,166,19800,6212,19800
32,168,20270,6212,20270
33,170,21270,6212,21270
34,172,22270,6212,22270
35,174,23270,6212,23270
36,182,24270,6212,24270
37,190,25270,6212,25270
38,192,25740,6212,25740
39,200,25740,6212,25740
40,208,26740,6212,26740
41,216,26740,6212,26740
42,218,27740,6212,27740
43,226,28060,6212,28060
44,228,29060,6212,29060
45,230,29060,6212,29060
46,232,29380,6212,29380
47,234,30380,6212,30380
48,236,31190,6212,31190
49,244,31190,6212,31190
49,244,31560,6212,31560
50,246,32560,6212,32560
50,246,33560,6212,33560
51,248,34560,6212,34560
52,256,34880,6212,34880
53,258,35880,6212,35880
54,260,36880,6212,36880
55,268,37880,6212,37880
56,270,38690,6212,38690
57,278,39690,6212,39690
58,282,40690,6212,40690
59,284,41010,6212,41010
60,286,42010,6212,42010
61,288,43010,6212,43010
62,296,44010,6212,44010
63,298,45010,6212,45010
64,300,45010,6212,45010
65,308,46010,6212,46010
66,316,47010,6212,47010
67,318,47480,6212,47480
68,320,48290,6212,48290
69,328,49290,6212,49290
70,330,50290,6212,50290
70,330,51100,6212,51100
71,338,51100,6212,51100
72,340,52100,6212,52100
73,348,53100,6212,53100
74,356,53910,6212,53910
75,364,57910,6212,57910
76,366,57910,6212,57910
