ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
866232.55,13.94,0.35,181382.31,2.92
866297.87,13.95,0.35,180959.04,2.91
866161.9,13.95,0.35,180994.76,2.91
866025.92,13.95,0.35,180994.45,2.91
865889.94,13.95,0.35,180994.14,2.92
865942.64,13.95,0.35,181105.22,2.92
866238.66,13.96,0.36,181104.91,2.92
866429.12,13.96,0.36,181104.6,2.92
866481.82,13.96,0.37,181215.68,2.92
866935.39,13.97,0.37,181267.86,2.92
866988.09,13.97,0.38,181378.94,2.92
866852.11,13.97,0.38,181369.05,2.92
867148.13,13.98,0.38,181368.74,2.92
867452.3,13.99,0.39,181368.42,2.92
867452.3,13.99,0.39,181368.11,2.92
867316.33,13.99,0.39,181367.8,2.92
867620.5,13.99,0.39,181355.33,2.92
867924.67,14.0,0.4,181355.02,2.92
867788.69,14.0,0.4,181354.71,2.93
868126.83,14.01,0.41,181162.47,2.92
868126.83,14.01,0.41,181167.7,2.92
867754.84,14.0,0.4,181167.7,2.92
867754.84,14.0,0.4,181088.38,2.92
867807.54,14.0,0.41,181088.45,2.92
868198.1,14.01,0.41,181088.14,2.92
868198.1,14.01,0.41,181087.83,2.92
868062.12,14.01,0.41,181060.28,2.92
868400.26,14.02,0.42,180868.04,2.92
868452.97,14.02,0.42,180868.1,2.92
868316.99,14.02,0.42,180867.79,2.92
868738.89,14.03,0.43,181100.17,2.92
868635.37,14.03,0.43,181139.41,2.93
868635.37,14.03,0.43,181060.09,2.92
868931.39,14.03,0.44,181166.0,2.93
868795.41,14.03,0.44,181172.22,2.93
868659.43,14.03,0.44,181178.45,2.93
868523.45,14.03,0.44,181163.66,2.93
868387.48,14.03,0.44,181163.35,2.93
868251.5,14.03,0.44,181163.04,2.93
868547.52,14.04,0.44,181273.23,2.93
868547.52,14.04,0.44,181278.45,2.93
868411.54,14.04,0.44,181278.14,2.93
868411.54,14.04,0.44,181277.83,2.93
868275.57,14.04,0.44,181255.14,2.93
868660.23,14.05,0.45,181254.83,2.93
868524.25,14.05,0.45,181175.52,2.93
868524.25,14.05,0.45,181096.21,2.93
868908.91,14.05,0.46,181090.75,2.93
868772.93,14.05,0.46,181080.86,2.93
868838.26,14.06,0.46,180657.59,2.92
868838.26,14.06,0.46,180657.31,2.92
869203.86,14.06,0.47,181588.07,2.94
869067.88,14.06,0.47,181594.3,2.94
868931.91,14.06,0.47,181733.03,2.94
868795.93,14.06,0.47,181723.13,2.94
869180.59,14.07,0.47,181722.82,2.94
869537.79,14.08,0.48,181529.33,2.94
869860.48,14.09,0.49,181275.71,2.94
869724.5,14.09,0.49,181275.4,2.94
869777.2,14.09,0.49,181386.48,2.94
869641.22,14.09,0.49,181386.48,2.94
869505.25,14.09,0.49,180724.08,2.93
869902.53,14.1,0.5,180557.01,2.93
869766.55,14.1,0.5,180534.32,2.93
869630.57,14.1,0.5,180524.42,2.93
869494.59,14.1,0.5,180524.11,2.93
869358.62,14.1,0.5,180514.22,2.93
869358.62,14.1,0.5,180434.9,2.93
869222.64,14.1,0.5,180434.59,2.93
869086.66,14.1,0.5,180434.75,2.93
869382.68,14.1,0.51,180544.94,2.93
869448.0,14.11,0.51,180121.67,2.92
869312.03,14.11,0.51,180121.37,2.92
869176.05,14.11,0.51,180157.09,2.92
869228.75,14.11,0.51,180631.04,2.93
869228.75,14.11,0.51,180630.73,2.93
869092.77,14.11,0.51,180636.96,2.93
868956.8,14.11,0.51,180636.65,2.93
869009.5,14.11,0.51,180636.72,2.93
868465.59,14.11,0.51,180657.7,2.94
869696.34,14.13,0.53,181533.1,2.95
869749.04,14.13,0.54,181533.16,2.95
869749.04,14.13,0.54,181453.85,2.95
869801.74,14.14,0.54,181453.92,2.95
869665.76,14.14,0.54,181453.61,2.95
869529.79,14.14,0.54,181453.81,2.95
869529.79,14.14,0.54,181374.5,2.95
869582.49,14.14,0.54,181374.56,2.95
869446.51,14.14,0.54,181374.25,2.95
869310.53,14.14,0.54,181296.29,2.95
869174.56,14.14,0.54,181295.97,2.95
869038.58,14.14,0.54,181295.67,2.95
869229.03,14.15,0.55,181295.36,2.95
869281.73,14.15,0.55,181295.42,2.95
869145.75,14.15,0.55,181295.11,2.95
869009.78,14.15,0.55,181215.8,2.95
869305.8,14.15,0.56,181325.98,2.95
869690.46,14.16,0.56,181427.65,2.95
869690.46,14.16,0.56,181427.65,2.95
869743.16,14.16,0.57,181427.72,2.95
869795.86,14.17,0.57,181538.8,2.96
870076.97,14.17,0.57,180798.44,2.94
870129.67,14.18,0.58,180798.51,2.95
871360.42,14.2,0.6,181673.9,2.96
871360.42,14.2,0.6,181673.62,2.96
871224.45,14.2,0.6,181673.31,2.96
871088.47,14.2,0.6,181594.0,2.96
870952.49,14.2,0.6,181594.15,2.96
871005.19,14.2,0.6,181705.23,2.96
871327.88,14.21,0.61,181451.62,2.96
871623.9,14.21,0.61,181451.31,2.96
871520.37,14.21,0.61,181260.95,2.96
871384.4,14.21,0.61,181260.64,2.96
871437.1,14.22,0.62,181371.72,2.96
871775.24,14.22,0.63,181191.58,2.96
871639.26,14.22,0.63,181194.25,2.96
871503.28,14.22,0.63,181114.94,2.96
871503.28,14.22,0.63,181035.63,2.95
871503.28,14.22,0.63,181035.32,2.95
871503.28,14.22,0.63,181035.01,2.95
871503.28,14.22,0.63,181034.72,2.95
871841.43,14.23,0.63,180854.58,2.95
871705.45,14.23,0.63,180854.27,2.95
871569.47,14.23,0.63,180854.43,2.95
871634.79,14.23,0.64,180431.16,2.95
871634.79,14.23,0.64,180351.85,2.95
871634.79,14.23,0.64,180351.54,2.95
871498.81,14.23,0.64,180351.54,2.95
871498.81,14.23,0.64,180272.23,2.94
871498.81,14.23,0.64,180271.92,2.94
871498.81,14.23,0.64,180271.61,2.94
871689.27,14.24,0.64,180339.24,2.95
871741.97,14.24,0.64,180339.24,2.95
871741.97,14.24,0.64,180148.85,2.94
871605.99,14.24,0.64,180148.85,2.94
871371.41,14.24,0.64,179826.55,2.94
871667.43,14.25,0.65,179826.24,2.94
871531.46,14.25,0.65,179832.46,2.94
871395.48,14.25,0.65,179753.15,2.94
871448.18,14.25,0.65,179673.84,2.94
871312.2,14.25,0.65,179680.07,2.94
871176.22,14.25,0.65,179600.76,2.94
871176.22,14.25,0.65,179521.45,2.94
871863.1,14.26,0.66,179625.9,2.94
871727.12,14.26,0.66,179625.6,2.94
871727.12,14.26,0.66,179670.04,2.94
871917.57,14.27,0.67,179923.96,2.94
872213.59,14.27,0.68,179923.64,2.94
872077.62,14.27,0.68,179923.64,2.94
872130.32,14.28,0.68,179923.71,2.95
872183.02,14.28,0.68,180223.17,2.95
872047.04,14.28,0.68,180143.86,2.95
872099.74,14.28,0.68,180143.93,2.95
871963.77,14.28,0.68,180150.16,2.95
872259.79,14.29,0.69,180260.34,2.95
872123.81,14.29,0.69,180260.03,2.95
871987.83,14.29,0.69,180259.72,2.95
872040.53,14.29,0.69,180370.8,2.96
871904.56,14.29,0.69,180291.49,2.95
872289.22,14.3,0.7,180291.49,2.96
872570.33,14.3,0.71,180332.42,2.96
872434.35,14.3,0.71,180332.12,2.96
872298.37,14.3,0.71,180331.81,2.96
872602.54,14.31,0.71,180331.5,2.96
872466.57,14.31,0.71,180331.19,2.96
872519.27,14.31,0.71,179798.01,2.95
872383.29,14.31,0.71,179797.7,2.95
872247.31,14.31,0.72,179797.7,2.95
872631.98,14.32,0.72,179797.39,2.95
872496.0,14.32,0.72,179718.08,2.95
872880.66,14.33,0.73,179717.77,2.95
872744.68,14.33,0.73,179724.0,2.95
873129.34,14.33,0.74,180008.97,2.96
873129.34,14.33,0.74,179931.98,2.95
873005.99,14.33,0.74,179316.11,2.94
873005.99,14.33,0.74,179321.34,2.94
872870.01,14.33,0.74,179321.03,2.94
872734.03,14.33,0.74,179321.19,2.95
872786.73,14.34,0.74,179432.27,2.95
872650.75,14.34,0.74,179438.49,2.95
872650.75,14.34,0.74,179438.12,2.95
872514.78,14.34,0.74,179438.28,2.95
872810.8,14.34,0.75,179438.28,2.95
872863.5,14.35,0.75,179433.02,2.95
872727.52,14.35,0.75,179432.71,2.95
873414.39,14.36,0.76,179537.16,2.95
873414.39,14.36,0.76,179542.39,2.95
873414.39,14.36,0.76,179542.1,2.95
873867.96,14.37,0.77,179541.79,2.95
874252.63,14.37,0.78,179643.46,2.95
874637.29,14.38,0.78,179643.15,2.95
874689.99,14.38,0.79,179643.21,2.95
874554.01,14.38,0.79,179642.84,2.95
874606.71,14.39,0.79,179642.9,2.96
874606.71,14.39,0.79,179563.59,2.95
874606.71,14.39,0.79,179563.28,2.95
874470.74,14.39,0.79,179563.28,2.95
874523.44,14.39,0.79,179562.97,2.95
874523.44,14.39,0.79,179485.08,2.95
874523.44,14.39,0.79,179484.77,2.95
874576.14,14.39,0.8,179484.83,2.95
874960.8,14.4,0.8,179484.36,2.95
874824.82,14.4,0.8,179474.47,2.95
874688.84,14.4,0.8,179474.09,2.95
874552.87,14.4,0.8,179394.78,2.95
874743.32,14.41,0.81,179394.47,2.95
874607.34,14.41,0.81,179315.16,2.95
874660.04,14.41,0.81,179426.24,2.96
874660.04,14.41,0.81,179346.93,2.95
874524.07,14.41,0.81,179346.62,2.95
874388.09,14.41,0.81,179346.62,2.96
874252.11,14.41,0.81,179336.72,2.96
874304.81,14.41,0.81,179447.8,2.96
874323.53,14.41,0.81,179490.34,2.96
874619.55,14.42,0.82,179490.03,2.96
874483.57,14.42,0.82,179489.71,2.96
874779.59,14.42,0.83,179489.71,2.96
874643.61,14.42,0.83,179489.41,2.96
874507.64,14.42,0.83,179489.57,2.96
874803.66,14.43,0.83,179489.26,2.96
874667.68,14.43,0.83,179488.95,2.96
874720.38,14.43,0.84,179600.03,2.96
874773.08,14.44,0.84,179600.09,2.96
874637.11,14.44,0.84,179599.78,2.96
874637.11,14.44,0.84,179520.47,2.96
874501.13,14.44,0.84,179520.63,2.96
874797.15,14.44,0.85,179630.81,2.97
874661.17,14.44,0.85,179630.5,2.97
875365.59,14.46,0.86,179816.83,2.97
875731.2,14.46,0.87,179816.52,2.97
875595.22,14.46,0.87,179816.21,2.97
875647.92,14.47,0.87,179927.29,2.97
875713.24,14.47,0.87,179504.03,2.97
876017.42,14.47,0.88,179503.65,2.97
876070.12,14.48,0.88,179503.72,2.97
876756.99,14.49,0.89,179608.17,2.97
877210.56,14.5,0.9,179607.86,2.97
877210.56,14.5,0.9,179607.86,2.97
877210.56,14.5,0.9,179528.55,2.97
877210.56,14.5,0.9,179533.78,2.97
877074.58,14.5,0.9,179533.78,2.97
877127.28,14.5,0.9,179533.84,2.97
876583.37,14.5,0.9,180433.57,2.99
876447.4,14.5,0.9,180470.01,2.99
876311.42,14.5,0.9,180398.46,2.99
876175.44,14.5,0.9,180398.15,2.99
876039.47,14.5,0.91,180397.84,2.99
875903.49,14.5,0.91,180318.53,2.99
876759.91,14.52,0.92,180664.86,2.99
876623.93,14.52,0.92,180664.55,2.99
876487.95,14.52,0.92,180664.24,2.99
877344.37,14.53,0.94,181010.57,3.0
877208.39,14.53,0.94,181010.26,3.0
877072.42,14.53,0.94,181009.95,3.0
877125.12,14.54,0.94,181010.02,3.0
876989.14,14.54,0.94,180923.67,3.0
877285.16,14.54,0.95,180923.36,3.0
877149.18,14.54,0.95,180923.05,3.0
877013.21,14.54,0.95,180923.05,3.0
876877.23,14.54,0.95,180923.21,3.0
876741.25,14.54,0.95,180923.36,3.0
876637.72,14.54,0.95,180443.32,2.99
876941.9,14.55,0.95,180443.01,2.99
