ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_ratio
867083.7,13.96,0.36,183189.61,2.95
866667.17,13.95,0.36,182658.01,2.94
866531.2,13.95,0.36,182696.02,2.94
866853.89,13.96,0.36,182435.53,2.94
867192.03,13.97,0.37,182236.43,2.94
866698.76,13.96,0.36,181743.16,2.93
867018.35,13.97,0.37,181634.17,2.93
867705.23,13.98,0.38,181731.75,2.93
867197.83,13.97,0.38,181178.42,2.92
867651.4,13.98,0.38,181538.91,2.93
867145.27,13.98,0.38,181038.89,2.92
867483.41,13.98,0.39,180839.78,2.92
867185.4,13.98,0.38,180643.98,2.91
867515.0,13.99,0.39,180544.99,2.91
867515.0,13.99,0.39,180517.9,2.91
867837.68,13.99,0.4,180257.41,2.91
867695.74,13.99,0.4,180115.46,2.9
867630.54,13.99,0.4,180050.26,2.9
866933.14,13.98,0.39,179306.93,2.89
867271.28,13.99,0.39,179107.82,2.89
870727.37,14.05,0.45,182132.33,2.94
871583.79,14.06,0.46,182471.79,2.94
875039.88,14.12,0.52,185496.3,2.99
874532.48,14.11,0.51,184942.97,2.98
874373.8,14.11,0.51,184784.3,2.98
875604.55,14.13,0.53,185652.82,3.0
874999.35,14.12,0.52,184932.54,2.98
875337.49,14.13,0.53,184733.43,2.98
874830.09,14.12,0.53,184180.1,2.97
875187.29,14.13,0.53,183954.12,2.97
875084.43,14.13,0.53,183880.63,2.97
875422.57,14.14,0.54,183681.53,2.97
876653.32,14.16,0.56,184550.05,2.98
876578.11,14.16,0.56,184359.77,2.98
876916.25,14.16,0.57,184172.76,2.97
877254.39,14.17,0.58,183985.75,2.97
877592.54,14.18,0.58,183786.64,2.97
877930.68,14.19,0.59,183587.53,2.97
878268.82,14.2,0.6,183388.43,2.96
879125.24,14.21,0.61,183727.88,2.97
882581.33,14.27,0.67,186752.4,3.02
