ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-arrived_gpu_milli
1,8,0,6212,0
2,9,810,6212,810
3,10,1810,6212,1810
4,11,2810,6212,2810
5,13,3810,6212,3810
6,14,4620,6212,4620
7,15,5090,6212,5090
8,17,5740,6212,5740
8,17,6550,6212,6550
9,18,6780,6212,6780
10,19,7590,6212,7590
10,19,8590,6212,8590
11,21,9060,6212,9060
11,21,9520,6212,9520
11,21,9520,6212,9520
12,23,10520,6212,10520
12,23,10980,6212,10980
12,23,11440,6212,11440
12,23,12440,6212,12440
13,25,13440,6212,13440
13,25,13440,6212,13440
14,27,13910,6212,13910
14,27,13910,6212,13910
14,27,14720,6212,14720
14,27,14880,6212,14880
14,27,14880,6212,14880
14,27,15880,6212,15880
15,29,16880,6212,16880
16,30,17690,6212,17690
16,30,18690,6212,18690
16,30,18800,6212,18800
17,32,19800,6212,19800
18,40,19800,6212,19800
18,40,20270,6212,20270
18,40,21270,6212,21270
19,42,22270,6212,22270
19,42,23270,6212,23270
20,44,24270,6212,24270
20,44,25270,6212,25270
21,46,25740,6212,25740
21,46,25740,6212,25740
22,48,26740,6212,26740
22,48,26740,6212,26740
22,48,27740,6212,27740
22,48,28060,6212,28060
23,50,29060,6212,29060
23,50,29060,6212,29060
24,51,29380,6212,29380
24,51,30380,6212,30380
25,52,31190,6212,31190
25,52,31190,6212,31190
26,53,31560,6212,31560
27,55,32560,6212,32560
27,55,33560,6212,33560
28,56,34560,6212,34560
29,57,34880,6212,34880
30,59,35880,6212,35880
30,59,36880,6212,36880
31,60,37880,6212,37880
32,61,38690,6212,38690
33,62,39690,6212,39690
34,63,40690,6212,40690
34,63,41010,6212,41010
35,65,42010,6212,42010
35,65,43010,6212,43010
36,67,44010,6212,44010
36,67,45010,6212,45010
37,75,45010,6212,45010
38,77,46010,6212,46010
38,77,47010,6212,47010
39,78,47480,6212,47480
40,79,48290,6212,48290
41,81,49290,6212,49290
42,83,50290,6212,50290
