ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_ratio
866232.55,13.94,0.35,181459.74,2.92
865816.03,13.94,0.34,180928.13,2.91
865680.05,13.94,0.34,180813.17,2.91
865544.07,13.94,0.34,180698.21,2.91
865408.1,13.94,0.34,180688.31,2.91
864991.57,13.93,0.34,180295.61,2.9
864916.37,13.93,0.34,180105.33,2.9
865603.24,13.95,0.35,180209.78,2.9
865097.11,13.94,0.34,179709.76,2.9
865209.76,13.94,0.35,179707.33,2.9
864793.23,13.94,0.34,179175.72,2.89
864657.26,13.94,0.34,179106.31,2.89
864953.28,13.94,0.35,179216.5,2.89
864591.28,13.94,0.34,179201.55,2.89
864591.28,13.94,0.34,179200.06,2.89
864913.97,13.95,0.35,178946.44,2.89
865218.14,13.95,0.36,179186.15,2.89
864857.99,13.95,0.35,178921.89,2.89
864176.04,13.94,0.34,178239.94,2.88
864514.18,13.95,0.35,178047.71,2.87
864514.18,13.95,0.35,178047.71,2.87
864810.21,13.95,0.36,178157.89,2.87
865159.42,13.96,0.36,184867.77,2.98
865212.12,13.96,0.36,185167.24,2.99
865053.44,13.96,0.36,185008.56,2.99
869976.44,14.04,0.44,186123.26,3.0
869279.04,14.03,0.43,185379.93,2.99
869143.06,14.03,0.43,185365.13,2.99
868726.54,14.02,0.43,184833.53,2.98
868590.56,14.02,0.43,184761.98,2.98
868481.89,14.02,0.43,184653.3,2.98
868345.91,14.02,0.43,184638.5,2.98
868345.91,14.02,0.43,184638.06,2.98
867973.91,14.02,0.42,184392.5,2.98
867837.93,14.02,0.42,184320.95,2.98
867701.95,14.02,0.42,184327.18,2.98
867565.98,14.02,0.42,184241.64,2.98
867430.0,14.02,0.42,184231.74,2.98
867294.02,14.02,0.42,184162.33,2.98
868150.44,14.03,0.44,184508.66,2.98
868150.44,14.03,0.44,184508.65,2.98
868014.46,14.03,0.44,184428.47,2.98
868014.46,14.03,0.44,186160.6,3.01
867878.49,14.03,0.44,186154.44,3.01
867872.81,14.03,0.44,186082.55,3.01
867736.83,14.03,0.44,186003.24,3.01
867736.83,14.03,0.44,186664.31,3.02
867811.63,14.04,0.44,186624.02,3.02
867675.65,14.04,0.44,186624.02,3.02
867259.13,14.03,0.43,186092.42,3.01
870769.82,14.09,0.49,188107.15,3.04
870788.53,14.09,0.49,188010.78,3.04
870652.55,14.09,0.49,188011.77,3.04
870516.58,14.09,0.49,187924.44,3.04
869911.37,14.08,0.48,187204.15,3.03
869940.11,14.08,0.49,187117.81,3.03
869804.14,14.08,0.49,187095.13,3.03
869668.16,14.08,0.49,187038.5,3.03
869062.96,14.08,0.48,186318.22,3.02
868646.43,14.07,0.47,185786.62,3.01
868041.23,14.06,0.47,185066.33,3.0
867436.03,14.06,0.46,184484.95,2.99
867162.09,14.05,0.45,184211.01,2.99
867026.11,14.05,0.45,184188.32,2.99
866890.13,14.05,0.45,184131.7,2.98
866754.16,14.05,0.45,184121.8,2.99
866618.18,14.05,0.45,184052.39,2.98
866618.18,14.05,0.45,184059.37,2.98
866482.2,14.05,0.45,184036.68,2.98
866346.22,14.05,0.45,183980.06,2.98
866271.02,14.05,0.45,183789.78,2.98
865854.5,14.05,0.45,183258.17,2.97
866192.64,14.06,0.46,183065.94,2.97
866056.66,14.06,0.46,183101.65,2.97
865640.14,14.05,0.45,182708.95,2.97
865640.14,14.05,0.45,182701.52,2.97
865504.16,14.05,0.45,182586.49,2.96
865368.18,14.05,0.45,182576.6,2.96
864951.66,14.05,0.45,182044.99,2.96
864407.75,14.05,0.45,182044.99,2.96
864407.75,14.05,0.45,183777.13,2.99
863991.23,14.04,0.44,183245.52,2.98
863991.23,14.04,0.44,183906.59,2.99
863574.7,14.04,0.44,183374.99,2.98
863438.73,14.04,0.44,183305.57,2.98
862741.33,14.03,0.43,182562.24,2.97
862741.33,14.03,0.43,182569.22,2.97
862324.8,14.02,0.42,182037.62,2.96
862647.49,14.03,0.43,181784.0,2.96
861965.55,14.02,0.42,181102.06,2.95
861829.57,14.02,0.42,181022.74,2.95
861693.59,14.02,0.42,181022.74,2.95
861884.04,14.03,0.43,181090.38,2.95
861936.74,14.03,0.43,181373.64,2.95
861726.34,14.03,0.43,180886.54,2.94
861590.36,14.03,0.43,180807.23,2.94
861886.38,14.03,0.44,180917.42,2.95
861589.95,14.03,0.43,180701.41,2.94
862389.34,14.04,0.44,181558.62,2.96
862442.04,14.04,0.45,181858.09,2.96
862507.36,14.05,0.45,181434.82,2.96
862688.55,14.05,0.45,181541.47,2.96
862741.25,14.05,0.46,181652.55,2.96
868854.05,14.15,0.56,186402.14,3.04
868854.05,14.15,0.56,186394.71,3.04
868718.07,14.15,0.56,186394.71,3.04
869040.76,14.16,0.56,186141.09,3.03
869378.9,14.17,0.57,185960.95,3.03
869431.6,14.17,0.57,186096.24,3.03
869754.29,14.18,0.58,185842.63,3.03
869382.29,14.18,0.58,185597.07,3.03
869246.31,14.18,0.58,185517.76,3.03
869110.34,14.18,0.58,185517.76,3.03
869163.04,14.18,0.58,185628.84,3.03
869027.06,14.18,0.58,185635.07,3.03
868891.08,14.18,0.58,185549.53,3.03
868755.11,14.18,0.58,185470.22,3.03
868755.11,14.18,0.58,187401.74,3.06
872156.6,14.23,0.64,190993.81,3.12
872156.6,14.23,0.64,190417.31,3.11
872955.98,14.25,0.65,190661.67,3.11
872820.0,14.25,0.65,190661.67,3.11
872138.06,14.24,0.64,189979.72,3.1
872002.08,14.24,0.64,189985.95,3.1
872054.78,14.24,0.64,190121.25,3.1
872054.78,14.24,0.64,190121.25,3.1
878167.58,14.34,0.74,196521.86,3.21
878031.6,14.34,0.74,196436.32,3.21
878031.6,14.34,0.74,196436.32,3.21
878031.6,14.34,0.74,196436.32,3.21
878031.6,14.34,0.74,196436.32,3.21
878222.06,14.35,0.75,196503.95,3.21
878274.76,14.35,0.75,196787.22,3.21
878274.76,14.35,0.75,196787.22,3.21
878138.78,14.35,0.75,196793.45,3.22
878002.8,14.35,0.75,196707.91,3.21
878298.82,14.35,0.76,196818.09,3.22
878162.85,14.35,0.76,196824.32,3.22
878026.87,14.35,0.76,196738.78,3.22
878079.57,14.36,0.76,197158.89,3.22
878417.71,14.37,0.77,196978.75,3.22
878281.73,14.37,0.77,196899.44,3.22
878281.73,14.37,0.77,196899.03,3.22
878968.61,14.38,0.78,197003.48,3.22
878832.63,14.38,0.78,197003.48,3.22
878832.63,14.38,0.78,197003.48,3.22
878234.78,14.37,0.77,196405.63,3.21
877862.78,14.37,0.77,196010.29,3.21
877165.38,14.36,0.76,195254.87,3.2
876659.25,14.35,0.75,194754.85,3.19
876711.95,14.35,0.75,194865.93,3.19
876575.98,14.35,0.75,194786.62,3.19
876628.68,14.36,0.76,194921.91,3.19
876492.7,14.36,0.76,194921.91,3.19
877349.12,14.37,0.77,195268.24,3.2
876667.17,14.36,0.76,194586.3,3.19
876531.2,14.36,0.76,194506.98,3.19
876035.52,14.36,0.76,193945.09,3.18
875899.54,14.36,0.76,193945.09,3.18
875612.45,14.35,0.75,193643.92,3.17
876055.42,14.36,0.76,193232.26,3.17
875919.45,14.36,0.76,193222.37,3.17
875783.47,14.36,0.76,193152.95,3.17
875908.01,14.36,0.77,193601.4,3.17
875210.61,14.35,0.76,192845.97,3.16
875275.93,14.36,0.76,192422.71,3.16
875139.96,14.36,0.76,192400.02,3.16
875003.98,14.36,0.76,192343.4,3.16
874707.55,14.35,0.76,192127.38,3.15
874571.57,14.35,0.76,192048.07,3.15
874959.37,14.36,0.76,192333.74,3.16
874823.39,14.36,0.76,192333.74,3.16
874509.48,14.36,0.76,192019.82,3.15
874509.48,14.36,0.76,192019.87,3.15
874373.5,14.36,0.76,192009.97,3.15
874373.5,14.36,0.76,192009.89,3.15
874237.52,14.36,0.76,191940.48,3.15
874101.55,14.36,0.76,191946.71,3.15
874154.25,14.36,0.76,192057.79,3.16
874018.27,14.36,0.76,191972.25,3.15
874104.8,14.36,0.76,196303.88,3.23
874442.94,14.37,0.77,196123.74,3.22
874738.96,14.38,0.78,196422.32,3.23
874791.66,14.38,0.78,196533.4,3.23
874655.69,14.38,0.78,196454.09,3.23
874846.14,14.38,0.79,196693.9,3.23
874846.14,14.38,0.79,196693.9,3.23
878471.17,14.44,0.84,199448.93,3.28
878264.74,14.44,0.84,199321.59,3.28
878002.36,14.44,0.84,199073.62,3.27
877778.91,14.43,0.84,198975.53,3.27
877831.61,14.44,0.84,199086.61,3.27
877695.63,14.44,0.84,199086.61,3.27
877748.33,14.44,0.84,199221.91,3.28
877748.33,14.44,0.84,199221.91,3.28
877748.33,14.44,0.84,199221.91,3.28
878086.47,14.45,0.85,199041.77,3.27
878301.03,14.45,0.85,198536.17,3.27
881501.65,14.51,0.91,199449.51,3.28
881501.65,14.51,0.91,199449.51,3.28
881305.19,14.5,0.91,199398.42,3.28
881048.42,14.5,0.9,199096.06,3.28
880351.02,14.49,0.89,198340.64,3.26
880215.04,14.49,0.89,198261.33,3.26
880079.07,14.49,0.89,198261.33,3.26
880269.52,14.5,0.9,198328.96,3.27
880910.26,14.51,0.91,198393.39,3.27
880962.96,14.51,0.91,198676.66,3.27
880962.96,14.51,0.91,198647.52,3.27
880826.98,14.51,0.91,198568.21,3.27
880691.01,14.51,0.91,198568.21,3.27
879993.61,14.5,0.91,197812.79,3.26
880046.31,14.51,0.91,197923.87,3.26
880411.91,14.51,0.92,198421.54,3.27
880069.22,14.51,0.91,198033.45,3.26
879933.24,14.51,0.91,197954.14,3.26
880789.66,14.52,0.93,198300.47,3.27
880653.68,14.52,0.93,198300.47,3.27
880991.82,14.53,0.93,198120.33,3.27
881287.84,14.54,0.94,198230.51,3.27
881151.87,14.54,0.94,198220.62,3.27
880656.19,14.53,0.93,197658.72,3.26
880708.89,14.53,0.94,197958.19,3.27
880011.49,14.53,0.93,197202.77,3.26
880011.49,14.53,0.93,197232.25,3.26
879875.52,14.53,0.93,197162.84,3.25
879503.52,14.52,0.92,196917.28,3.25
879367.54,14.52,0.92,196837.97,3.25
880071.96,14.53,0.94,197024.29,3.25
879963.28,14.53,0.93,196886.98,3.25
879827.31,14.53,0.94,196886.98,3.25
879222.3,14.52,0.93,196252.4,3.24
879275.01,14.53,0.93,196363.48,3.24
879579.18,14.53,0.94,196668.84,3.25
879644.5,14.54,0.94,196245.58,3.24
879759.92,14.54,0.94,196273.28,3.24
879553.49,14.54,0.94,196145.94,3.24
879553.49,14.54,0.94,196116.45,3.24
879553.49,14.54,0.94,196150.45,3.24
879553.49,14.54,0.94,196157.43,3.24
879910.69,14.55,0.95,195938.32,3.24
879963.39,14.55,0.95,196044.02,3.24
879419.48,14.55,0.95,196044.02,3.24
879283.5,14.55,0.95,196080.44,3.24
879147.53,14.55,0.95,195964.71,3.24
879011.55,14.55,0.95,195885.4,3.24
878295.09,14.54,0.94,195168.94,3.23
878159.11,14.54,0.94,195168.94,3.23
877788.96,14.54,0.94,194914.85,3.23
877652.99,14.54,0.94,194835.54,3.23
877517.01,14.54,0.94,194835.54,3.23
877813.03,14.54,0.94,195132.45,3.23
877677.05,14.54,0.94,195122.56,3.23
877541.08,14.54,0.94,195053.14,3.23
877593.78,14.54,0.95,195164.22,3.23
877457.8,14.54,0.95,195084.91,3.23
877085.8,14.54,0.94,194841.1,3.23
876949.82,14.54,0.94,194841.1,3.23
877287.97,14.55,0.95,194648.86,3.23
877626.11,14.56,0.96,194468.72,3.23
877490.13,14.56,0.96,194474.95,3.23
877354.15,14.56,0.96,194389.41,3.23
877658.32,14.56,0.96,194694.78,3.23
876960.92,14.55,0.96,193951.45,3.22
876960.92,14.55,0.96,194035.75,3.22
876824.95,14.55,0.96,194041.98,3.22
876688.97,14.55,0.96,193956.44,3.22
877027.11,14.56,0.96,193764.2,3.22
876804.21,14.56,0.96,193667.43,3.22
876856.91,14.56,0.96,193778.51,3.22
876909.62,14.56,0.97,193913.81,3.22
877190.73,14.57,0.97,193834.5,3.22
877486.75,14.58,0.98,194680.38,3.23
877573.28,14.58,0.98,200368.56,3.33
877373.44,14.58,0.98,200032.01,3.32
877001.44,14.57,0.97,199793.53,3.32
876784.19,14.57,0.97,199582.68,3.32
876086.79,14.56,0.96,198827.25,3.3
876139.5,14.56,0.96,198938.33,3.31
876003.52,14.56,0.96,198944.56,3.31
876056.22,14.56,0.97,199079.86,3.31
876056.22,14.56,0.97,199079.86,3.31
876760.64,14.58,0.98,199266.18,3.31
876624.66,14.58,0.98,199180.64,3.31
876947.35,14.58,0.99,198927.03,3.31
876568.5,14.58,0.98,198479.15,3.3
876432.52,14.58,0.98,198399.84,3.3
875750.58,14.57,0.97,197717.89,3.29
876607.0,14.59,0.99,198064.22,3.3
876471.02,14.59,0.99,198064.22,3.3
875975.34,14.58,0.98,197502.33,3.29
875839.36,14.58,0.98,197423.02,3.29
876135.39,14.59,0.99,197533.2,3.29
880416.61,14.66,1.06,199441.06,3.32
880469.31,14.66,1.06,199740.52,3.33
880522.01,14.66,1.07,199851.6,3.33
880522.01,14.66,1.07,199851.6,3.33
880386.04,14.66,1.07,199851.6,3.33
880250.06,14.66,1.07,199841.7,3.33
880055.23,14.66,1.06,199657.69,3.33
879783.28,14.66,1.06,199578.38,3.33
879783.28,14.66,1.06,199578.38,3.33
879835.98,14.66,1.07,199713.67,3.33
879835.98,14.66,1.07,199713.67,3.33
879138.58,14.66,1.06,198970.35,3.32
879002.6,14.66,1.06,198900.93,3.32
879055.3,14.66,1.06,199012.01,3.32
878919.33,14.66,1.06,198932.7,3.32
878783.35,14.66,1.06,198932.7,3.32
878647.37,14.66,1.06,198853.39,3.32
878700.07,14.66,1.06,198988.69,3.32
878476.61,14.66,1.06,198890.6,3.32
878529.31,14.66,1.06,199001.68,3.32
878393.34,14.66,1.06,199001.68,3.32
878257.36,14.66,1.06,198978.99,3.32
878257.36,14.66,1.06,198978.99,3.32
878121.38,14.66,1.06,198922.37,3.32
878311.83,14.67,1.07,199162.19,3.33
878311.83,14.67,1.07,199162.19,3.33
878175.86,14.67,1.07,199082.87,3.33
877903.9,14.67,1.07,198996.53,3.32
877697.47,14.67,1.07,198869.19,3.32
877993.49,14.67,1.07,198979.37,3.32
877857.52,14.67,1.07,198979.37,3.33
877910.22,14.67,1.08,199278.84,3.33
878232.91,14.68,1.08,199025.22,3.33
878096.93,14.68,1.08,198945.91,3.33
877960.95,14.68,1.08,198945.91,3.33
878013.65,14.69,1.09,199056.99,3.33
878013.65,14.69,1.09,199056.99,3.33
878066.36,14.69,1.09,199192.28,3.33
878310.39,14.69,1.1,199112.97,3.33
878086.93,14.69,1.09,199014.89,3.33
877404.99,14.68,1.08,198332.94,3.32
877404.99,14.68,1.08,198332.94,3.32
877404.99,14.68,1.08,198332.63,3.32
877701.01,14.69,1.09,199141.62,3.33
877753.71,14.69,1.09,199252.7,3.33
877753.71,14.69,1.09,199252.7,3.33
877617.73,14.69,1.09,199242.8,3.34
877416.47,14.69,1.09,198915.98,3.33
877280.49,14.69,1.09,198846.57,3.33
877144.51,14.69,1.09,198852.8,3.33
877008.53,14.69,1.09,198767.26,3.33
877008.53,14.69,1.09,198767.26,3.33
876785.08,14.69,1.09,198666.17,3.33
877081.1,14.69,1.09,198964.74,3.33
877419.24,14.7,1.1,198772.5,3.33
877419.24,14.7,1.1,199369.06,3.34
877609.69,14.7,1.11,199436.69,3.34
877662.39,14.71,1.11,199719.95,3.35
876574.57,14.71,1.11,199719.5,3.35
876438.6,14.71,1.11,199640.19,3.35
876302.62,14.71,1.11,199640.19,3.35
876166.64,14.71,1.11,199560.88,3.35
876357.09,14.71,1.12,199628.51,3.35
876221.12,14.71,1.12,199628.51,3.35
875849.12,14.71,1.11,199382.96,3.35
875151.72,14.7,1.1,198639.63,3.34
875489.86,14.71,1.11,198447.39,3.33
875353.88,14.71,1.11,198368.08,3.33
875217.9,14.71,1.11,198368.08,3.33
875081.93,14.71,1.11,198288.77,3.33
874875.5,14.71,1.11,198161.43,3.33
874739.52,14.71,1.11,198161.43,3.33
874042.12,14.7,1.1,197418.1,3.32
874094.82,14.7,1.1,197701.36,3.32
874147.52,14.7,1.11,197622.05,3.32
874443.54,14.71,1.11,198231.69,3.33
874307.57,14.71,1.11,198152.38,3.33
874171.59,14.71,1.11,198152.38,3.33
874035.61,14.71,1.11,198158.61,3.33
873899.64,14.71,1.11,198073.07,3.33
874248.85,14.72,1.12,202231.47,3.4
874691.82,14.72,1.13,201819.82,3.4
874319.82,14.72,1.12,201424.45,3.39
874510.27,14.72,1.13,201492.08,3.39
878528.82,14.79,1.19,203162.04,3.42
878392.84,14.79,1.19,203152.14,3.42
878256.86,14.79,1.19,203082.73,3.42
878060.4,14.79,1.19,203177.77,3.42
878356.42,14.8,1.2,203628.44,3.43
878220.44,14.8,1.2,203549.13,3.43
878084.47,14.8,1.2,203549.13,3.43
877948.49,14.8,1.2,203555.36,3.43
878001.19,14.8,1.2,203666.44,3.43
877865.21,14.8,1.2,203580.9,3.43
876777.39,14.8,1.2,203580.45,3.44
876830.1,14.81,1.21,203715.75,3.44
876694.12,14.81,1.21,203705.85,3.44
876975.23,14.81,1.21,203626.54,3.44
876839.25,14.81,1.21,203557.13,3.44
877177.39,14.82,1.22,203376.99,3.44
876805.39,14.81,1.22,203158.48,3.43
876107.99,14.81,1.21,202403.05,3.42
876160.7,14.81,1.21,203003.1,3.43
876351.15,14.81,1.22,203070.73,3.43
876689.29,14.82,1.22,202890.59,3.43
877046.49,14.83,1.23,202697.1,3.43
876910.51,14.83,1.23,202674.41,3.43
876213.11,14.82,1.22,201918.98,3.42
876077.13,14.82,1.22,201862.36,3.42
875941.16,14.82,1.22,201839.67,3.42
875224.7,14.81,1.21,201097.6,3.4
875088.72,14.81,1.21,201040.98,3.4
875384.74,14.82,1.22,201491.66,3.41
875248.77,14.82,1.22,201412.35,3.41
875248.77,14.82,1.22,201412.35,3.41
875112.79,14.82,1.22,201412.35,3.41
875112.79,14.82,1.22,201412.35,3.41
874976.81,14.82,1.22,201333.04,3.41
874840.83,14.82,1.22,201333.04,3.41
874840.83,14.82,1.22,201333.04,3.41
874704.86,14.82,1.22,201323.14,3.41
874498.43,14.82,1.22,201195.79,3.41
874362.45,14.82,1.22,201126.38,3.41
874226.47,14.82,1.22,201047.07,3.41
874226.47,14.82,1.22,201046.65,3.41
874226.47,14.82,1.22,201046.63,3.41
873864.47,14.81,1.21,200837.75,3.4
873728.5,14.81,1.21,200837.75,3.4
873781.2,14.81,1.22,200948.83,3.41
873781.2,14.81,1.22,201417.77,3.42
873645.22,14.82,1.22,201339.81,3.41
873427.97,14.81,1.21,201103.67,3.41
873291.99,14.81,1.21,201102.32,3.41
873344.69,14.82,1.22,201237.62,3.41
873208.71,14.82,1.22,201227.72,3.41
873512.89,14.82,1.22,201215.24,3.41
873565.59,14.82,1.23,201644.16,3.42
873618.29,14.83,1.23,201755.24,3.42
873808.74,14.83,1.23,201995.06,3.43
873672.76,14.83,1.23,201925.64,3.43
873472.93,14.83,1.23,201711.57,3.42
873336.95,14.83,1.23,201632.26,3.42
873200.97,14.83,1.23,201632.26,3.42
873065.0,14.83,1.23,201638.49,3.43
872929.02,14.83,1.23,201552.95,3.42
872558.87,14.83,1.23,201310.34,3.42
873263.29,14.84,1.24,201496.66,3.42
873127.32,14.84,1.24,201417.35,3.42
872991.34,14.84,1.24,201417.35,3.42
872855.36,14.84,1.24,201423.58,3.42
872719.38,14.84,1.24,201338.04,3.42
872422.95,14.84,1.24,201048.93,3.42
872286.98,14.84,1.24,201039.03,3.42
871908.13,14.83,1.23,200591.16,3.41
