ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_ratio
866232.55,13.94,0.35,181459.74,2.92
865816.03,13.94,0.34,180928.13,2.91
865680.05,13.94,0.34,180813.17,2.91
865544.07,13.94,0.34,180698.21,2.91
865408.1,13.94,0.34,180688.31,2.91
865460.8,13.94,0.34,180781.74,2.91
865385.6,13.94,0.34,180730.36,2.91
866072.47,13.95,0.36,180834.82,2.91
865566.34,13.95,0.35,180334.8,2.91
865678.98,13.95,0.35,180332.36,2.91
865262.46,13.95,0.35,179800.76,2.9
865126.48,13.95,0.35,179790.86,2.9
865422.5,13.95,0.35,180081.38,2.9
865060.5,13.95,0.35,179791.45,2.9
865060.5,13.95,0.35,179789.96,2.9
865383.19,13.95,0.36,179536.34,2.9
865241.25,13.95,0.36,179394.39,2.89
865176.04,13.95,0.36,179214.11,2.89
864570.84,13.95,0.35,178493.83,2.88
864908.98,13.95,0.36,178301.59,2.88
864908.98,13.95,0.36,178301.59,2.88
865205.0,13.96,0.36,178411.78,2.88
865554.22,13.96,0.37,185121.65,2.99
865046.82,13.96,0.36,184568.32,2.98
864888.14,13.96,0.36,184435.48,2.98
869811.14,14.04,0.44,185550.18,2.99
869675.16,14.04,0.44,185720.62,3.0
869539.18,14.04,0.44,185705.82,3.0
869591.89,14.04,0.44,185797.11,3.0
869455.91,14.04,0.44,185769.82,3.0
869347.23,14.04,0.44,185686.98,3.0
869211.25,14.04,0.44,185627.93,3.0
869211.25,14.04,0.44,185627.48,3.0
868839.25,14.03,0.43,185327.55,2.99
868703.28,14.03,0.43,185333.77,2.99
868567.3,14.03,0.43,185248.23,2.99
868431.32,14.03,0.43,185238.34,2.99
868295.34,14.03,0.43,185168.92,2.99
868633.48,14.04,0.44,184976.69,2.99
868929.51,14.05,0.45,185082.59,2.99
868929.51,14.05,0.45,185082.59,2.99
868793.53,14.05,0.45,185330.47,3.0
868793.53,14.05,0.45,187062.61,3.02
868657.55,14.05,0.45,187039.92,3.02
868434.09,14.04,0.45,186787.61,3.02
868298.11,14.04,0.45,186730.99,3.02
868298.11,14.04,0.45,187392.06,3.03
868372.91,14.05,0.45,187351.78,3.03
867675.51,14.04,0.44,186608.45,3.02
867258.99,14.03,0.43,186076.84,3.01
870769.68,14.09,0.49,188091.57,3.04
870788.39,14.09,0.49,187995.21,3.04
870652.41,14.09,0.49,187996.2,3.04
870516.44,14.09,0.49,187908.86,3.04
869911.23,14.08,0.48,187188.58,3.03
869939.98,14.08,0.49,187102.24,3.03
869804.0,14.08,0.49,187079.55,3.03
869668.02,14.08,0.49,187022.93,3.03
869062.82,14.08,0.48,186302.64,3.02
868646.3,14.07,0.47,185771.04,3.01
868041.09,14.06,0.47,185050.76,3.0
867435.89,14.06,0.46,184469.38,2.99
867161.95,14.05,0.45,184195.43,2.98
867025.97,14.05,0.45,184172.75,2.98
866889.99,14.05,0.45,184116.12,2.98
866754.02,14.05,0.45,184106.23,2.98
866618.04,14.05,0.45,184036.81,2.98
866618.04,14.05,0.45,184043.79,2.98
866482.06,14.05,0.45,184021.1,2.98
866346.08,14.05,0.45,183964.48,2.98
866270.88,14.05,0.45,183774.2,2.98
865854.36,14.05,0.45,183242.6,2.97
866192.5,14.06,0.46,183050.36,2.97
866056.52,14.06,0.46,183086.08,2.97
865549.12,14.05,0.45,182532.75,2.96
865549.12,14.05,0.45,182525.32,2.96
865413.15,14.05,0.45,182410.29,2.96
865277.17,14.05,0.45,182400.39,2.96
865329.87,14.05,0.45,182493.82,2.96
864785.96,14.05,0.45,182493.82,2.97
864785.96,14.05,0.45,184225.96,2.99
864369.44,14.05,0.45,183833.26,2.99
864369.44,14.05,0.45,184494.32,3.0
863952.91,14.04,0.44,183962.72,2.99
864310.11,14.05,0.45,183769.23,2.99
863593.66,14.04,0.44,183027.15,2.98
863593.66,14.04,0.44,183034.13,2.98
863177.13,14.04,0.44,182502.53,2.97
863041.16,14.04,0.44,182423.22,2.97
862905.18,14.04,0.44,182423.22,2.97
862769.2,14.04,0.44,182343.91,2.97
862633.22,14.04,0.44,182343.91,2.97
862823.67,14.04,0.44,182411.54,2.97
862876.38,14.04,0.45,182694.8,2.97
862271.17,14.04,0.44,181974.52,2.96
862135.2,14.04,0.44,181895.21,2.96
862431.22,14.04,0.44,182326.21,2.97
862134.79,14.04,0.44,182110.2,2.97
862934.17,14.05,0.45,182967.41,2.98
862517.65,14.05,0.45,182435.81,2.97
862193.32,14.04,0.44,181782.5,2.96
861947.24,14.04,0.44,181588.71,2.96
862012.56,14.04,0.45,181165.45,2.95
868125.36,14.14,0.54,185915.03,3.03
868125.36,14.14,0.54,185907.6,3.03
867989.39,14.14,0.54,185828.29,3.03
867754.81,14.14,0.54,185505.99,3.02
867618.83,14.14,0.54,185505.99,3.02
867684.15,14.14,0.55,185082.72,3.02
867449.57,14.14,0.54,184760.42,3.01
867077.57,14.14,0.54,184389.43,3.01
867400.26,14.15,0.55,184135.81,3.0
867738.4,14.15,0.56,183943.57,3.0
867246.46,14.15,0.55,183451.63,2.99
867110.48,14.15,0.55,183457.85,2.99
866974.5,14.15,0.55,183372.32,2.99
866838.52,14.15,0.55,183293.01,2.99
866838.52,14.15,0.55,185224.53,3.02
870240.02,14.2,0.6,188816.6,3.08
870240.02,14.2,0.6,188240.1,3.07
871039.4,14.22,0.62,188484.46,3.08
870903.42,14.22,0.62,188484.46,3.08
870206.02,14.21,0.61,187741.13,3.06
870070.05,14.21,0.61,187747.36,3.07
870122.75,14.21,0.61,187824.66,3.07
870122.75,14.21,0.61,187824.66,3.07
876235.55,14.31,0.71,194225.28,3.17
876099.57,14.31,0.71,194215.38,3.17
876099.57,14.31,0.71,194215.38,3.17
876099.57,14.31,0.71,194215.38,3.17
876099.57,14.31,0.71,194215.38,3.17
876290.02,14.31,0.72,194465.74,3.18
876342.72,14.32,0.72,194576.82,3.18
876342.72,14.32,0.72,194576.82,3.18
876206.74,14.32,0.72,194549.27,3.18
876070.77,14.32,0.72,194526.58,3.18
876366.79,14.32,0.73,194829.89,3.18
876230.81,14.32,0.73,194836.12,3.18
876094.83,14.32,0.73,194750.58,3.18
876147.54,14.33,0.73,194671.27,3.18
876011.56,14.33,0.73,194856.25,3.19
875875.58,14.33,0.73,194776.94,3.19
875875.58,14.33,0.73,194776.94,3.19
876066.03,14.33,0.73,195096.71,3.19
876404.17,14.34,0.74,194904.48,3.19
876404.17,14.34,0.74,194904.03,3.19
875806.33,14.33,0.73,194306.18,3.18
875434.33,14.33,0.73,194006.25,3.17
874736.93,14.32,0.72,193262.92,3.16
874802.25,14.32,0.72,192839.66,3.16
874755.03,14.32,0.72,192695.66,3.15
874619.05,14.32,0.72,192616.35,3.15
874671.75,14.32,0.73,192801.34,3.16
874535.78,14.32,0.73,192807.57,3.16
874831.8,14.33,0.73,193081.96,3.16
874695.82,14.33,0.73,193072.06,3.16
874559.84,14.33,0.73,193002.65,3.16
874625.16,14.33,0.73,192579.38,3.16
874389.26,14.33,0.73,192255.76,3.15
874092.83,14.33,0.73,191965.99,3.15
874373.94,14.33,0.74,191886.68,3.15
874237.97,14.33,0.74,192301.76,3.15
874576.11,14.34,0.74,192109.52,3.15
874214.11,14.34,0.74,191819.59,3.15
873516.71,14.33,0.73,191076.27,3.13
873569.41,14.33,0.73,191187.35,3.14
873433.43,14.33,0.73,191159.8,3.14
873756.12,14.34,0.74,190906.18,3.13
873459.69,14.33,0.74,190616.41,3.13
873323.71,14.33,0.74,190537.1,3.13
873036.63,14.33,0.73,190252.02,3.12
872900.65,14.33,0.73,190252.02,3.12
872580.65,14.33,0.73,189932.02,3.12
872580.65,14.33,0.73,189932.02,3.12
871898.7,14.32,0.72,189250.07,3.11
871898.7,14.32,0.72,189250.07,3.11
871762.73,14.32,0.72,189170.76,3.11
871626.75,14.32,0.72,189170.76,3.11
871679.45,14.32,0.72,189281.84,3.11
871543.47,14.32,0.72,189254.29,3.11
871543.47,14.32,0.72,192878.48,3.17
871407.5,14.32,0.72,192884.71,3.17
871703.52,14.33,0.73,193159.1,3.17
871756.22,14.33,0.73,193270.18,3.18
871620.24,14.33,0.73,193264.78,3.18
872307.11,14.34,0.74,193369.23,3.18
872307.11,14.34,0.74,193369.23,3.18
874300.42,14.37,0.78,193521.12,3.18
874374.29,14.38,0.78,193601.1,3.18
874150.83,14.37,0.78,193445.63,3.18
874535.49,14.38,0.78,193547.3,3.18
874588.19,14.38,0.79,193914.13,3.19
874452.21,14.38,0.79,193834.82,3.19
874504.92,14.39,0.79,194019.81,3.19
874504.92,14.39,0.79,194019.81,3.19
874504.92,14.39,0.79,194019.81,3.19
874368.94,14.39,0.79,194026.03,3.19
874421.64,14.39,0.79,194125.48,3.19
877700.55,14.44,0.84,196709.44,3.24
877700.55,14.44,0.84,196709.44,3.24
877765.87,14.45,0.85,196286.17,3.23
877580.99,14.44,0.85,196252.84,3.23
877345.08,14.44,0.84,195924.69,3.23
877985.83,14.45,0.86,195989.13,3.23
877849.85,14.45,0.86,195909.82,3.23
878040.3,14.46,0.86,196229.59,3.23
877904.32,14.46,0.86,196150.28,3.23
877957.03,14.46,0.86,196335.26,3.23
877957.03,14.46,0.86,196335.26,3.23
878314.22,14.47,0.87,196116.15,3.23
878178.25,14.47,0.87,196122.38,3.23
877461.79,14.46,0.86,195405.93,3.22
877514.49,14.46,0.87,195483.23,3.22
877880.1,14.47,0.87,195403.92,3.22
877537.4,14.47,0.87,195639.49,3.23
877401.42,14.47,0.87,195541.05,3.22
877697.45,14.47,0.88,195651.24,3.23
877561.47,14.47,0.88,195821.67,3.23
877899.61,14.48,0.88,195641.53,3.23
877527.61,14.48,0.88,195341.6,3.22
877865.75,14.48,0.89,195149.36,3.22
877358.35,14.48,0.88,194583.94,3.21
876850.95,14.47,0.87,194030.61,3.2
876714.98,14.47,0.87,194020.71,3.2
876714.98,14.47,0.87,194020.71,3.2
876579.0,14.47,0.87,193951.3,3.2
876875.02,14.48,0.88,194061.49,3.2
876739.04,14.48,0.88,194303.78,3.21
876367.04,14.47,0.87,193931.99,3.2
876732.65,14.48,0.88,193852.68,3.2
876596.67,14.48,0.88,194363.4,3.21
876661.99,14.48,0.88,193940.13,3.2
876614.77,14.48,0.89,193796.14,3.2
876282.01,14.48,0.88,193431.12,3.2
876334.71,14.48,0.88,193542.2,3.2
876525.16,14.49,0.89,193782.02,3.2
876319.4,14.48,0.89,193541.8,3.2
876319.4,14.48,0.89,193541.8,3.2
876319.4,14.48,0.89,193541.8,3.2
876319.4,14.48,0.89,193548.78,3.2
876676.6,14.49,0.89,193329.67,3.2
876150.15,14.49,0.89,192803.22,3.19
875606.24,14.49,0.89,192803.22,3.19
876246.98,14.5,0.9,192867.65,3.19
876111.0,14.5,0.9,192806.77,3.19
875975.02,14.5,0.9,192781.3,3.19
875839.05,14.5,0.9,192703.34,3.19
875703.07,14.5,0.9,192701.99,3.19
875999.09,14.51,0.91,192812.18,3.19
875863.11,14.51,0.91,193053.68,3.2
875727.13,14.51,0.91,192974.37,3.2
875355.14,14.5,0.9,192603.37,3.19
875219.16,14.5,0.9,192603.37,3.19
875083.18,14.5,0.9,192593.48,3.19
875135.88,14.5,0.91,192686.91,3.19
874999.91,14.5,0.91,192607.59,3.19
875295.93,14.51,0.91,193039.39,3.2
875159.95,14.51,0.91,193029.49,3.2
875023.97,14.51,0.91,192960.07,3.2
875362.11,14.52,0.92,192779.93,3.2
875700.25,14.53,0.93,192599.79,3.19
875564.28,14.53,0.93,192520.48,3.19
875202.28,14.52,0.92,192158.69,3.19
874504.88,14.51,0.91,191403.27,3.18
874504.88,14.51,0.91,191487.57,3.18
874368.9,14.51,0.92,191487.57,3.18
874232.92,14.51,0.92,191493.8,3.18
874096.95,14.51,0.92,191408.26,3.18
873800.52,14.51,0.91,191118.49,3.17
873293.12,14.5,0.9,190553.06,3.16
873358.44,14.51,0.91,190129.8,3.16
873539.63,14.51,0.91,190236.45,3.16
873835.65,14.52,0.92,190346.63,3.16
873922.18,14.52,0.92,196126.04,3.26
873715.75,14.51,0.92,195998.69,3.26
873343.75,14.51,0.91,195809.2,3.25
873150.18,14.51,0.91,195598.4,3.25
873014.2,14.51,0.91,195658.4,3.25
873066.9,14.51,0.91,195769.49,3.25
872930.92,14.51,0.91,195741.94,3.25
872983.63,14.51,0.91,195853.02,3.26
872983.63,14.51,0.91,195853.02,3.26
873279.65,14.52,0.92,196151.59,3.26
873143.67,14.52,0.92,196072.28,3.26
873007.69,14.52,0.92,196072.28,3.26
873073.01,14.52,0.92,195649.01,3.25
872837.11,14.52,0.92,195325.39,3.25
873052.67,14.53,0.93,195077.38,3.25
872680.67,14.52,0.92,194831.82,3.24
872544.69,14.52,0.92,194821.92,3.24
872158.56,14.52,0.92,194323.05,3.23
872022.58,14.52,0.92,194253.64,3.23
872727.0,14.53,0.93,194439.96,3.24
877008.23,14.6,1.0,196256.59,3.27
876629.38,14.6,1.0,195808.72,3.26
876682.08,14.6,1.0,195919.8,3.26
876682.08,14.6,1.0,195919.8,3.26
876546.1,14.6,1.0,195892.25,3.26
876410.12,14.6,1.0,195882.35,3.26
876187.93,14.6,1.0,195664.2,3.26
875915.98,14.6,1.0,195584.89,3.26
875915.98,14.6,1.0,195584.89,3.26
875968.68,14.6,1.0,195678.32,3.26
875968.68,14.6,1.0,195678.32,3.26
875832.7,14.6,1.0,195668.42,3.26
875696.72,14.6,1.0,195599.01,3.26
875749.42,14.6,1.01,195710.09,3.26
875613.45,14.6,1.01,195704.68,3.26
875477.47,14.6,1.01,195625.37,3.26
875341.49,14.6,1.01,195625.37,3.26
875394.19,14.61,1.01,195736.45,3.27
875109.37,14.6,1.01,195462.44,3.26
875162.07,14.61,1.01,195597.73,3.26
875026.09,14.61,1.01,195518.42,3.26
874890.11,14.61,1.01,195518.42,3.26
874890.11,14.61,1.01,195518.42,3.26
874754.13,14.61,1.01,195508.52,3.26
874944.59,14.61,1.01,195758.88,3.27
874944.59,14.61,1.01,195758.88,3.27
874808.61,14.61,1.01,195679.57,3.27
874536.65,14.61,1.01,195600.26,3.27
874330.23,14.61,1.01,195400.49,3.26
874626.25,14.61,1.02,195831.99,3.27
874490.27,14.62,1.02,195816.45,3.27
874542.97,14.62,1.02,195908.49,3.27
874406.99,14.62,1.02,195829.18,3.27
874271.02,14.62,1.02,195829.18,3.27
874516.96,14.62,1.03,195474.99,3.27
874100.44,14.62,1.02,195082.29,3.26
874100.44,14.62,1.02,195082.29,3.26
874153.14,14.62,1.02,195193.37,3.27
873569.22,14.61,1.02,194609.46,3.26
873345.76,14.61,1.01,194366.42,3.25
873209.79,14.61,1.01,194338.87,3.25
873209.79,14.61,1.01,194338.87,3.25
873209.79,14.61,1.01,194338.56,3.25
873505.81,14.62,1.02,194448.75,3.25
873558.51,14.62,1.02,194748.21,3.26
873558.51,14.62,1.02,194748.21,3.26
873422.53,14.62,1.02,194738.32,3.26
873282.07,14.62,1.02,194722.21,3.26
873146.1,14.62,1.02,194652.79,3.26
873010.12,14.62,1.02,194659.02,3.26
872874.14,14.62,1.02,194573.48,3.26
872874.14,14.62,1.02,194573.48,3.26
873258.8,14.63,1.03,194568.03,3.26
872946.7,14.62,1.02,194768.97,3.26
872810.73,14.62,1.02,194674.16,3.26
872810.73,14.62,1.02,195270.72,3.27
873001.18,14.63,1.03,195338.35,3.27
873053.88,14.63,1.03,195621.61,3.28
871966.06,14.63,1.03,195621.16,3.28
871830.08,14.63,1.03,195541.85,3.28
871694.11,14.63,1.03,195541.85,3.28
871558.13,14.63,1.03,195462.54,3.28
871748.58,14.64,1.04,195782.31,3.29
872071.27,14.64,1.05,195528.69,3.28
872367.29,14.65,1.05,195638.88,3.29
871685.34,14.64,1.04,194956.93,3.27
871549.37,14.64,1.04,195127.36,3.28
871413.39,14.64,1.04,195048.05,3.28
871277.41,14.64,1.04,195048.05,3.28
871141.43,14.64,1.05,194968.74,3.28
870919.89,14.64,1.04,194718.73,3.27
870783.92,14.64,1.04,194718.73,3.27
870660.56,14.64,1.04,194102.87,3.26
870613.34,14.64,1.04,193967.32,3.26
870666.04,14.64,1.05,193888.01,3.26
870294.04,14.64,1.04,193588.08,3.26
870158.06,14.64,1.04,193773.06,3.26
870022.09,14.64,1.04,193750.37,3.26
869886.11,14.64,1.04,193693.75,3.26
869750.13,14.64,1.04,193614.44,3.26
870099.35,14.65,1.05,197772.84,3.33
870380.46,14.65,1.05,198187.92,3.34
870676.48,14.66,1.06,198298.11,3.34
870866.93,14.66,1.07,198706.23,3.35
874885.47,14.73,1.13,200376.19,3.37
875223.61,14.74,1.14,200183.96,3.37
875087.63,14.74,1.14,200190.19,3.37
874580.24,14.73,1.13,199636.86,3.36
874208.24,14.73,1.13,199418.35,3.36
874072.26,14.73,1.13,199332.81,3.36
873936.28,14.73,1.13,199322.91,3.36
873800.31,14.73,1.13,199253.5,3.36
873853.01,14.73,1.13,199364.58,3.36
873717.03,14.73,1.13,199359.17,3.36
872629.21,14.73,1.13,199358.72,3.37
872681.91,14.74,1.14,199469.8,3.37
872545.93,14.74,1.14,199442.26,3.37
872827.04,14.74,1.14,199362.95,3.37
872691.07,14.74,1.14,199778.03,3.37
872555.09,14.74,1.14,199784.25,3.38
872851.11,14.75,1.15,200058.65,3.38
872715.13,14.75,1.15,199980.68,3.38
872767.84,14.75,1.15,200164.5,3.38
873454.71,14.76,1.17,200268.96,3.39
873318.73,14.76,1.17,200275.19,3.39
873182.75,14.76,1.17,200189.65,3.39
873539.95,14.77,1.18,199996.15,3.38
872843.82,14.76,1.17,199306.14,3.37
873201.02,14.77,1.17,199112.64,3.37
873065.04,14.77,1.18,199089.95,3.37
872348.58,14.76,1.17,198347.88,3.36
872212.61,14.76,1.17,198291.26,3.36
871840.61,14.76,1.16,197991.33,3.35
871704.63,14.76,1.16,197912.02,3.35
871704.63,14.76,1.16,197912.02,3.35
871568.65,14.76,1.16,197912.02,3.35
871568.65,14.76,1.16,197912.02,3.35
871432.68,14.76,1.16,197832.71,3.35
871296.7,14.76,1.16,197832.71,3.35
871296.7,14.76,1.16,197832.71,3.35
870580.24,14.75,1.15,197090.64,3.34
870373.81,14.75,1.15,196963.29,3.34
870237.84,14.75,1.15,196969.52,3.34
870101.86,14.75,1.15,196883.98,3.34
870101.86,14.75,1.15,196883.57,3.34
870101.86,14.75,1.15,196883.55,3.34
870406.03,14.75,1.16,197142.01,3.34
870270.05,14.75,1.16,197170.96,3.34
870322.76,14.76,1.16,197282.04,3.34
870322.76,14.76,1.16,197750.28,3.35
870186.78,14.76,1.16,197745.06,3.35
869990.35,14.75,1.16,197555.29,3.35
869854.37,14.75,1.16,197477.33,3.35
869907.07,14.76,1.16,197661.15,3.35
869771.1,14.76,1.16,197651.25,3.35
869410.95,14.75,1.15,197364.53,3.35
869463.65,14.76,1.16,197457.96,3.35
869516.35,14.76,1.16,197569.04,3.35
869706.8,14.76,1.17,197808.86,3.36
869570.82,14.76,1.17,197729.55,3.36
869364.39,14.76,1.16,197530.43,3.35
869228.42,14.76,1.16,197530.43,3.35
869092.44,14.76,1.16,197451.12,3.35
868956.46,14.76,1.16,197451.12,3.35
868820.49,14.76,1.16,197441.23,3.35
869116.51,14.77,1.17,197731.74,3.36
868744.51,14.76,1.16,197431.81,3.35
868608.53,14.76,1.16,197352.5,3.35
868472.55,14.76,1.16,197352.5,3.35
868810.69,14.77,1.17,197172.36,3.35
868674.72,14.77,1.17,197093.05,3.35
868378.29,14.77,1.17,196877.04,3.35
868242.31,14.77,1.17,196877.04,3.35
867734.91,14.76,1.16,196311.62,3.34
