ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
1,1,0,6212,0
2,2,810,6212,810
3,4,1810,6212,1810
4,6,2810,6212,2810
5,8,3810,6212,3810
5,8,4620,6212,4620
6,9,5090,6212,5090
7,11,5740,6212,5740
7,11,6550,6212,6550
8,12,6780,6212,6780
8,12,7590,6212,7590
9,14,8590,6212,8590
10,16,9060,6212,9060
11,17,9520,6212,9520
12,18,9520,6212,9520
13,20,10520,6212,10520
13,20,10980,6212,10980
14,21,11440,6212,11440
14,21,12440,6212,12440
15,23,13440,6212,13440
15,23,13440,6212,13440
15,23,13910,6212,13910
16,25,13910,6212,13910
16,25,14720,6212,14720
16,25,14880,6212,14880
17,27,14880,6212,14880
18,28,15880,6212,15880
19,30,16880,6212,16880
19,30,17690,6212,17690
20,32,18690,6212,18690
20,32,18800,6212,18800
21,34,19800,6212,19800
22,36,19800,6212,19800
23,37,20270,6212,20270
24,39,21270,6212,21270
25,41,22270,6212,22270
26,43,23270,6212,23270
27,45,24270,6212,24270
28,47,25270,6212,25270
29,49,25740,6212,25740
29,49,25740,6212,25740
30,51,26740,6212,26740
31,53,26740,6212,26740
32,55,27740,6212,27740
32,55,28060,6212,28060
33,57,29060,6212,29060
34,59,29060,6212,29060
35,60,29380,6212,29380
35,60,30380,6212,30380
35,60,31190,6212,31190
36,62,31190,6212,31190
36,62,31560,6212,31560
37,64,32560,6212,32560
38,66,33560,6212,33560
38,66,34560,6212,34560
38,66,34880,6212,34880
39,68,35880,6212,35880
40,70,36880,6212,36880
40,70,37880,6212,37880
40,70,38690,6212,38690
41,71,39690,6212,39690
41,71,40690,6212,40690
41,71,41010,6212,41010
42,73,42010,6212,42010
42,73,43010,6212,43010
43,75,44010,6212,44010
44,77,45010,6212,45010
44,77,45010,6212,45010
44,77,46010,6212,46010
45,79,47010,6212,47010
46,80,47480,6212,47480
46,80,48290,6212,48290
47,82,49290,6212,49290
48,84,50290,6212,50290
48,84,51100,6212,51100
49,86,51100,6212,51100
50,88,52100,6212,52100
51,90,53100,6212,53100
51,90,53910,6212,53910
52,94,57910,6212,57910
52,94,57910,6212,57910
52,94,58720,6212,58720
53,96,58720,6212,58720
53,96,59530,6212,59530
54,98,60530,6212,60530
54,98,61530,6212,61530
54,98,61530,6212,61530
54,98,62340,6212,62340
54,98,63340,6212,63340
54,98,64340,6212,64340
55,100,65340,6212,65340
56,102,66340,6212,66340
57,104,66990,6212,66990
57,104,67800,6212,67800
58,105,68800,6212,68800
59,107,69800,6212,69800
60,109,70270,6212,70270
60,109,70590,6212,70590
61,111,70590,6212,70590
61,111,71400,6212,71400
61,111,72210,6212,72210
62,112,72760,6212,72760
62,112,73570,6212,73570
63,114,73570,6212,73570
64,116,73570,6212,73570
65,120,74570,6212,74570
66,122,75570,6212,75570
67,124,76570,6212,76570
67,124,77380,6212,77380
68,126,78380,6212,78380
69,128,78850,6212,78850
70,130,79850,6212,79850
71,132,80850,6212,80850
71,132,81660,6212,81660
72,134,82660,6212,82660
73,136,83660,6212,83660
74,137,84660,6212,84660
75,139,84660,6212,84660
76,140,84660,6212,84660
77,141,84660,6212,84660
78,143,84660,6212,84660
79,145,85660,6212,85660
79,145,86660,6212,86660
80,147,87660,6212,87660
80,147,88470,6212,88470
81,151,88470,6212,88470
82,153,88470,6212,88470
83,155,89470,6212,89470
84,157,89470,6212,89470
85,159,89470,6212,89470
86,161,89470,6212,89470
87,163,90120,6212,90120
87,163,90930,6212,90930
88,165,90930,6212,90930
89,167,91930,6212,91930
90,169,92930,6212,92930
91,170,93400,6212,93400
92,172,94400,6212,94400
93,173,95400,6212,95400
93,173,96210,6212,96210
94,175,97210,6212,97210
95,177,98210,6212,98210
96,179,98210,6212,98210
97,181,98860,6212,98860
98,183,99860,6212,99860
99,185,99860,6212,99860
99,185,100510,6212,100510
100,186,100980,6212,100980
100,186,101980,6212,101980
100,186,102790,6212,102790
100,186,103600,6212,103600
100,186,104600,6212,104600
100,186,105410,6212,105410
101,188,106410,6212,106410
102,190,106880,6212,106880
102,190,107880,6212,107880
103,191,108880,6212,108880
103,191,109690,6212,109690
104,193,110690,6212,110690
104,193,111010,6212,111010
104,193,111560,6212,111560
105,195,112560,6212,112560
106,197,113560,6212,113560
106,197,114020,6212,114020
106,197,115020,6212,115020
106,197,115830,6212,115830
107,199,116830,6212,116830
108,201,117830,6212,117830
108,201,118150,6212,118150
109,203,119150,6212,119150
110,204,119470,6212,119470
111,206,120470,6212,120470
111,206,120790,6212,120790
111,206,120790,6212,120790
111,206,121790,6212,121790
112,210,121790,6212,121790
113,212,122790,6212,122790
114,214,123790,6212,123790
114,214,124600,6212,124600
115,216,125600,6212,125600
115,216,125600,6212,125600
116,218,126600,6212,126600
117,220,127070,6212,127070
117,220,127880,6212,127880
118,222,128880,6212,128880
119,224,129530,6212,129530
120,228,129530,6212,129530
121,230,129530,6212,129530
121,230,129760,6212,129760
121,230,130080,6212,130080
121,230,130400,6212,130400
121,230,131210,6212,131210
122,232,132210,6212,132210
122,232,133020,6212,133020
123,234,133020,6212,133020
124,236,133020,6212,133020
125,238,134020,6212,134020
125,238,134830,6212,134830
126,240,134830,6212,134830
127,242,134830,6212,134830
127,242,135640,6212,135640
127,242,135960,6212,135960
127,242,136960,6212,136960
128,244,137960,6212,137960
129,246,138960,6212,138960
130,248,139610,6212,139610
131,250,140610,6212,140610
131,250,141420,6212,141420
132,252,141420,6212,141420
133,254,142420,6212,142420
134,256,143420,6212,143420
134,256,144420,6212,144420
134,256,145230,6212,145230
134,256,145600,6212,145600
135,258,146070,6212,146070
136,260,147070,6212,147070
137,262,147540,6212,147540
138,264,148540,6212,148540
139,266,149540,6212,149540
139,266,150010,6212,150010
140,268,151010,6212,151010
140,268,151820,6212,151820
140,268,152630,6212,152630
140,268,153630,6212,153630
140,268,153630,6212,153630
140,268,154630,6212,154630
141,270,155100,6212,155100
142,272,156100,6212,156100
142,272,156570,6212,156570
142,272,156940,6212,156940
142,272,157940,6212,157940
142,272,158750,6212,158750
142,272,159560,6212,159560
142,272,160020,6212,160020
142,272,160830,6212,160830
143,276,161480,6212,161480
143,276,161710,6212,161710
143,276,161710,6212,161710
144,280,161710,6212,161710
145,284,161710,6212,161710
145,284,162710,6212,162710
145,284,163520,6212,163520
146,288,167520,6212,167520
147,292,168520,6212,168520
148,294,169520,6212,169520
148,294,170520,6212,170520
148,294,171520,6212,171520
149,296,172520,6212,172520
149,296,172990,6212,172990
150,300,173990,6212,173990
150,300,174990,6212,174990
150,300,175460,6212,175460
151,304,176460,6212,176460
151,304,177460,6212,177460
151,304,178270,6212,178270
152,308,179270,6212,179270
152,308,179740,6212,179740
152,308,180740,6212,180740
152,308,181740,6212,181740
153,312,182740,6212,182740
153,312,183740,6212,183740
153,312,184740,6212,184740
153,312,185200,6212,185200
153,312,186200,6212,186200
154,314,186200,6212,186200
154,314,187200,6212,187200
154,314,188200,6212,188200
155,318,189200,6212,189200
155,318,189520,6212,189520
155,318,190330,6212,190330
155,318,191140,6212,191140
155,318,191690,6212,191690
155,318,192160,6212,192160
155,318,192160,6212,192160
155,318,192390,6212,192390
155,318,192860,6212,192860
156,322,193080,6212,193080
156,322,194080,6212,194080
156,322,194890,6212,194890
156,322,195890,6212,195890
156,322,196700,6212,196700
157,324,196700,6212,196700
157,324,197170,6212,197170
157,324,198170,6212,198170
157,324,199170,6212,199170
157,324,199980,6212,199980
157,324,200980,6212,200980
158,326,201980,6212,201980
158,326,202450,6212,202450
159,328,203450,6212,203450
159,328,204260,6212,204260
159,328,205260,6212,205260
159,328,205730,6212,205730
159,328,205730,6212,205730
159,328,206540,6212,206540
159,328,207350,6212,207350
159,328,207350,6212,207350
160,332,208350,6212,208350
160,332,209350,6212,209350
161,336,209580,6212,209580
162,338,211580,6212,211580
162,338,211580,6212,211580
162,338,212390,6212,212390
162,338,212390,6212,212390
162,338,213390,6212,213390
162,338,214390,6212,214390
162,338,215200,6212,215200
162,338,216200,6212,216200
163,342,217200,6212,217200
163,342,218200,6212,218200
163,342,219010,6212,219010
163,342,219330,6212,219330
163,342,220140,6212,220140
163,342,221140,6212,221140
164,346,222140,6212,222140
164,346,222140,6212,222140
164,346,223140,6212,223140
165,350,223790,6212,223790
165,350,223790,6212,223790
165,350,224790,6212,224790
166,354,226790,6212,226790
166,354,227020,6212,227020
167,356,227490,6212,227490
167,356,228490,6212,228490
167,356,229300,6212,229300
167,356,230300,6212,230300
167,356,231300,6212,231300
167,356,232300,6212,232300
167,356,233110,6212,233110
167,356,233110,6212,233110
167,356,233920,6212,233920
167,356,234510,6212,234510
167,356,234830,6212,234830
167,356,235830,6212,235830
167,356,235830,6212,235830
167,356,235830,6212,235830
168,360,236300,6212,236300
168,360,237110,6212,237110
168,360,237110,6212,237110
168,360,238110,6212,238110
168,360,238340,6212,238340
169,362,239340,6212,239340
169,362,240340,6212,240340
170,364,241340,6212,241340
170,364,241340,6212,241340
170,364,241660,6212,241660
170,364,242130,6212,242130
171,366,243130,6212,243130
171,366,243130,6212,243130
171,366,243780,6212,243780
172,370,244590,6212,244590
173,378,252590,6212,252590
173,378,253590,6212,253590
174,382,254590,6212,254590
174,382,255590,6212,255590
175,384,256240,6212,256240
175,384,257240,6212,257240
175,384,257710,6212,257710
176,388,258710,6212,258710
176,388,259710,6212,259710
177,392,260710,6212,260710
177,392,261710,6212,261710
178,394,262710,6212,262710
178,394,262940,6212,262940
178,394,263940,6212,263940
178,394,264940,6212,264940
178,394,265750,6212,265750
178,394,266560,6212,266560
178,394,267030,6212,267030
179,396,268030,6212,268030
179,396,269030,6212,269030
180,400,270030,6212,270030
180,400,271030,6212,271030
180,400,271030,6212,271030
180,400,271580,6212,271580
181,402,272050,6212,272050
181,402,272700,6212,272700
181,402,272700,6212,272700
182,406,273700,6212,273700
182,406,274700,6212,274700
182,406,275510,6212,275510
182,406,275980,6212,275980
183,410,276980,6212,276980
183,410,277980,6212,277980
183,410,278980,6212,278980
183,410,279790,6212,279790
184,412,280790,6212,280790
185,420,288790,6212,288790
185,420,289600,6212,289600
186,424,290600,6212,290600
186,424,291150,6212,291150
186,424,292150,6212,292150
186,424,293150,6212,293150
186,424,293620,6212,293620
187,428,294620,6212,294620
187,428,295430,6212,295430
187,428,296080,6212,296080
187,428,297080,6212,297080
188,432,298080,6212,298080
188,432,299080,6212,299080
188,432,300080,6212,300080
188,432,301080,6212,301080
189,436,302080,6212,302080
189,436,303080,6212,303080
189,436,304080,6212,304080
189,436,304550,6212,304550
190,440,305550,6212,305550
190,440,305550,6212,305550
190,440,306550,6212,306550
190,440,306550,6212,306550
190,440,307550,6212,307550
191,444,308550,6212,308550
191,444,308550,6212,308550
191,444,309550,6212,309550
191,444,309780,6212,309780
191,444,310780,6212,310780
191,444,311780,6212,311780
191,444,311780,6212,311780
191,444,311780,6212,311780
191,444,312240,6212,312240
192,448,313240,6212,313240
192,448,314050,6212,314050
192,448,314050,6212,314050
192,448,315050,6212,315050
192,448,315270,6212,315270
192,448,316270,6212,316270
192,448,317080,6212,317080
193,450,318080,6212,318080
193,450,318540,6212,318540
194,452,319350,6212,319350
194,452,320160,6212,320160
195,454,320810,6212,320810
195,454,321810,6212,321810
195,454,322040,6212,322040
196,456,323040,6212,323040
196,456,324040,6212,324040
197,458,325040,6212,325040
197,458,326040,6212,326040
197,458,326510,6212,326510
198,460,326980,6212,326980
198,460,327980,6212,327980
199,462,328980,6212,328980
199,462,329980,6212,329980
200,464,330980,6212,330980
200,464,331300,6212,331300
200,464,332300,6212,332300
201,466,333110,6212,333110
201,466,333920,6212,333920
202,468,334920,6212,334920
202,468,335920,6212,335920
203,470,336920,6212,336920
203,470,337730,6212,337730
204,472,338540,6212,338540
204,472,339540,6212,339540
204,472,340010,6212,340010
205,474,341010,6212,341010
205,474,341010,6212,341010
205,474,341010,6212,341010
205,474,342010,6212,342010
205,474,342010,6212,342010
206,476,343010,6212,343010
206,476,343010,6212,343010
206,476,343820,6212,343820
207,478,344820,6212,344820
207,478,345050,6212,345050
207,478,346050,6212,346050
208,480,346860,6212,346860
208,480,347670,6212,347670
208,480,347670,6212,347670
209,482,348670,6212,348670
209,482,349020,6212,349020
210,484,350020,6212,350020
210,484,351020,6212,351020
210,484,351020,6212,351020
210,484,351340,6212,351340
211,486,352340,6212,352340
211,486,353340,6212,353340
211,486,353340,6212,353340
212,488,354340,6212,354340
212,488,355340,6212,355340
213,490,356150,6212,356150
213,490,357150,6212,357150
213,490,357150,6212,357150
214,492,358150,6212,358150
214,492,359150,6212,359150
215,494,360150,6212,360150
215,494,360620,6212,360620
215,494,361620,6212,361620
216,496,362620,6212,362620
216,496,363430,6212,363430
217,498,364240,6212,364240
217,498,365240,6212,365240
217,498,365240,6212,365240
217,498,365240,6212,365240
218,500,366240,6212,366240
218,500,366470,6212,366470
219,502,367470,6212,367470
219,502,368470,6212,368470
220,504,369280,6212,369280
220,504,369930,6212,369930
220,504,369930,6212,369930
220,504,370930,6212,370930
221,506,371930,6212,371930
221,506,372390,6212,372390
222,508,373200,6212,373200
222,508,374200,6212,374200
223,510,375200,6212,375200
223,510,376200,6212,376200
224,512,377200,6212,377200
224,512,378010,6212,378010
224,512,378010,6212,378010
225,514,379010,6212,379010
225,514,380010,6212,380010
226,516,381010,6212,381010
226,516,381480,6212,381480
226,516,382480,6212,382480
227,518,383480,6212,383480
227,518,383480,6212,383480
227,518,384480,6212,384480
228,520,385290,6212,385290
228,520,385520,6212,385520
229,522,386520,6212,386520
229,522,387520,6212,387520
230,524,388520,6212,388520
230,524,389520,6212,389520
230,524,389990,6212,389990
231,526,390990,6212,390990
231,526,391990,6212,391990
232,528,392990,6212,392990
232,528,393990,6212,393990
233,530,394800,6212,394800
233,530,395800,6212,395800
234,532,396800,6212,396800
234,532,397800,6212,397800
234,532,398030,6212,398030
234,532,398030,6212,398030
234,532,399030,6212,399030
235,534,399840,6212,399840
235,534,400840,6212,400840
236,536,401840,6212,401840
236,536,402160,6212,402160
237,538,403160,6212,403160
237,538,403160,6212,403160
237,538,404160,6212,404160
238,540,404970,6212,404970
238,540,405520,6212,405520
238,540,405520,6212,405520
238,540,405680,6212,405680
238,540,406000,6212,406000
239,542,406810,6212,406810
239,542,407280,6212,407280
239,542,408280,6212,408280
240,544,409090,6212,409090
240,544,409560,6212,409560
240,544,410020,6212,410020
241,546,411020,6212,411020
241,546,412020,6212,412020
242,548,413020,6212,413020
242,548,413240,6212,413240
242,548,413240,6212,413240
243,550,414240,6212,414240
244,558,422240,6212,422240
244,558,423240,6212,423240
245,560,424050,6212,424050
245,560,424050,6212,424050
245,560,425050,6212,425050
246,562,426050,6212,426050
246,562,426270,6212,426270
246,562,426920,6212,426920
247,564,427920,6212,427920
247,564,428920,6212,428920
248,566,429920,6212,429920
248,566,430570,6212,430570
249,568,431380,6212,431380
249,568,432380,6212,432380
250,570,433030,6212,433030
250,570,433500,6212,433500
250,570,433500,6212,433500
250,570,434310,6212,434310
251,572,434780,6212,434780
251,572,435250,6212,435250
251,572,435720,6212,435720
251,572,436190,6212,436190
252,574,437000,6212,437000
252,574,438000,6212,438000
252,574,438320,6212,438320
253,576,439320,6212,439320
253,576,440130,6212,440130
254,578,440600,6212,440600
254,578,441600,6212,441600
254,578,441920,6212,441920
255,580,442730,6212,442730
255,580,442890,6212,442890
255,580,443890,6212,443890
256,582,444540,6212,444540
256,582,444540,6212,444540
256,582,445540,6212,445540
256,582,446010,6212,446010
257,584,447010,6212,447010
257,584,447330,6212,447330
257,584,448330,6212,448330
258,586,449330,6212,449330
258,586,449700,6212,449700
259,588,450700,6212,450700
259,588,451700,6212,451700
260,590,452700,6212,452700
260,590,453700,6212,453700
261,592,454700,6212,454700
261,592,455700,6212,455700
262,594,456700,6212,456700
262,594,456700,6212,456700
262,594,456700,6212,456700
262,594,456930,6212,456930
262,594,457930,6212,457930
262,594,457930,6212,457930
262,594,458250,6212,458250
263,596,458720,6212,458720
263,596,459720,6212,459720
264,598,460720,6212,460720
264,598,461720,6212,461720
265,600,462530,6212,462530
265,600,463340,6212,463340
265,600,463820,6212,463820
266,602,464820,6212,464820
266,602,465820,6212,465820
267,604,466820,6212,466820
267,604,466820,6212,466820
267,604,467820,6212,467820
268,606,468820,6212,468820
268,606,469630,6212,469630
269,608,470630,6212,470630
269,608,471100,6212,471100
270,610,472100,6212,472100
