ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-arrived_gpu_milli
1,8,0,6212,0
2,9,810,6212,810
2,9,1810,6212,1810
2,9,2810,6212,2810
2,9,3810,6212,3810
3,10,4620,6212,4620
4,11,5090,6212,5090
4,11,5740,6212,5740
5,12,6550,6212,6550
5,12,6780,6212,6780
6,13,7590,6212,7590
6,13,8590,6212,8590
7,21,9060,6212,9060
7,21,9520,6212,9520
7,21,9520,6212,9520
7,21,10520,6212,10520
8,22,10980,6212,10980
9,23,11440,6212,11440
10,24,12440,6212,12440
10,24,13440,6212,13440
11,32,13440,6212,13440
11,32,13910,6212,13910
11,32,13910,6212,13910
12,33,14720,6212,14720
12,33,14880,6212,14880
12,33,14880,6212,14880
13,34,15880,6212,15880
14,42,16880,6212,16880
15,43,17690,6212,17690
15,43,18690,6212,18690
15,43,18800,6212,18800
15,43,19800,6212,19800
15,43,19800,6212,19800
15,43,20270,6212,20270
15,43,21270,6212,21270
15,43,22270,6212,22270
16,45,23270,6212,23270
16,45,24270,6212,24270
17,53,25270,6212,25270
17,53,25740,6212,25740
17,53,25740,6212,25740
17,53,26740,6212,26740
17,53,26740,6212,26740
17,53,27740,6212,27740
17,53,28060,6212,28060
17,53,29060,6212,29060
17,53,29060,6212,29060
18,54,29380,6212,29380
19,55,30380,6212,30380
20,56,31190,6212,31190
20,56,31190,6212,31190
21,57,31560,6212,31560
22,59,32560,6212,32560
22,59,33560,6212,33560
23,60,34560,6212,34560
24,61,34880,6212,34880
25,63,35880,6212,35880
25,63,36880,6212,36880
26,64,37880,6212,37880
27,65,38690,6212,38690
28,66,39690,6212,39690
29,67,40690,6212,40690
29,67,41010,6212,41010
30,75,42010,6212,42010
31,76,43010,6212,43010
31,76,44010,6212,44010
31,76,45010,6212,45010
31,76,45010,6212,45010
31,76,46010,6212,46010
31,76,47010,6212,47010
31,76,47480,6212,47480
32,78,48290,6212,48290
