ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
1,8,0,6212,0
2,9,810,6212,810
3,11,1810,6212,1810
3,11,2810,6212,2810
4,13,3810,6212,3810
5,14,4620,6212,4620
6,15,5090,6212,5090
6,15,5740,6212,5740
7,16,6550,6212,6550
7,16,6780,6212,6780
8,17,7590,6212,7590
8,17,8590,6212,8590
9,19,9060,6212,9060
9,19,9520,6212,9520
9,19,9520,6212,9520
9,19,10520,6212,10520
10,20,10980,6212,10980
11,21,11440,6212,11440
12,22,12440,6212,12440
13,24,13440,6212,13440
14,32,13440,6212,13440
14,32,13910,6212,13910
15,40,13910,6212,13910
16,41,14720,6212,14720
16,41,14880,6212,14880
16,41,14880,6212,14880
17,42,15880,6212,15880
18,44,16880,6212,16880
19,45,17690,6212,17690
19,45,18690,6212,18690
19,45,18800,6212,18800
20,47,19800,6212,19800
20,47,19800,6212,19800
20,47,20270,6212,20270
20,47,21270,6212,21270
21,49,22270,6212,22270
21,49,23270,6212,23270
22,51,24270,6212,24270
22,51,25270,6212,25270
23,53,25740,6212,25740
24,61,25740,6212,25740
24,61,26740,6212,26740
24,61,26740,6212,26740
25,63,27740,6212,27740
25,63,28060,6212,28060
25,63,29060,6212,29060
25,63,29060,6212,29060
26,64,29380,6212,29380
27,65,30380,6212,30380
28,66,31190,6212,31190
28,66,31190,6212,31190
29,67,31560,6212,31560
30,69,32560,6212,32560
30,69,33560,6212,33560
31,70,34560,6212,34560
32,71,34880,6212,34880
33,73,35880,6212,35880
33,73,36880,6212,36880
34,74,37880,6212,37880
35,75,38690,6212,38690
36,76,39690,6212,39690
37,77,40690,6212,40690
37,77,41010,6212,41010
38,79,42010,6212,42010
39,80,43010,6212,43010
39,80,44010,6212,44010
40,82,45010,6212,45010
40,82,45010,6212,45010
40,82,46010,6212,46010
41,84,47010,6212,47010
41,84,47480,6212,47480
