ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
866232.55,13.94,0.35,181459.74,2.92
1010747.89,16.27,0.48,218093.15,3.51
1010579.47,16.27,0.48,217963.76,3.51
1010411.05,16.27,0.48,217951.79,3.51
1010242.63,16.27,0.48,217917.52,3.51
1009832.63,16.27,0.48,217510.89,3.5
1009762.63,16.27,0.48,217335.78,3.5
1009936.32,16.27,0.48,217326.7,3.5
1009526.32,16.27,0.48,216811.59,3.49
1009314.74,16.27,0.48,216884.12,3.5
1008904.74,16.26,0.47,216369.01,3.49
1008736.32,16.26,0.47,216261.93,3.49
1009014.21,16.27,0.48,216338.08,3.49
1008637.89,16.26,0.47,216131.84,3.48
1008637.89,16.26,0.47,216065.11,3.48
1008469.47,16.26,0.47,216123.85,3.49
1008409.47,16.26,0.47,215958.74,3.48
1008349.47,16.26,0.47,215793.63,3.48
1007749.47,16.26,0.47,215088.52,3.47
1007581.05,16.26,0.47,215045.03,3.47
1007581.05,16.26,0.47,215098.46,3.47
1007858.95,16.26,0.47,215351.24,3.47
1007858.95,16.26,0.47,215404.68,3.48
1007448.95,16.26,0.47,214889.57,3.47
1007288.95,16.25,0.46,214729.57,3.46
1007288.95,16.25,0.46,214724.48,3.46
1006688.95,16.25,0.46,214019.37,3.45
1006520.53,16.25,0.46,213975.88,3.45
1006110.53,16.24,0.45,213460.77,3.45
1005942.11,16.24,0.45,213350.92,3.44
1005832.11,16.24,0.45,214328.96,3.46
1005663.68,16.24,0.45,214294.69,3.46
1005663.68,16.24,0.45,214638.27,3.47
1005277.37,16.24,0.45,214335.64,3.46
1005108.95,16.24,0.45,214228.56,3.46
1004940.53,16.24,0.45,214165.13,3.46
1004772.11,16.24,0.45,214087.21,3.46
1004603.68,16.24,0.45,214043.71,3.46
1004435.26,16.24,0.45,213933.86,3.46
1004713.16,16.24,0.45,214010.02,3.46
1004713.16,16.24,0.45,214063.45,3.46
1004544.74,16.24,0.45,214290.83,3.46
1004544.74,16.24,0.45,214264.68,3.46
1004376.32,16.24,0.45,214215.69,3.46
1004140.0,16.24,0.45,213980.8,3.46
1003971.58,16.24,0.45,213876.45,3.46
1003971.58,16.24,0.45,213850.0,3.46
1004051.58,16.24,0.45,213824.89,3.46
1003451.58,16.23,0.44,213119.78,3.45
1003041.58,16.23,0.44,212604.67,3.44
1003041.58,16.23,0.44,212547.79,3.44
1003071.58,16.23,0.44,212581.15,3.44
1002903.16,16.23,0.44,212517.72,3.44
1002734.74,16.23,0.44,212439.8,3.44
1002134.74,16.22,0.43,211734.69,3.43
1002186.11,16.22,0.43,211680.95,3.43
1002017.68,16.22,0.43,211640.64,3.43
1001849.26,16.22,0.43,211539.6,3.43
1001249.26,16.22,0.43,210942.97,3.42
1000839.26,16.21,0.42,210427.86,3.41
1000239.26,16.21,0.42,209722.74,3.4
999639.26,16.2,0.41,209017.63,3.39
999347.89,16.19,0.4,208726.27,3.38
999179.47,16.19,0.4,208685.95,3.38
998579.47,16.19,0.4,207980.84,3.37
998411.05,16.19,0.4,207879.8,3.37
998242.63,16.19,0.4,207845.53,3.37
998242.63,16.19,0.4,207845.53,3.37
998074.21,16.19,0.4,207738.45,3.37
997905.79,16.19,0.4,207675.02,3.37
998183.68,16.19,0.4,208041.54,3.37
