name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0626,,V100M16,32,4,137438953472,16160,4,92,137438953472,210,3393,1000,16160,60,969,1000,16160,0,0,0,0,0,0,0,0,2270,36682
0001-openb-node-0948,,T4,104,2,549755813888,15109,9,14092,549755813888,90,1359,30,453,0,0,0,0,0,0,0,0,0,0,0,0,120,1812
0002-openb-node-0006,,P100,64,2,274877906944,16280,6,11940,274877906944,60,976,80,1302,0,0,0,0,0,0,0,0,0,0,0,0,140,2278
0003-openb-node-0595,,T4,104,2,549755813888,15109,6,12348,549755813888,50,755,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,240,3625
0004-openb-node-0350,,P100,16,2,128849018880,16280,1,600,128849018880,1000,16280,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,2000,32560
0005-openb-node-0329,,G2,96,8,412316860416,20000,13,332,412316860416,70,1400,190,3800,190,3800,90,1800,130,2600,190,3800,530,10600,60,1200,1450,29000
0006-openb-node-0335,,P100,8,1,64424509440,16280,1,0,64424509440,530,8628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,8628
0007-openb-node-0446,,G2,96,8,412316860416,20000,14,3016,412316860416,30,600,190,3800,190,3800,60,1200,190,3800,190,3800,200,4000,190,3800,1240,24800
0008-openb-node-1197,,T4,104,2,549755813888,15109,8,22440,549755813888,80,1208,80,1208,0,0,0,0,0,0,0,0,0,0,0,0,160,2416
0009-openb-node-0478,,P100,16,2,128849018880,16280,3,696,128849018880,130,2116,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,320,5209
0010-openb-node-0184,,T4,104,2,549755813888,15109,10,7200,549755813888,50,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,755
0011-openb-node-0551,,G2,96,8,412316860416,20000,13,680,412316860416,190,3800,190,3800,190,3800,30,600,70,1400,190,3800,190,3800,190,3800,1240,24800
0012-openb-node-0088,,G2,96,8,412316860416,20000,14,1004,412316860416,60,1200,190,3800,70,1400,120,2400,130,2600,210,4200,190,3800,190,3800,1160,23200
0013-openb-node-0255,,T4,104,2,549755813888,15109,6,19684,549755813888,60,906,60,906,0,0,0,0,0,0,0,0,0,0,0,0,120,1812
0014-openb-node-0827,,G2,96,8,412316860416,20000,16,6076,412316860416,190,3800,30,600,190,3800,0,0,190,3800,80,1600,190,3800,30,600,900,18000
0015-openb-node-1037,,G2,96,8,412316860416,20000,13,3180,412316860416,30,600,190,3800,190,3800,190,3800,0,0,190,3800,60,1200,190,3800,1040,20800
0016-openb-node-0515,,G2,96,8,412316860416,20000,13,5372,412316860416,190,3800,30,600,190,3800,190,3800,190,3800,60,1200,190,3800,190,3800,1230,24600
0017-openb-node-0706,,T4,104,2,549755813888,15109,4,57696,549755813888,190,2870,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,380,5740
0018-openb-node-0030,,G2,96,8,412316860416,20000,15,3740,412316860416,190,3800,130,2600,190,3800,340,6800,190,3800,190,3800,60,1200,190,3800,1480,29600
0019-openb-node-0358,,G2,96,8,412316860416,20000,15,1180,412316860416,90,1800,10,200,30,600,120,2400,190,3800,190,3800,190,3800,190,3800,1010,20200
0020-openb-node-0108,,G2,96,8,412316860416,20000,11,1228,412316860416,190,3800,30,600,190,3800,210,4200,190,3800,1000,20000,680,13600,530,10600,3020,60400
0021-openb-node-0185,,G2,96,8,412316860416,20000,10,1412,412316860416,350,7000,190,3800,190,3800,190,3800,530,10600,530,10600,530,10600,1000,20000,3510,70200
0022-openb-node-0129,,T4,104,2,549755813888,15109,8,2140,549755813888,190,2870,60,906,0,0,0,0,0,0,0,0,0,0,0,0,250,3776
0023-openb-node-0338,,G2,96,8,412316860416,20000,14,424,412316860416,190,3800,130,2600,190,3800,190,3800,460,9200,70,1400,120,2400,190,3800,1540,30800
0024-openb-node-1025,,P100,16,2,128849018880,16280,2,940,128849018880,190,3093,530,8628,0,0,0,0,0,0,0,0,0,0,0,0,720,11721
0025-openb-node-0822,,G2,96,8,412316860416,20000,13,15016,412316860416,190,3800,60,1200,190,3800,190,3800,210,4200,190,3800,130,2600,80,1600,1240,24800
0026-openb-node-0801,,G2,96,8,412316860416,20000,14,19424,412316860416,190,3800,190,3800,190,3800,80,1600,80,1600,210,4200,190,3800,190,3800,1320,26400
0027-openb-node-0151,,G2,96,8,412316860416,20000,13,2260,412316860416,190,3800,350,7000,210,4200,190,3800,60,1200,60,1200,90,1800,190,3800,1340,26800
0028-openb-node-0059,,G2,96,8,412316860416,20000,14,1320,412316860416,190,3800,300,6000,190,3800,350,7000,30,600,190,3800,310,6200,60,1200,1620,32400
0029-openb-node-1048,,G2,96,8,412316860416,20000,15,2936,412316860416,190,3800,180,3600,70,1400,80,1600,30,600,190,3800,190,3800,130,2600,1060,21200
0030-openb-node-0237,,T4,104,2,549755813888,15109,8,7848,549755813888,60,906,90,1359,0,0,0,0,0,0,0,0,0,0,0,0,150,2265
0031-openb-node-0708,,G2,96,8,412316860416,20000,15,280,412316860416,210,4200,60,1200,190,3800,30,600,80,1600,190,3800,40,800,680,13600,1480,29600
0032-openb-node-1153,,T4,104,2,549755813888,15109,6,18848,549755813888,210,3172,30,453,0,0,0,0,0,0,0,0,0,0,0,0,240,3625
0033-openb-node-0632,,G2,96,8,412316860416,20000,13,2912,412316860416,190,3800,190,3800,350,7000,210,4200,300,6000,60,1200,190,3800,240,4800,1730,34600
0034-openb-node-0368,,G2,96,8,412316860416,20000,15,2424,412316860416,140,2800,140,2800,70,1400,80,1600,60,1200,190,3800,190,3800,190,3800,1060,21200
0035-openb-node-0299,,T4,104,2,549755813888,15109,7,8796,549755813888,190,2870,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,380,5740
0036-openb-node-0060,,G2,96,8,412316860416,20000,14,5320,412316860416,350,7000,190,3800,190,3800,120,2400,450,9000,190,3800,190,3800,60,1200,1740,34800
0037-openb-node-1036,,G2,96,8,412316860416,20000,12,2320,412316860416,350,7000,190,3800,60,1200,190,3800,190,3800,530,10600,210,4200,360,7200,2080,41600
0038-openb-node-1190,,T4,96,4,412316860416,15109,9,18136,412316860416,30,453,80,1208,190,2870,120,1813,0,0,0,0,0,0,0,0,420,6344
0039-openb-node-0026,,G2,96,8,412316860416,20000,12,2680,412316860416,190,3800,190,3800,210,4200,530,10600,190,3800,190,3800,160,3200,410,8200,2070,41400
0040-openb-node-0544,,G2,96,8,412316860416,20000,8,2788,412316860416,1000,20000,1000,20000,530,10600,1000,20000,1000,20000,30,600,1000,20000,190,3800,5750,115000
0041-openb-node-1212,,G2,96,8,412316860416,20000,12,2688,412316860416,190,3800,190,3800,130,2600,190,3800,70,1400,190,3800,190,3800,530,10600,1680,33600
0042-openb-node-0322,,G2,96,8,412316860416,20000,11,832,412316860416,190,3800,190,3800,540,10800,530,10600,60,1200,190,3800,190,3800,450,9000,2340,46800
0043-openb-node-0885,,G2,96,8,412316860416,20000,14,1420,412316860416,50,1000,30,600,350,7000,190,3800,190,3800,20,400,310,6200,190,3800,1330,26600
0044-openb-node-0932,,P100,16,2,128849018880,16280,1,600,128849018880,1000,16280,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,2000,32560
0045-openb-node-0977,,G3,128,8,824633720832,30000,14,1168,824633720832,190,5700,70,2100,210,6300,190,5700,190,5700,210,6300,190,5700,30,900,1280,38400
0046-openb-node-0355,,G2,96,8,412316860416,20000,13,4,412316860416,310,6200,30,600,60,1200,60,1200,410,8200,190,3800,70,1400,190,3800,1320,26400
0047-openb-node-1186,,G2,96,8,412316860416,20000,13,12668,412316860416,30,600,190,3800,190,3800,190,3800,60,1200,30,600,130,2600,70,1400,890,17800
0048-openb-node-1107,,G2,96,8,412316860416,20000,14,2108,412316860416,190,3800,190,3800,60,1200,130,2600,30,600,190,3800,190,3800,130,2600,1110,22200
0049-openb-node-0954,,T4,104,2,549755813888,15109,7,11348,549755813888,60,906,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,250,3776
0050-openb-node-0638,,T4,104,2,549755813888,15109,7,3696,549755813888,190,2870,130,1964,0,0,0,0,0,0,0,0,0,0,0,0,320,4834
0051-openb-node-0693,,T4,104,2,549755813888,15109,6,6440,549755813888,70,1057,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,260,3927
0052-openb-node-0884,,T4,104,2,549755813888,15109,8,27092,549755813888,40,604,60,906,0,0,0,0,0,0,0,0,0,0,0,0,100,1510
0053-openb-node-0886,,G2,96,8,412316860416,20000,13,1516,412316860416,190,3800,190,3800,70,1400,210,4200,210,4200,190,3800,190,3800,190,3800,1440,28800
0054-openb-node-1196,,T4,104,2,549755813888,15109,7,26940,549755813888,190,2870,30,453,0,0,0,0,0,0,0,0,0,0,0,0,220,3323
0055-openb-node-0383,,G2,96,8,412316860416,20000,10,2136,412316860416,780,15600,190,3800,190,3800,310,6200,1000,20000,190,3800,530,10600,1000,20000,4190,83800
0056-openb-node-1128,,T4,104,2,549755813888,15109,6,37296,549755813888,190,2870,30,453,0,0,0,0,0,0,0,0,0,0,0,0,220,3323
0057-openb-node-0984,,G2,96,8,412316860416,20000,13,3180,412316860416,180,3600,190,3800,190,3800,190,3800,60,1200,210,4200,450,9000,190,3800,1660,33200
0058-openb-node-0522,,G2,96,8,412316860416,20000,12,3360,412316860416,450,9000,530,10600,60,1200,20,400,90,1800,190,3800,530,10600,190,3800,2060,41200
0059-openb-node-0161,,P100,16,2,128849018880,16280,2,940,128849018880,350,5698,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,540,8791
0060-openb-node-0227,,G2,96,8,412316860416,20000,15,7588,412316860416,110,2200,30,600,190,3800,190,3800,190,3800,80,1600,60,1200,190,3800,1040,20800
0061-openb-node-0624,,G2,96,8,412316860416,20000,13,2424,412316860416,350,7000,190,3800,190,3800,230,4600,300,6000,190,3800,30,600,190,3800,1670,33400
0062-openb-node-0985,,P100,16,2,128849018880,16280,3,848,128849018880,190,3093,210,3418,0,0,0,0,0,0,0,0,0,0,0,0,400,6511
0063-openb-node-0806,,G2,96,8,412316860416,20000,11,2424,412316860416,190,3800,190,3800,190,3800,190,3800,60,1200,530,10600,190,3800,70,1400,1610,32200
0064-openb-node-0328,,G2,96,8,412316860416,20000,11,3620,412316860416,190,3800,190,3800,190,3800,190,3800,190,3800,190,3800,60,1200,450,9000,1650,33000
0065-openb-node-0317,,T4,104,2,549755813888,15109,9,1796,549755813888,130,1964,130,1964,0,0,0,0,0,0,0,0,0,0,0,0,260,3928
0066-openb-node-0458,,T4,104,2,549755813888,15109,8,6192,549755813888,80,1208,80,1208,0,0,0,0,0,0,0,0,0,0,0,0,160,2416
0067-openb-node-0602,,T4,104,2,549755813888,15109,11,7100,549755813888,0,0,210,3172,0,0,0,0,0,0,0,0,0,0,0,0,210,3172
0068-openb-node-0036,,T4,104,2,549755813888,15109,8,11876,549755813888,60,906,30,453,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0069-openb-node-0976,,G3,128,8,824633720832,30000,17,7184,824633720832,190,5700,70,2100,70,2100,190,5700,0,0,130,3900,190,5700,190,5700,1030,30900
0070-openb-node-0224,,V100M16,32,4,137438953472,16160,5,788,137438953472,350,5656,530,8564,130,2100,190,3070,0,0,0,0,0,0,0,0,1200,19390
0071-openb-node-0251,,T4,104,2,549755813888,15109,8,32540,549755813888,30,453,60,906,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0072-openb-node-0261,,G2,96,8,412316860416,20000,12,484,412316860416,190,3800,190,3800,680,13600,30,600,680,13600,190,3800,1000,20000,410,8200,3370,67400
0073-openb-node-0636,,T4,104,2,549755813888,15109,5,40440,549755813888,190,2870,120,1813,0,0,0,0,0,0,0,0,0,0,0,0,310,4683
