ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
848158.27,13.65,0.09,213266.17,3.43
848716.8,13.66,0.1,213363.94,3.44
849429.71,13.68,0.11,213662.72,3.44
849299.97,13.68,0.11,213266.45,3.43
849299.97,13.68,0.11,212994.18,3.43
850001.3,13.69,0.12,212998.95,3.43
849711.44,13.69,0.12,212509.42,3.42
849581.7,13.68,0.12,212113.15,3.42
849794.77,13.69,0.12,212059.7,3.42
850020.54,13.69,0.13,212039.17,3.42
849893.6,13.69,0.13,211645.71,3.41
850606.51,13.71,0.14,211944.48,3.42
850832.28,13.71,0.14,211923.95,3.41
850702.54,13.71,0.14,211527.69,3.41
851415.45,13.72,0.16,211826.47,3.41
851973.98,13.73,0.17,211924.24,3.42
852695.46,13.75,0.18,212233.02,3.42
853171.51,13.75,0.19,212291.46,3.42
853896.59,13.77,0.2,213201.86,3.44
853929.66,13.77,0.2,212968.4,3.43
853639.8,13.77,0.2,212478.87,3.43
853169.89,13.76,0.19,211932.2,3.42
853643.81,13.77,0.2,211914.89,3.42
853514.08,13.77,0.2,211518.63,3.41
853978.82,13.78,0.21,211814.18,3.42
854191.89,13.78,0.21,211760.72,3.42
854904.8,13.79,0.23,212059.5,3.42
854775.06,13.79,0.23,211663.23,3.42
854645.32,13.79,0.23,211266.97,3.41
854858.39,13.8,0.23,211213.51,3.41
854728.65,13.8,0.23,210817.24,3.4
854598.91,13.8,0.23,210420.97,3.4
855985.86,13.82,0.25,212699.7,3.43
855856.12,13.82,0.25,212303.44,3.43
855726.38,13.82,0.25,211907.17,3.42
855682.15,13.82,0.25,211616.64,3.42
855895.21,13.82,0.26,211563.18,3.42
856212.4,13.83,0.26,211632.65,3.42
859669.75,13.88,0.32,214813.02,3.47
860228.28,13.9,0.33,214910.8,3.47
860184.05,13.9,0.33,214620.27,3.47
860896.96,13.91,0.34,214919.04,3.47
860607.1,13.91,0.34,214429.52,3.46
860922.86,13.91,0.35,214498.99,3.47
861481.4,13.92,0.36,214596.76,3.47
862039.93,13.93,0.37,214694.54,3.47
862252.99,13.94,0.37,214641.08,3.47
861963.14,13.93,0.37,214151.55,3.46
862676.05,13.95,0.38,214450.33,3.47
863234.58,13.96,0.39,214548.11,3.47
863765.19,13.97,0.4,214874.45,3.47
864264.9,13.98,0.41,214915.42,3.48
863975.04,13.97,0.41,214425.89,3.47
867432.39,14.03,0.46,217606.25,3.52
869161.07,14.06,0.49,218674.5,3.54
870217.08,14.07,0.51,219465.47,3.55
870929.99,14.09,0.52,219764.25,3.55
871155.75,14.09,0.52,219743.72,3.55
871692.67,14.1,0.53,219584.52,3.55
872194.43,14.11,0.54,220121.97,3.56
873250.44,14.13,0.56,220912.94,3.57
873250.44,14.13,0.56,221723.85,3.59
872960.58,14.12,0.56,221234.33,3.58
876384.53,14.18,0.61,223570.38,3.62
876450.3,14.18,0.61,223389.85,3.61
877163.2,14.19,0.63,223688.63,3.62
877376.27,14.2,0.63,223635.17,3.62
877458.93,14.2,0.63,223322.44,3.61
877784.7,14.21,0.64,223401.91,3.62
