name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0626,,V100M16,32,4,137438953472,16160,4,348,137438953472,410,6625,1000,16160,1000,16160,1000,16160,0,0,0,0,0,0,0,0,3410,55105
0001-openb-node-0948,,T4,104,2,549755813888,15109,11,1348,549755813888,0,0,50,755,0,0,0,0,0,0,0,0,0,0,0,0,50,755
0002-openb-node-0006,,P100,64,2,274877906944,16280,9,4348,274877906944,10,162,30,488,0,0,0,0,0,0,0,0,0,0,0,0,40,650
0003-openb-node-0595,,T4,104,2,549755813888,15109,8,3296,549755813888,90,1359,30,453,0,0,0,0,0,0,0,0,0,0,0,0,120,1812
0004-openb-node-0350,,P100,16,2,128849018880,16280,2,600,128849018880,680,11070,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1680,27350
0005-openb-node-0329,,G2,96,8,412316860416,20000,14,680,412316860416,130,2600,190,3800,300,6000,190,3800,190,3800,130,2600,190,3800,360,7200,1680,33600
0006-openb-node-0335,,P100,8,1,64424509440,16280,2,848,64424509440,30,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,488
0007-openb-node-0446,,G2,96,8,412316860416,20000,12,64,412316860416,350,7000,350,7000,60,1200,70,1400,530,10600,350,7000,80,1600,190,3800,1980,39600
0008-openb-node-1197,,T4,104,2,549755813888,15109,8,196,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0009-openb-node-0478,,P100,16,2,128849018880,16280,2,940,128849018880,350,5698,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,540,8791
