ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
848158.27,13.65,0.09,213266.17,3.43
848716.8,13.66,0.1,213363.94,3.44
849429.71,13.68,0.11,213662.72,3.44
849299.97,13.68,0.11,213266.45,3.43
849983.04,13.69,0.12,213682.99,3.44
850233.59,13.69,0.13,213709.23,3.44
849943.73,13.69,0.12,213219.7,3.43
849814.0,13.69,0.12,212823.43,3.43
850027.06,13.69,0.13,212769.97,3.43
850277.61,13.7,0.13,212796.21,3.43
850150.68,13.7,0.13,212402.75,3.42
850863.59,13.71,0.14,212701.53,3.43
851114.14,13.71,0.15,212727.77,3.43
850984.4,13.71,0.15,212331.5,3.42
851697.31,13.73,0.16,212630.28,3.43
852255.84,13.74,0.17,212728.05,3.43
852977.32,13.75,0.18,213036.83,3.43
853106.63,13.75,0.19,212899.61,3.43
854162.65,13.77,0.2,213690.58,3.45
854195.71,13.77,0.21,213457.12,3.44
853905.86,13.77,0.2,212967.6,3.43
853776.12,13.77,0.2,212571.33,3.43
854139.19,13.78,0.21,212667.87,3.43
854009.45,13.78,0.21,212271.6,3.42
854222.52,13.78,0.21,212218.14,3.42
854435.58,13.78,0.22,212164.68,3.42
855148.49,13.8,0.23,212463.46,3.43
855018.75,13.8,0.23,212067.19,3.42
854889.01,13.8,0.23,211670.93,3.42
855102.08,13.8,0.23,211617.47,3.42
854972.34,13.8,0.23,211221.2,3.41
854842.6,13.8,0.23,210824.93,3.4
855525.67,13.81,0.25,211241.48,3.41
855261.44,13.81,0.24,210730.95,3.4
854997.2,13.81,0.24,210220.42,3.39
854519.72,13.8,0.23,209700.72,3.39
855415.86,13.82,0.25,210102.48,3.39
855731.62,13.82,0.26,210171.95,3.39
859188.97,13.88,0.31,213352.32,3.45
859747.5,13.89,0.32,213450.1,3.45
859270.02,13.88,0.32,212930.4,3.44
859982.93,13.89,0.33,213229.18,3.44
859693.07,13.89,0.32,212739.65,3.44
860010.26,13.9,0.33,212809.12,3.44
860568.79,13.91,0.34,212906.9,3.44
861127.32,13.92,0.35,213004.68,3.44
862023.46,13.93,0.37,213406.44,3.45
861733.6,13.93,0.36,212916.91,3.44
862446.51,13.94,0.38,213215.69,3.45
863005.04,13.95,0.39,213313.47,3.45
863535.65,13.96,0.4,213639.81,3.45
864035.36,13.97,0.41,213680.78,3.46
863745.51,13.97,0.4,213191.25,3.45
863745.51,13.97,0.4,213166.53,3.45
865474.18,14.0,0.43,214234.78,3.46
866530.19,14.01,0.45,215025.75,3.48
867243.1,14.03,0.46,215324.52,3.48
867443.25,14.03,0.46,215325.0,3.48
867980.16,14.04,0.47,215165.79,3.48
868481.92,14.05,0.48,215703.24,3.49
869537.93,14.07,0.5,216494.22,3.5
869537.93,14.07,0.5,217331.21,3.52
869273.7,14.06,0.5,216820.68,3.51
870985.67,14.09,0.52,217812.64,3.52
871051.44,14.09,0.53,217632.12,3.52
871764.34,14.11,0.54,217930.89,3.53
872165.78,14.11,0.55,217989.05,3.53
871688.3,14.11,0.54,217469.36,3.52
872014.06,14.11,0.55,217548.83,3.52
871749.83,14.11,0.54,217038.3,3.51
