ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
862220.68,13.88,0.28,186541.86,3.0
862489.5,13.89,0.29,186541.66,3.0
862353.54,13.89,0.29,186522.05,3.0
862622.37,13.89,0.29,186521.86,3.0
862622.37,13.89,0.29,186521.66,3.0
862956.9,13.9,0.3,186521.47,3.0
863008.59,13.9,0.3,186117.27,3.0
862872.63,13.9,0.3,186117.54,3.0
862736.67,13.9,0.3,186016.27,3.0
863013.13,13.91,0.31,185992.66,3.0
863064.83,13.91,0.31,185992.84,3.0
863333.65,13.91,0.32,185992.65,3.0
863602.47,13.92,0.32,186067.12,3.0
863871.3,13.92,0.33,186141.6,3.0
863735.34,13.92,0.33,186141.41,3.0
863599.38,13.92,0.33,186139.77,3.0
863662.14,13.93,0.33,185755.23,3.0
863930.97,13.93,0.34,185829.71,3.0
863930.97,13.93,0.34,185726.8,3.0
864155.18,13.94,0.34,185215.49,2.99
864424.01,13.94,0.35,185215.3,2.99
864607.72,13.95,0.35,185299.93,2.99
864471.76,13.95,0.35,185299.74,2.99
864335.8,13.95,0.35,185190.37,2.99
864604.63,13.95,0.36,185190.18,2.99
864939.16,13.96,0.36,185189.99,2.99
864990.85,13.96,0.37,185313.09,2.99
865259.68,13.97,0.37,185387.57,2.99
865123.72,13.97,0.37,185387.38,2.99
864987.76,13.97,0.37,185286.11,2.99
865256.58,13.97,0.38,185285.91,2.99
865653.39,13.98,0.38,185285.72,2.99
865653.39,13.98,0.38,185184.93,2.99
865517.43,13.98,0.38,185150.77,2.99
865381.47,13.98,0.38,185131.15,2.99
865245.51,13.98,0.38,185111.54,2.99
865131.95,13.98,0.38,185181.37,2.99
865183.64,13.98,0.39,185181.55,2.99
865183.64,13.98,0.39,185184.83,2.99
865235.33,13.99,0.39,185184.63,2.99
865632.14,13.99,0.4,185184.63,2.99
865496.18,13.99,0.4,185184.44,2.99
866139.76,14.0,0.41,185356.56,3.0
866972.61,14.02,0.42,185686.08,3.0
867241.44,14.02,0.43,185685.88,3.0
867686.0,14.03,0.44,185363.5,3.0
868000.92,14.04,0.44,185160.89,2.99
867864.96,14.04,0.44,185160.69,3.0
867916.65,14.04,0.45,185283.8,3.0
867780.69,14.04,0.45,185180.89,3.0
867832.39,14.05,0.45,185181.07,3.0
868016.1,14.05,0.45,185180.88,3.0
867880.14,14.05,0.45,185161.26,3.0
871336.3,14.11,0.51,188280.23,3.05
871336.3,14.11,0.51,188280.03,3.05
872530.58,14.13,0.53,189135.92,3.06
872582.28,14.13,0.53,189259.03,3.06
872446.32,14.13,0.53,189157.76,3.06
872310.36,14.13,0.53,189157.56,3.06
872494.07,14.13,0.54,189157.37,3.06
872494.07,14.13,0.54,189054.46,3.06
872494.07,14.13,0.54,189054.26,3.06
872808.99,14.14,0.54,188851.65,3.06
872808.99,14.14,0.54,188851.46,3.06
872454.33,14.14,0.54,188347.61,3.05
872506.03,14.14,0.54,188470.72,3.05
872689.74,14.14,0.55,188470.52,3.05
872903.63,14.15,0.55,188214.23,3.05
872767.67,14.15,0.55,188214.23,3.05
872631.71,14.15,0.55,188194.62,3.05
872518.15,14.15,0.55,188264.45,3.05
872382.19,14.15,0.55,188264.72,3.05
872433.88,14.15,0.55,188264.9,3.05
872617.6,14.16,0.56,188264.7,3.05
872886.42,14.16,0.56,188339.18,3.06
872750.46,14.16,0.56,188339.45,3.06
872614.5,14.16,0.56,188339.71,3.06
872478.54,14.16,0.56,188339.51,3.06
872342.58,14.16,0.56,188339.32,3.06
872611.41,14.17,0.57,188568.88,3.06
872663.1,14.17,0.57,188568.88,3.06
872527.14,14.17,0.57,188568.68,3.06
872527.14,14.17,0.57,188465.77,3.06
872710.85,14.17,0.58,188550.41,3.06
872710.85,14.17,0.58,188550.21,3.06
872979.68,14.18,0.58,188624.69,3.06
873274.26,14.18,0.59,188624.5,3.06
873138.3,14.18,0.59,188854.11,3.07
873002.34,14.18,0.59,188853.92,3.07
873054.03,14.19,0.59,188854.1,3.07
873105.72,14.19,0.59,188449.9,3.06
872760.94,14.19,0.59,188272.51,3.06
872823.7,14.19,0.59,187887.97,3.05
872687.74,14.19,0.59,187887.78,3.05
872687.74,14.19,0.59,187891.05,3.05
873002.67,14.2,0.6,187688.44,3.05
