ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
863188.36,13.9,0.3,188794.78,3.04
864021.21,13.91,0.31,189114.67,3.04
863478.15,13.9,0.31,188422.41,3.03
863922.01,13.91,0.32,188352.17,3.03
864378.95,13.92,0.32,188659.91,3.04
864753.42,13.93,0.33,188584.53,3.04
864398.77,13.92,0.33,188080.69,3.03
864713.69,13.93,0.33,187868.45,3.03
864060.93,13.92,0.32,187142.56,3.02
864057.86,13.92,0.33,186990.3,3.01
863703.2,13.92,0.32,186486.45,3.01
864536.06,13.93,0.34,186806.34,3.01
864522.99,13.93,0.34,186793.27,3.01
864509.92,13.93,0.34,186631.02,3.01
864604.94,13.94,0.34,187454.17,3.02
864945.87,13.95,0.35,187194.81,3.02
864457.1,13.94,0.34,186706.04,3.01
864444.03,13.94,0.34,186543.78,3.01
865638.32,13.96,0.36,187390.04,3.02
865285.25,13.96,0.36,186887.78,3.01
865272.18,13.96,0.36,186725.53,3.01
865937.97,13.97,0.37,186836.83,3.01
865394.9,13.96,0.37,186144.57,3.0
866057.06,13.98,0.38,186206.44,3.0
867948.21,14.01,0.41,187032.25,3.02
867987.51,14.01,0.41,186984.23,3.02
867523.89,14.0,0.41,186474.8,3.01
867510.82,14.0,0.41,186461.73,3.01
866967.75,14.0,0.4,185769.48,3.0
866424.69,13.99,0.39,185226.41,2.99
866411.62,13.99,0.4,185064.15,2.99
866540.93,13.99,0.4,185106.13,2.99
867289.22,14.01,0.41,185768.24,3.0
867630.15,14.01,0.42,185508.88,3.0
867945.07,14.02,0.43,185282.57,2.99
868260.0,14.03,0.43,185056.25,2.99
868574.92,14.04,0.44,184844.01,2.99
868086.15,14.03,0.43,184355.24,2.98
871542.31,14.09,0.49,187474.21,3.03
871079.55,14.08,0.48,186952.39,3.02
871375.66,14.09,0.49,186775.51,3.02
870722.9,14.08,0.48,186063.69,3.01
870709.83,14.08,0.48,185901.44,3.01
871542.69,14.09,0.5,186221.32,3.01
872375.54,14.11,0.51,186541.21,3.02
872172.78,14.1,0.51,186265.32,3.01
872487.7,14.11,0.52,186053.08,3.01
872802.62,14.12,0.52,185826.76,3.01
872339.86,14.11,0.52,185290.87,3.0
872434.88,14.12,0.52,186114.02,3.01
871972.12,14.11,0.52,185592.21,3.0
872637.9,14.12,0.53,185703.51,3.01
872952.82,14.13,0.54,185477.19,3.0
876408.98,14.19,0.59,188596.16,3.05
878071.14,14.21,0.62,189658.02,3.07
880432.29,14.25,0.66,190953.83,3.09
879968.66,14.25,0.65,190444.4,3.08
879315.9,14.24,0.64,189732.59,3.07
879606.36,14.25,0.65,189422.75,3.07
880272.15,14.26,0.66,189534.05,3.07
881466.43,14.28,0.68,190380.31,3.08
881721.87,14.28,0.69,191208.41,3.1
882036.79,14.29,0.69,190996.17,3.09
883231.08,14.31,0.71,191842.43,3.11
882792.78,14.3,0.71,191404.13,3.1
882329.15,14.3,0.7,190894.7,3.09
882994.94,14.31,0.71,191006.0,3.1
883062.69,14.31,0.72,191032.64,3.1
883724.85,14.32,0.73,191094.51,3.1
883072.09,14.32,0.72,190368.61,3.09
883387.01,14.32,0.73,190156.38,3.08
883701.93,14.33,0.74,189944.14,3.08
883238.31,14.33,0.73,189434.71,3.07
883904.09,14.34,0.74,189546.01,3.07
883891.02,14.34,0.74,189383.75,3.07
884205.95,14.35,0.75,189171.51,3.07
884520.87,14.35,0.76,188959.27,3.07
884615.89,14.36,0.76,189782.43,3.08
884710.9,14.36,0.77,190605.58,3.09
884697.84,14.36,0.77,190443.33,3.09
884235.08,14.36,0.76,189907.43,3.08
885596.22,14.38,0.79,190203.24,3.09
885851.66,14.39,0.79,191031.34,3.1
886517.44,14.4,0.8,191142.64,3.1
889718.16,14.45,0.85,193433.51,3.14
890551.02,14.46,0.87,193753.39,3.15
890392.61,14.46,0.87,193594.98,3.14
890683.07,14.47,0.87,193285.15,3.14
891345.23,14.48,0.89,193347.02,3.14
890882.47,14.48,0.88,192811.13,3.13
890418.84,14.47,0.88,192301.7,3.13
890405.77,14.47,0.88,192139.44,3.12
889943.01,14.47,0.87,191603.54,3.11
890038.03,14.47,0.87,192426.7,3.13
893494.19,14.53,0.93,195545.67,3.18
894855.33,14.55,0.96,195841.47,3.18
895196.26,14.56,0.96,195582.11,3.18
898652.42,14.62,1.02,198701.08,3.23
898691.73,14.62,1.02,198653.06,3.23
898603.43,14.62,1.02,198564.76,3.23
898140.67,14.61,1.01,198028.87,3.22
