ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
1,2,0,6212,0
2,3,470,6212,470
3,4,1470,6212,1470
3,4,1940,6212,1940
4,12,1940,6212,1940
5,13,2260,6212,2260
6,14,3070,6212,3070
7,15,4070,6212,4070
8,16,5070,6212,5070
9,17,5530,6212,5530
10,18,6340,6212,6340
11,20,6810,6212,6810
11,20,7280,6212,7280
11,20,7750,6212,7750
12,22,8750,6212,8750
12,22,9750,6212,9750
13,23,10560,6212,10560
13,23,11030,6212,11030
13,23,11030,6212,11030
14,24,11840,6212,11840
15,25,12310,6212,12310
16,27,12960,6212,12960
17,28,13960,6212,13960
18,30,14960,6212,14960
19,32,15430,6212,15430
19,32,15750,6212,15750
19,32,16560,6212,16560
19,32,17030,6212,17030
19,32,18030,6212,18030
20,33,19030,6212,19030
21,34,19500,6212,19500
22,35,19730,6212,19730
22,35,19730,6212,19730
23,37,20730,6212,20730
23,37,21730,6212,21730
24,39,22730,6212,22730
24,39,23730,6212,23730
25,40,24540,6212,24540
25,40,24540,6212,24540
26,41,25350,6212,25350
27,42,25580,6212,25580
28,43,26580,6212,26580
29,44,27050,6212,27050
30,46,27520,6212,27520
31,48,27990,6212,27990
31,48,28540,6212,28540
32,50,29540,6212,29540
33,52,30540,6212,30540
33,52,31350,6212,31350
34,54,32350,6212,32350
35,55,33160,6212,33160
36,57,33810,6212,33810
36,57,34810,6212,34810
36,57,34810,6212,34810
36,57,34810,6212,34810
36,57,34810,6212,34810
36,57,35620,6212,35620
36,57,36620,6212,36620
37,59,37620,6212,37620
38,61,38270,6212,38270
38,61,38270,6212,38270
38,61,38270,6212,38270
38,61,39270,6212,39270
39,65,39270,6212,39270
39,65,40080,6212,40080
40,66,40890,6212,40890
41,68,41540,6212,41540
41,68,41860,6212,41860
42,70,42860,6212,42860
42,70,43860,6212,43860
42,70,44860,6212,44860
43,72,45860,6212,45860
43,72,46670,6212,46670
44,74,47320,6212,47320
44,74,47790,6212,47790
44,74,48790,6212,48790
45,76,49790,6212,49790
45,76,50790,6212,50790
46,78,51790,6212,51790
46,78,52260,6212,52260
47,79,53070,6212,53070
47,79,54070,6212,54070
47,79,54070,6212,54070
48,81,54720,6212,54720
48,81,54720,6212,54720
48,81,55190,6212,55190
48,81,55350,6212,55350
49,83,56350,6212,56350
49,83,57350,6212,57350
49,83,58160,6212,58160
50,84,58970,6212,58970
51,86,59440,6212,59440
51,86,60250,6212,60250
52,88,61250,6212,61250
52,88,61250,6212,61250
52,88,62250,6212,62250
53,90,63250,6212,63250
54,98,63250,6212,63250
54,98,63570,6212,63570
55,100,64030,6212,64030
55,100,64840,6212,64840
55,100,64840,6212,64840
55,100,65160,6212,65160
55,100,65160,6212,65160
55,100,66160,6212,66160
56,102,67160,6212,67160
57,104,67630,6212,67630
57,104,68630,6212,68630
57,104,69440,6212,69440
58,106,70440,6212,70440
59,108,71090,6212,71090
59,108,72090,6212,72090
59,108,72560,6212,72560
59,108,73370,6212,73370
60,110,74370,6212,74370
60,110,74830,6212,74830
61,112,75300,6212,75300
61,112,76300,6212,76300
61,112,76770,6212,76770
62,114,77770,6212,77770
62,114,77930,6212,77930
62,114,78930,6212,78930
63,116,79930,6212,79930
63,116,80930,6212,80930
64,118,81930,6212,81930
64,118,81930,6212,81930
64,118,82400,6212,82400
64,118,82630,6212,82630
64,118,83100,6212,83100
65,120,83910,6212,83910
65,120,84910,6212,84910
65,120,85380,6212,85380
66,122,86190,6212,86190
66,122,87000,6212,87000
67,124,88000,6212,88000
68,126,88810,6212,88810
69,128,89810,6212,89810
69,128,90810,6212,90810
69,128,90810,6212,90810
69,128,90810,6212,90810
70,130,91810,6212,91810
71,132,92810,6212,92810
71,132,93810,6212,93810
71,132,94280,6212,94280
71,132,94750,6212,94750
71,132,94750,6212,94750
72,134,95750,6212,95750
73,136,96750,6212,96750
73,136,97220,6212,97220
74,144,97220,6212,97220
75,146,98220,6212,98220
75,146,99220,6212,99220
76,148,99690,6212,99690
76,148,100160,6212,100160
76,148,100160,6212,100160
76,148,100160,6212,100160
76,148,100160,6212,100160
77,150,101160,6212,101160
77,150,102160,6212,102160
78,152,102630,6212,102630
78,152,103100,6212,103100
78,152,103100,6212,103100
78,152,103910,6212,103910
79,154,104720,6212,104720
79,154,104720,6212,104720
79,154,105040,6212,105040
79,154,105360,6212,105360
80,162,113360,6212,113360
80,162,113680,6212,113680
81,164,114490,6212,114490
82,166,115490,6212,115490
82,166,116490,6212,116490
82,166,117300,6212,117300
82,166,118300,6212,118300
82,166,118300,6212,118300
82,166,118850,6212,118850
83,168,119320,6212,119320
84,170,120320,6212,120320
84,170,121320,6212,121320
85,172,122320,6212,122320
85,172,122910,6212,122910
85,172,123910,6212,123910
85,172,124910,6212,124910
85,172,125230,6212,125230
85,172,126040,6212,126040
86,174,126690,6212,126690
86,174,127160,6212,127160
87,176,127710,6212,127710
87,176,128520,6212,128520
87,176,128990,6212,128990
88,178,129990,6212,129990
89,180,130460,6212,130460
89,180,131460,6212,131460
89,180,132270,6212,132270
89,180,132490,6212,132490
89,180,132810,6212,132810
90,182,133810,6212,133810
90,182,133810,6212,133810
90,182,134810,6212,134810
91,184,135620,6212,135620
91,184,136090,6212,136090
91,184,136320,6212,136320
91,184,136320,6212,136320
92,186,137130,6212,137130
92,186,137940,6212,137940
93,188,138750,6212,138750
94,190,139750,6212,139750
94,190,139910,6212,139910
94,190,140720,6212,140720
94,190,141190,6212,141190
95,192,142000,6212,142000
95,192,142810,6212,142810
95,192,143810,6212,143810
95,192,143810,6212,143810
96,194,144810,6212,144810
96,194,144810,6212,144810
96,194,145810,6212,145810
97,196,146280,6212,146280
97,196,146510,6212,146510
98,198,147160,6212,147160
98,198,147630,6212,147630
98,198,148440,6212,148440
99,200,149440,6212,149440
100,202,150250,6212,150250
100,202,150710,6212,150710
100,202,151180,6212,151180
101,204,151990,6212,151990
101,204,152220,6212,152220
102,206,153220,6212,153220
102,206,153690,6212,153690
102,206,154340,6212,154340
103,208,155150,6212,155150
103,208,155310,6212,155310
103,208,155310,6212,155310
103,208,156120,6212,156120
103,208,157120,6212,157120
104,210,157770,6212,157770
104,210,158240,6212,158240
104,210,158290,6212,158290
104,210,158610,6212,158610
105,212,159420,6212,159420
105,212,159890,6212,159890
105,212,160540,6212,160540
106,214,161540,6212,161540
106,214,162540,6212,162540
107,216,163540,6212,163540
108,218,164000,6212,164000
108,218,164000,6212,164000
108,218,165000,6212,165000
108,218,165000,6212,165000
108,218,165000,6212,165000
109,220,166000,6212,166000
109,220,166320,6212,166320
109,220,167130,6212,167130
109,220,168130,6212,168130
109,220,169130,6212,169130
110,222,170130,6212,170130
110,222,170590,6212,170590
111,224,171400,6212,171400
111,224,172400,6212,172400
112,226,173400,6212,173400
112,226,174210,6212,174210
113,228,175020,6212,175020
113,228,175020,6212,175020
113,228,176020,6212,176020
113,228,177020,6212,177020
