ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
863188.36,13.9,0.3,188794.78,3.04
863457.19,13.9,0.3,189008.93,3.04
862914.12,13.89,0.3,188316.67,3.03
862569.33,13.89,0.29,188015.84,3.03
862569.33,13.89,0.29,188015.65,3.03
862647.52,13.89,0.3,187944.65,3.03
862292.86,13.89,0.29,187440.8,3.02
862156.9,13.89,0.29,187294.12,3.02
861613.84,13.88,0.29,186601.86,3.01
861610.77,13.88,0.29,186449.61,3.0
861256.11,13.88,0.28,186094.95,3.0
861524.94,13.88,0.29,186169.43,3.0
861180.15,13.88,0.28,185992.04,3.0
861448.98,13.88,0.29,186456.55,3.01
861313.02,13.88,0.29,186353.64,3.0
861177.06,13.88,0.29,186353.64,3.0
860822.4,13.88,0.29,185849.79,3.0
860477.62,13.88,0.28,185505.29,2.99
860477.62,13.88,0.28,185505.29,2.99
860124.55,13.87,0.28,185003.03,2.98
860111.48,13.87,0.28,184840.77,2.98
860777.27,13.89,0.29,184952.07,2.98
860234.2,13.88,0.28,184259.82,2.97
860098.24,13.88,0.28,184156.91,2.97
860367.07,13.88,0.29,184231.39,2.97
860393.44,13.89,0.29,184211.96,2.97
860445.13,13.89,0.29,184486.58,2.98
860100.35,13.88,0.29,184276.44,2.97
859964.39,13.88,0.29,184276.44,2.98
859421.32,13.88,0.28,183584.18,2.96
859408.26,13.88,0.28,183571.12,2.96
859568.67,13.88,0.29,183582.34,2.96
859568.67,13.88,0.29,183631.17,2.97
859432.71,13.88,0.29,183597.01,2.97
859296.75,13.88,0.29,183528.26,2.96
859160.79,13.88,0.29,183508.65,2.96
859024.83,13.88,0.29,183425.36,2.96
858670.17,13.88,0.28,183070.7,2.96
858670.17,13.88,0.28,183715.67,2.97
858317.11,13.87,0.28,183213.42,2.96
858477.52,13.88,0.28,183224.64,2.96
857934.45,13.87,0.27,182532.38,2.95
857921.38,13.87,0.28,182370.13,2.95
858754.24,13.89,0.29,182690.01,2.95
859023.06,13.89,0.3,182764.49,2.96
859295.1,13.9,0.3,183398.95,2.97
859610.02,13.9,0.31,183186.72,2.96
859924.94,13.91,0.32,182960.4,2.96
859474.25,13.91,0.31,182422.38,2.95
859338.29,13.91,0.31,182319.47,2.95
858983.63,13.9,0.31,181815.63,2.94
859167.35,13.91,0.31,181900.26,2.94
859031.39,13.91,0.31,181900.26,2.94
864072.2,13.99,0.39,188579.1,3.05
864072.2,13.99,0.39,188579.1,3.05
864072.2,13.99,0.39,188579.1,3.05
864123.89,13.99,0.39,188811.35,3.06
863471.13,13.98,0.39,188085.46,3.05
863335.17,13.98,0.39,187982.55,3.04
863518.88,13.99,0.39,188067.18,3.05
863518.88,13.99,0.39,188067.18,3.05
863518.88,13.99,0.39,188067.18,3.05
863382.92,13.99,0.39,188067.18,3.05
863382.92,13.99,0.39,188067.18,3.05
863434.61,13.99,0.39,188299.43,3.05
863079.96,13.99,0.39,187795.59,3.04
863263.67,13.99,0.39,187880.22,3.04
862974.0,13.99,0.39,187673.27,3.04
862838.04,13.99,0.39,187570.37,3.04
862185.28,13.98,0.38,186858.55,3.03
862049.32,13.98,0.38,186858.55,3.03
861913.36,13.98,0.38,186858.81,3.03
861965.05,13.98,0.38,187091.06,3.03
862148.76,13.99,0.39,187175.7,3.04
861803.98,13.98,0.38,186790.1,3.03
861668.02,13.98,0.38,186686.93,3.03
861532.06,13.98,0.38,186687.19,3.03
861396.1,13.98,0.38,186584.02,3.03
861260.14,13.98,0.39,186481.12,3.03
861528.96,13.99,0.39,186846.03,3.03
861174.31,13.98,0.39,186342.18,3.03
861038.35,13.98,0.39,186342.18,3.03
