ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
863188.36,13.9,0.3,188794.78,3.04
863457.19,13.9,0.3,189008.93,3.04
862914.12,13.89,0.3,188316.67,3.03
862569.33,13.89,0.29,188015.84,3.03
862569.33,13.89,0.29,188015.65,3.03
862647.52,13.89,0.3,187944.65,3.03
862292.86,13.89,0.29,187440.8,3.02
862156.9,13.89,0.29,187294.12,3.02
861613.84,13.88,0.29,186601.86,3.01
861610.77,13.88,0.29,186449.61,3.0
861256.11,13.88,0.28,186094.95,3.0
861524.94,13.88,0.29,186169.43,3.0
861180.15,13.88,0.28,185992.04,3.0
861448.98,13.88,0.29,186456.55,3.01
861313.02,13.88,0.29,186353.64,3.0
861177.06,13.88,0.29,186353.64,3.0
860822.4,13.88,0.29,185849.79,3.0
860477.62,13.88,0.28,185505.29,2.99
860477.62,13.88,0.28,185505.29,2.99
860124.55,13.87,0.28,185003.03,2.98
860111.48,13.87,0.28,184840.77,2.98
860777.27,13.89,0.29,184952.07,2.98
860123.64,13.88,0.28,184252.64,2.97
859987.69,13.88,0.28,184149.74,2.97
860256.51,13.88,0.29,184556.74,2.98
860059.13,13.88,0.28,184328.59,2.97
859704.47,13.88,0.28,183824.74,2.97
859691.41,13.88,0.28,183662.48,2.96
859148.34,13.87,0.27,183119.42,2.96
858605.27,13.86,0.27,182427.16,2.95
858592.21,13.87,0.27,182414.09,2.95
858752.62,13.87,0.27,182425.32,2.95
858752.62,13.87,0.27,182474.15,2.95
858616.66,13.87,0.27,182439.98,2.95
858480.7,13.87,0.27,182371.24,2.95
858344.74,13.87,0.27,182351.63,2.95
858208.78,13.87,0.27,182268.34,2.95
857854.12,13.86,0.27,181764.49,2.94
857854.12,13.86,0.27,182409.46,2.95
857501.05,13.86,0.26,181907.21,2.94
857661.47,13.86,0.27,181918.43,2.94
857118.4,13.86,0.26,181226.17,2.93
857105.33,13.86,0.26,181063.91,2.93
857374.16,13.86,0.27,181138.39,2.93
857029.37,13.86,0.26,180961.01,2.93
857301.41,13.86,0.27,181427.26,2.93
857616.33,13.87,0.28,181215.03,2.93
857480.37,13.87,0.28,181195.41,2.93
857017.61,13.87,0.27,180659.52,2.92
856881.65,13.87,0.27,180576.23,2.92
856526.99,13.86,0.27,180072.38,2.91
857192.78,13.87,0.28,180183.68,2.92
857507.7,13.88,0.29,179957.36,2.91
862548.51,13.96,0.37,186636.2,3.02
862548.51,13.96,0.37,186636.2,3.02
862548.51,13.96,0.37,186636.2,3.02
862084.89,13.96,0.36,186126.77,3.01
861432.13,13.95,0.35,185414.96,3.0
861296.17,13.95,0.35,185312.05,3.0
861479.88,13.95,0.36,185625.83,3.01
861479.88,13.95,0.36,185625.83,3.01
861479.88,13.95,0.36,185625.83,3.01
861343.92,13.95,0.36,185626.09,3.01
861343.92,13.95,0.36,185626.09,3.01
861395.61,13.96,0.36,185684.74,3.01
861040.96,13.95,0.36,185180.9,3.0
861224.67,13.96,0.36,185265.53,3.0
860935.0,13.95,0.36,184981.75,3.0
860799.04,13.95,0.36,185107.99,3.0
860493.51,13.95,0.35,184352.61,2.99
860357.55,13.95,0.35,184352.87,2.99
860221.59,13.95,0.35,184249.7,2.99
859976.63,13.95,0.35,183584.02,2.98
860160.34,13.95,0.36,183668.65,2.98
860429.17,13.96,0.36,184033.56,2.99
860293.21,13.96,0.36,184033.82,2.99
860157.25,13.96,0.36,183930.65,2.98
860021.29,13.96,0.36,183827.74,2.98
859885.33,13.96,0.36,183827.74,2.98
859540.54,13.95,0.36,183647.17,2.98
859079.37,13.95,0.35,183092.61,2.97
858943.41,13.95,0.35,183073.0,2.97
858943.41,13.95,0.35,183073.0,2.97
