ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
863188.36,13.9,0.3,188794.78,3.04
864021.21,13.91,0.31,189114.67,3.04
863478.15,13.9,0.31,188422.41,3.03
863465.08,13.9,0.31,188260.16,3.03
863922.01,13.91,0.32,188567.9,3.04
864000.2,13.91,0.32,188496.9,3.04
863645.54,13.91,0.31,187993.05,3.03
863960.47,13.92,0.32,187780.81,3.02
863307.7,13.91,0.31,187054.92,3.01
863304.64,13.91,0.31,187051.85,3.01
862949.98,13.91,0.31,186548.0,3.01
863782.83,13.92,0.32,186867.89,3.01
863769.77,13.92,0.33,186705.63,3.01
863756.7,13.92,0.33,186543.38,3.01
863620.74,13.92,0.33,186434.0,3.01
863961.67,13.93,0.33,186174.63,3.0
863472.9,13.92,0.33,185685.87,2.99
863459.83,13.92,0.33,185523.61,2.99
864654.12,13.94,0.35,186369.87,3.01
864301.05,13.94,0.34,185867.61,3.0
864287.98,13.94,0.34,185854.54,3.0
864953.77,13.95,0.36,185965.84,3.0
864410.7,13.95,0.35,185273.59,2.99
865072.86,13.96,0.36,185335.45,2.99
865905.72,13.97,0.38,185655.34,3.0
865983.9,13.98,0.38,185764.35,3.0
865520.28,13.97,0.37,185254.92,2.99
865507.21,13.97,0.38,185092.67,2.99
864964.14,13.96,0.37,184400.41,2.98
864421.08,13.96,0.36,183708.15,2.97
864408.01,13.96,0.36,183545.9,2.96
864236.76,13.96,0.36,183343.82,2.96
864693.69,13.96,0.37,183651.56,2.97
865034.62,13.97,0.38,183392.2,2.96
865349.54,13.98,0.38,183165.88,2.96
865664.46,13.99,0.39,182939.57,2.96
865979.39,13.99,0.4,182727.33,2.95
865490.62,13.99,0.39,182238.56,2.95
865567.61,13.99,0.39,182626.04,2.95
865104.85,13.98,0.39,182104.22,2.94
865222.09,13.99,0.39,182162.41,2.94
864569.32,13.98,0.38,181436.51,2.93
864556.26,13.98,0.38,181274.26,2.93
864873.31,13.98,0.39,181416.78,2.93
865706.16,14.0,0.4,181736.66,2.94
865613.09,14.0,0.4,181494.41,2.94
865928.01,14.01,0.41,181282.17,2.93
866242.94,14.01,0.42,181055.85,2.93
865780.17,14.01,0.41,180519.96,2.92
865875.19,14.01,0.42,181343.11,2.93
865412.43,14.01,0.41,180821.3,2.93
866078.21,14.02,0.42,180932.6,2.93
866393.14,14.03,0.43,180706.28,2.93
869849.3,14.08,0.49,183825.25,2.98
871511.46,14.11,0.51,184887.11,2.99
872705.74,14.13,0.53,185733.37,3.01
872242.98,14.12,0.53,185211.56,3.0
871699.91,14.12,0.52,184519.3,2.99
871990.37,14.12,0.53,184209.47,2.98
872656.16,14.13,0.54,184320.77,2.99
873850.44,14.15,0.56,185167.03,3.0
873850.44,14.15,0.56,185057.64,3.0
874165.36,14.16,0.57,184845.41,2.99
875359.65,14.18,0.59,185691.67,3.01
874896.88,14.18,0.58,185155.77,3.0
874458.59,14.17,0.57,184717.47,2.99
875124.37,14.18,0.59,184828.77,3.0
875150.75,14.18,0.59,184809.34,3.0
875812.91,14.2,0.6,184871.21,3.0
875159.28,14.19,0.59,184171.78,2.99
875474.2,14.2,0.6,183959.54,2.98
875789.13,14.2,0.61,183747.3,2.98
875326.36,14.2,0.6,183211.41,2.97
875992.15,14.21,0.61,183322.71,2.97
876436.02,14.22,0.62,183252.46,2.97
876750.94,14.23,0.63,183040.23,2.97
877065.86,14.23,0.64,182827.99,2.97
876929.9,14.23,0.64,183029.54,2.97
876793.94,14.23,0.64,182827.99,2.97
877237.81,14.24,0.65,182757.75,2.97
876775.04,14.24,0.64,182221.85,2.96
877089.97,14.24,0.65,181995.54,2.96
877345.41,14.25,0.65,182823.63,2.97
878011.19,14.26,0.66,182934.93,2.97
879205.47,14.28,0.68,183781.19,2.98
880038.33,14.29,0.7,184101.08,2.99
879879.92,14.29,0.7,183942.67,2.99
880170.38,14.3,0.7,183632.84,2.98
880832.54,14.31,0.72,183694.7,2.98
880369.78,14.31,0.71,183158.81,2.98
879907.01,14.3,0.7,182622.92,2.97
880550.6,14.31,0.72,182785.41,2.97
880087.84,14.31,0.71,182263.6,2.96
879951.88,14.31,0.71,182154.21,2.96
880028.87,14.31,0.71,182541.69,2.97
879815.92,14.31,0.71,182154.21,2.96
880156.85,14.31,0.72,181894.85,2.96
883613.01,14.37,0.77,185013.82,3.01
883614.24,14.37,0.78,185015.05,3.01
883525.94,14.37,0.78,184926.75,3.01
883062.31,14.37,0.77,184417.32,3.0
884256.6,14.38,0.79,185263.58,3.01
