ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
862220.68,13.88,0.28,186542.07,3.0
862489.5,13.89,0.29,186542.54,3.0
861946.43,13.88,0.28,185850.28,2.99
861601.65,13.87,0.28,185847.49,2.99
861601.65,13.87,0.28,185700.8,2.99
861679.84,13.88,0.28,185629.8,2.99
861325.18,13.87,0.28,185125.95,2.98
861189.22,13.87,0.28,185125.95,2.98
860646.15,13.87,0.27,184433.7,2.97
860643.09,13.87,0.27,184281.44,2.97
860288.43,13.86,0.27,183926.78,2.96
860557.26,13.87,0.27,184563.74,2.97
860212.47,13.86,0.27,184397.4,2.97
860199.4,13.86,0.27,184235.15,2.97
860063.44,13.86,0.27,184132.24,2.97
859927.48,13.86,0.27,184132.24,2.97
859572.83,13.86,0.26,183628.39,2.96
859559.76,13.86,0.27,183466.13,2.96
859559.76,13.86,0.27,183466.13,2.96
859206.69,13.86,0.26,182963.88,2.95
859193.63,13.86,0.26,182801.62,2.95
859377.34,13.86,0.27,182801.62,2.95
858834.27,13.86,0.26,182258.55,2.94
858698.31,13.86,0.26,182258.55,2.94
858967.14,13.86,0.27,182798.7,2.95
858677.46,13.86,0.26,182419.13,2.94
858322.81,13.85,0.26,181915.29,2.94
857978.02,13.85,0.25,181754.71,2.93
857434.96,13.84,0.25,181211.64,2.93
856891.89,13.84,0.24,180519.38,2.91
856878.82,13.84,0.24,180357.13,2.91
857039.24,13.84,0.24,180368.35,2.91
857039.24,13.84,0.24,180368.35,2.91
856903.28,13.84,0.24,180458.35,2.91
856767.32,13.84,0.24,180438.74,2.91
856631.36,13.84,0.24,180355.44,2.91
856495.4,13.84,0.24,180355.25,2.91
856140.74,13.84,0.24,179851.4,2.91
856140.74,13.84,0.24,179851.4,2.91
855787.67,13.83,0.24,179349.14,2.9
855948.08,13.84,0.24,179360.37,2.9
855405.02,13.83,0.23,178668.11,2.89
855391.95,13.83,0.23,178505.85,2.89
855660.78,13.84,0.24,178505.85,2.89
855315.99,13.83,0.24,178505.85,2.89
855445.92,13.83,0.24,178364.13,2.88
855309.96,13.83,0.24,178364.4,2.89
855174.0,13.83,0.24,178261.23,2.88
854597.94,13.83,0.23,177646.32,2.87
854461.98,13.83,0.23,177543.42,2.87
854217.02,13.82,0.23,176926.51,2.86
854430.6,13.83,0.23,176700.7,2.86
854294.64,13.83,0.23,176700.7,2.86
854294.64,13.83,0.23,176700.7,2.86
854294.64,13.83,0.23,176700.7,2.86
854294.64,13.83,0.23,176700.7,2.86
