ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
1,4,0,6212,0
2,5,810,6212,810
3,6,1810,6212,1810
4,7,2620,6212,2620
4,7,2620,6212,2620
5,8,3090,6212,3090
5,8,3410,6212,3410
6,10,4410,6212,4410
7,12,5410,6212,5410
8,13,6220,6212,6220
9,14,6770,6212,6770
10,15,7580,6212,7580
11,16,8390,6212,8390
11,16,8440,6212,8440
12,17,9250,6212,9250
13,18,9480,6212,9480
14,19,10290,6212,10290
15,21,10760,6212,10760
16,29,10760,6212,10760
16,29,11570,6212,11570
17,30,12380,6212,12380
18,31,13190,6212,13190
18,31,14190,6212,14190
19,33,15190,6212,15190
19,33,15350,6212,15350
20,35,16000,6212,16000
20,35,16470,6212,16470
20,35,16790,6212,16790
20,35,17790,6212,17790
20,35,18020,6212,18020
21,36,18830,6212,18830
22,37,19640,6212,19640
22,37,19640,6212,19640
22,37,20290,6212,20290
22,37,21290,6212,21290
23,38,21610,6212,21610
24,40,22610,6212,22610
25,41,23420,6212,23420
25,41,23420,6212,23420
26,43,24070,6212,24070
26,43,24880,6212,24880
26,43,25880,6212,25880
27,45,26530,6212,26530
27,45,27000,6212,27000
27,45,27110,6212,27110
27,45,27580,6212,27580
28,46,28580,6212,28580
29,47,29390,6212,29390
30,48,29940,6212,29940
31,50,30590,6212,30590
31,50,30750,6212,30750
31,50,31220,6212,31220
32,52,32220,6212,32220
32,52,32220,6212,32220
32,52,32220,6212,32220
32,52,32220,6212,32220
33,54,32870,6212,32870
33,54,33870,6212,33870
34,56,34870,6212,34870
34,56,35680,6212,35680
34,56,35680,6212,35680
34,56,35680,6212,35680
34,56,36680,6212,36680
34,56,36680,6212,36680
35,57,37490,6212,37490
36,58,38300,6212,38300
36,58,38770,6212,38770
37,59,39580,6212,39580
38,60,40050,6212,40050
39,62,40860,6212,40860
40,64,41860,6212,41860
40,64,42860,6212,42860
40,64,43670,6212,43670
41,66,44140,6212,44140
41,66,44610,6212,44610
41,66,44930,6212,44930
42,68,45930,6212,45930
42,68,46480,6212,46480
42,68,47480,6212,47480
42,68,47850,6212,47850
43,70,48310,6212,48310
44,72,49310,6212,49310
44,72,49310,6212,49310
44,72,50120,6212,50120
44,72,50120,6212,50120
45,74,50770,6212,50770
45,74,51580,6212,51580
45,74,52580,6212,52580
46,76,53390,6212,53390
46,76,53860,6212,53860
46,76,54330,6212,54330
47,78,55140,6212,55140
47,78,55950,6212,55950
48,80,56950,6212,56950
49,88,56950,6212,56950
49,88,57420,6212,57420
50,96,65420,6212,65420
50,96,65420,6212,65420
51,98,66070,6212,66070
51,98,66880,6212,66880
51,98,67110,6212,67110
