ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
859220.43,13.83,0.21,193815.25,3.12
858962.93,13.83,0.21,193361.15,3.11
859229.28,13.84,0.22,193094.71,3.11
858841.06,13.83,0.21,192628.01,3.1
859395.42,13.84,0.22,193206.24,3.11
860170.25,13.85,0.23,193528.66,3.12
860323.31,13.86,0.24,193485.11,3.12
860589.66,13.86,0.24,193218.68,3.11
860889.93,13.87,0.25,192907.69,3.11
860501.7,13.87,0.25,192440.99,3.1
860503.4,13.87,0.25,192246.08,3.1
860081.25,13.86,0.24,191823.93,3.09
859823.75,13.86,0.24,191369.83,3.08
859775.62,13.86,0.24,191321.69,3.08
859518.12,13.86,0.24,191088.06,3.08
859750.42,13.86,0.24,191123.75,3.08
859492.92,13.86,0.24,190669.65,3.07
860267.75,13.87,0.25,190992.07,3.08
861395.83,13.89,0.27,191811.93,3.09
861138.34,13.89,0.27,191357.83,3.09
860880.84,13.89,0.27,190903.73,3.08
860623.34,13.88,0.26,190449.63,3.07
860177.71,13.88,0.26,189807.39,3.06
860444.06,13.89,0.26,189563.9,3.06
860833.44,13.89,0.27,189980.21,3.07
861447.1,13.9,0.28,190094.0,3.07
861531.47,13.91,0.29,189981.76,3.07
861633.24,13.91,0.29,189982.12,3.07
861187.6,13.9,0.28,189339.88,3.06
861419.9,13.91,0.29,189375.58,3.06
861034.36,13.9,0.28,188878.65,3.05
860776.87,13.9,0.28,188424.55,3.04
861331.23,13.91,0.29,188782.31,3.05
861944.89,13.92,0.3,188896.1,3.05
861938.7,13.92,0.3,189633.3,3.06
862091.76,13.93,0.31,189589.76,3.06
