ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
858375.85,13.82,0.2,193024.44,3.11
859211.05,13.83,0.15,198122.71,3.19
859074.21,13.83,0.15,197901.67,3.19
858853.68,13.83,0.15,197709.21,3.18
858853.68,13.83,0.15,197708.69,3.18
859101.79,13.84,0.15,197708.69,3.18
858924.63,13.83,0.15,197761.68,3.19
858787.79,13.83,0.15,197729.28,3.19
858650.95,13.83,0.15,197708.69,3.19
858430.42,13.83,0.15,197290.03,3.18
858469.89,13.83,0.15,197131.37,3.18
858249.37,13.83,0.15,196712.71,3.17
858028.84,13.83,0.15,196520.26,3.17
857978.84,13.83,0.15,196470.26,3.17
857758.32,13.83,0.14,196051.6,3.16
858023.23,13.83,0.15,196148.37,3.16
857802.7,13.83,0.15,195729.71,3.16
858050.81,13.84,0.15,197711.32,3.19
858050.81,13.84,0.15,197575.11,3.19
857830.28,13.84,0.15,197156.45,3.18
857609.75,13.83,0.15,196737.79,3.17
857389.23,13.83,0.15,196319.13,3.17
856978.7,13.83,0.14,195936.68,3.16
856841.86,13.83,0.14,195908.53,3.16
856684.07,13.82,0.14,194877.31,3.14
856854.25,13.83,0.14,195181.18,3.15
856973.72,13.83,0.15,195102.52,3.15
856696.7,13.83,0.14,194828.65,3.14
856286.18,13.82,0.14,194219.99,3.14
856282.63,13.82,0.14,193605.4,3.13
856062.11,13.82,0.14,193186.74,3.12
855841.58,13.82,0.14,192768.08,3.11
855841.58,13.82,0.14,192768.08,3.11
856011.75,13.83,0.14,192767.88,3.11
855874.91,13.83,0.14,192767.88,3.11
855597.89,13.82,0.14,192805.31,3.11
855461.05,13.82,0.14,192774.56,3.11
855240.53,13.82,0.14,192355.9,3.11
855240.53,13.82,0.14,192355.9,3.11
855410.7,13.82,0.14,192349.21,3.11
855190.18,13.82,0.14,191930.55,3.1
854779.65,13.82,0.13,191321.89,3.09
854949.82,13.82,0.14,192714.06,3.12
855197.93,13.83,0.14,192713.86,3.12
855117.44,13.83,0.14,193244.57,3.12
854792.49,13.82,0.14,193244.57,3.12
854381.96,13.82,0.13,192635.91,3.12
854161.44,13.82,0.13,192217.25,3.11
854440.39,13.82,0.14,192988.1,3.12
854610.56,13.83,0.14,192988.1,3.12
854491.54,13.82,0.14,193074.27,3.12
854739.65,13.83,0.14,193091.3,3.12
854602.81,13.83,0.14,193025.05,3.12
854602.81,13.83,0.14,193029.08,3.12
854602.81,13.83,0.14,193029.08,3.12
854602.81,13.83,0.14,195453.96,3.16
854772.98,13.83,0.15,195449.73,3.16
854636.14,13.83,0.15,196856.04,3.19
854499.3,13.83,0.15,196979.78,3.19
854394.56,13.83,0.15,196370.04,3.18
854394.56,13.83,0.15,196369.84,3.18
854394.56,13.83,0.15,196369.84,3.18
854257.72,13.83,0.15,196557.18,3.18
854257.72,13.83,0.15,196634.68,3.18
853921.4,13.83,0.15,196388.36,3.18
853816.67,13.83,0.15,195778.63,3.17
853589.96,13.83,0.14,196008.52,3.18
853253.65,13.82,0.14,195762.21,3.17
853501.75,13.83,0.14,195550.61,3.17
853563.44,13.83,0.15,195227.43,3.16
853426.6,13.83,0.15,198103.41,3.21
853258.18,13.83,0.15,197710.53,3.2
853305.82,13.83,0.15,199955.73,3.24
853103.68,13.83,0.15,200239.44,3.25
853351.79,13.84,0.15,200259.98,3.25
853089.05,13.83,0.15,200036.54,3.24
852962.74,13.83,0.15,199555.4,3.24
853189.05,13.84,0.15,199559.79,3.24
853052.21,13.84,0.15,198240.32,3.22
852737.47,13.83,0.15,197925.59,3.21
852422.53,13.83,0.15,197740.7,3.21
852285.68,13.83,0.15,197810.7,3.21
852285.68,13.83,0.15,197810.7,3.21
852357.89,13.83,0.15,197346.08,3.2
852357.89,13.83,0.15,197346.08,3.2
852528.07,13.84,0.15,197425.27,3.2
852589.75,13.84,0.16,197190.09,3.2
852452.91,13.84,0.16,197250.42,3.2
852472.49,13.84,0.16,197092.54,3.2
852720.6,13.85,0.16,197100.21,3.2
852395.65,13.84,0.16,196923.66,3.2
852446.81,13.85,0.16,197167.45,3.2
852497.96,13.85,0.16,197167.25,3.2
852361.12,13.85,0.16,197167.25,3.2
852361.12,13.85,0.16,197167.25,3.2
852609.23,13.85,0.17,197181.28,3.2
851514.49,13.85,0.17,197181.28,3.21
851514.49,13.85,0.17,197136.54,3.21
851684.67,13.86,0.17,197130.07,3.21
851735.82,13.86,0.18,197126.76,3.21
851519.3,13.86,0.17,196988.16,3.21
851519.3,13.86,0.17,196988.16,3.21
851570.46,13.86,0.18,196983.91,3.21
851570.46,13.86,0.18,197039.82,3.21
851433.61,13.86,0.18,198070.59,3.22
851484.77,13.86,0.18,198406.69,3.23
851159.82,13.86,0.17,197942.98,3.22
851022.98,13.86,0.17,197848.97,3.22
