name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0604,,V100M16,8,1,34359738368,16160,2,848,34359738368,140,2262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,2262
0001-openb-node-1137,,V100M16,32,4,137438953472,16160,7,1144,137438953472,0,0,50,808,50,808,190,3070,0,0,0,0,0,0,0,0,290,4686
0002-openb-node-0662,,G2,96,8,412316860416,20000,14,3172,412316860416,50,1000,0,0,0,0,70,1400,190,3800,190,3800,350,7000,350,7000,1200,24000
0003-openb-node-1145,,P100,16,2,128849018880,16280,3,1696,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0004-openb-node-1152,,T4,104,2,549755813888,15109,8,292,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0005-openb-node-0222,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0006-openb-node-0042,,G2,96,8,412316860416,20000,9,844,412316860416,0,0,0,0,190,3800,170,3400,190,3800,0,0,1000,20000,1000,20000,2550,51000
0007-openb-node-0734,,G2,96,8,412316860416,20000,13,512,412316860416,30,600,0,0,60,1200,10,200,0,0,30,600,190,3800,190,3800,510,10200
0008-openb-node-0406,,G2,96,8,412316860416,20000,11,2280,412316860416,0,0,0,0,0,0,0,0,90,1800,30,600,190,3800,90,1800,400,8000
0009-openb-node-0236,,T4,104,2,549755813888,15109,7,4384,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0010-openb-node-0788,,T4,104,2,549755813888,15109,9,2092,549755813888,0,0,80,1208,0,0,0,0,0,0,0,0,0,0,0,0,80,1208
0011-openb-node-0021,,P100,64,2,274877906944,16280,6,784,274877906944,30,488,60,976,0,0,0,0,0,0,0,0,0,0,0,0,90,1464
0012-openb-node-0355,,G2,96,8,412316860416,20000,12,1020,412316860416,70,1400,30,600,0,0,190,3800,0,0,0,0,190,3800,60,1200,540,10800
0013-openb-node-0976,,G3,128,8,824633720832,30000,13,3480,824633720832,0,0,30,900,190,5700,0,0,190,5700,190,5700,190,5700,190,5700,980,29400
0014-openb-node-1062,,P100,16,2,128849018880,16280,3,3696,128849018880,0,0,80,1302,0,0,0,0,0,0,0,0,0,0,0,0,80,1302
0015-openb-node-1179,,T4,104,2,549755813888,15109,9,2940,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0016-openb-node-0287,,G2,96,8,412316860416,20000,12,3428,412316860416,0,0,70,1400,0,0,190,3800,190,3800,210,4200,30,600,0,0,690,13800
0017-openb-node-0696,,T4,104,2,549755813888,15109,6,792,549755813888,60,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0018-openb-node-0175,,G2,96,8,412316860416,20000,14,36,412316860416,0,0,0,0,30,600,0,0,0,0,30,600,80,1600,30,600,170,3400
0019-openb-node-0276,,G2,96,8,412316860416,20000,14,2284,412316860416,190,3800,190,3800,40,800,0,0,190,3800,70,1400,190,3800,120,2400,990,19800
0020-openb-node-0736,,G2,96,8,412316860416,20000,13,1628,412316860416,190,3800,190,3800,0,0,190,3800,190,3800,190,3800,120,2400,190,3800,1260,25200
0021-openb-node-0070,,T4,104,2,549755813888,15109,7,1484,549755813888,10,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,151
0022-openb-node-0886,,G2,96,8,412316860416,20000,12,2076,412316860416,80,1600,0,0,190,3800,190,3800,70,1400,0,0,190,3800,60,1200,780,15600
0023-openb-node-0650,,T4,104,2,549755813888,15109,9,400,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0024-openb-node-0212,,T4,104,2,549755813888,15109,6,100,549755813888,60,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0025-openb-node-0250,,G2,96,8,412316860416,20000,15,1024,412316860416,30,600,30,600,190,3800,30,600,70,1400,190,3800,0,0,70,1400,610,12200
0026-openb-node-1095,,T4,104,2,549755813888,15109,7,440,549755813888,20,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,302
0027-openb-node-0188,,G2,96,8,412316860416,20000,14,1864,412316860416,80,1600,90,1800,30,600,60,1200,80,1600,190,3800,0,0,190,3800,720,14400
0028-openb-node-0389,,T4,104,2,549755813888,15109,6,6282,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0029-openb-node-0479,,P100,8,1,64424509440,16280,2,848,64424509440,80,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1302
0030-openb-node-0628,,P100,16,2,128849018880,16280,3,1696,128849018880,190,3093,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,380,6186
0031-openb-node-0772,,G2,96,8,412316860416,20000,10,540,412316860416,0,0,0,0,190,3800,190,3800,0,0,190,3800,0,0,190,3800,760,15200
0032-openb-node-0092,,G2,96,8,412316860416,20000,12,1180,412316860416,190,3800,0,0,190,3800,190,3800,190,3800,0,0,190,3800,60,1200,1010,20200
