ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
1,2,0,6212,0
2,3,460,6212,460
2,3,680,6212,680
3,5,1150,6212,1150
4,9,1150,6212,1150
4,9,1470,6212,1470
5,10,2280,6212,2280
6,11,3090,6212,3090
7,13,3200,6212,3200
8,15,3680,6212,3680
8,15,4150,6212,4150
9,16,4620,6212,4620
10,17,5090,6212,5090
11,19,5560,6212,5560
12,20,6030,6212,6030
12,20,6510,6212,6510
13,22,6980,6212,6980
13,22,7570,6212,7570
13,22,7570,6212,7570
14,24,8030,6212,8030
15,26,8350,6212,8350
16,28,8670,6212,8670
16,28,9140,6212,9140
17,29,10140,6212,10140
18,30,10950,6212,10950
19,31,11760,6212,11760
20,32,12570,6212,12570
21,33,13380,6212,13380
22,35,13850,6212,13850
22,35,14330,6212,14330
23,37,14800,6212,14800
24,38,15610,6212,15610
24,38,15610,6212,15610
25,39,16420,6212,16420
26,41,17420,6212,17420
26,41,17880,6212,17880
27,42,18690,6212,18690
28,43,19280,6212,19280
29,47,19280,6212,19280
30,48,20090,6212,20090
31,50,20740,6212,20740
31,50,21550,6212,21550
32,51,22360,6212,22360
33,52,22830,6212,22830
34,54,23300,6212,23300
35,55,24110,6212,24110
36,56,24920,6212,24920
37,57,25470,6212,25470
37,57,25700,6212,25700
38,59,26170,6212,26170
39,60,26980,6212,26980
40,62,27450,6212,27450
40,62,28450,6212,28450
41,66,28450,6212,28450
42,68,28450,6212,28450
43,70,28450,6212,28450
43,70,28910,6212,28910
43,70,29910,6212,29910
44,72,30380,6212,30380
45,74,30850,6212,30850
46,76,30850,6212,30850
