ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
1,2,0,6212,0
2,3,460,6212,460
3,4,680,6212,680
4,5,1150,6212,1150
4,5,1150,6212,1150
4,5,1470,6212,1470
5,6,2280,6212,2280
6,7,3090,6212,3090
6,7,3200,6212,3200
6,7,3680,6212,3680
7,8,4150,6212,4150
7,8,4620,6212,4620
8,9,5090,6212,5090
8,9,5560,6212,5560
8,9,6030,6212,6030
8,9,6510,6212,6510
8,9,6980,6212,6980
9,10,7570,6212,7570
9,10,7570,6212,7570
10,11,8030,6212,8030
10,11,8350,6212,8350
10,11,8670,6212,8670
11,13,9140,6212,9140
12,14,10140,6212,10140
12,14,10950,6212,10950
13,15,11760,6212,11760
14,16,12570,6212,12570
15,17,13380,6212,13380
15,17,13850,6212,13850
16,18,14330,6212,14330
17,19,14800,6212,14800
18,20,15610,6212,15610
18,20,15610,6212,15610
19,21,16420,6212,16420
20,23,17420,6212,17420
21,24,17880,6212,17880
22,25,18690,6212,18690
23,26,19280,6212,19280
24,34,19280,6212,19280
25,35,20090,6212,20090
26,37,20740,6212,20740
26,37,21550,6212,21550
27,38,22360,6212,22360
28,39,22830,6212,22830
29,41,23300,6212,23300
29,41,24110,6212,24110
30,42,24920,6212,24920
31,44,25470,6212,25470
31,44,25700,6212,25700
31,44,26170,6212,26170
31,44,26980,6212,26980
32,46,27450,6212,27450
32,46,28450,6212,28450
32,46,28450,6212,28450
32,46,28450,6212,28450
32,46,28450,6212,28450
32,46,28910,6212,28910
33,48,29910,6212,29910
33,48,30380,6212,30380
33,48,30850,6212,30850
