ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
851773.23,13.71,0.12,197326.28,3.18
851946.39,13.72,0.12,197256.26,3.18
852247.56,13.72,0.13,197649.02,3.18
852427.27,13.72,0.13,197730.58,3.18
852427.27,13.72,0.13,197583.98,3.18
852317.63,13.72,0.13,197480.66,3.18
852141.41,13.72,0.13,197328.25,3.18
851965.19,13.72,0.13,196908.86,3.17
851857.83,13.72,0.13,196801.5,3.17
851493.08,13.72,0.12,196368.98,3.16
851672.78,13.72,0.13,196450.54,3.16
851417.17,13.72,0.13,196229.79,3.16
851583.59,13.72,0.13,196153.04,3.16
851763.3,13.72,0.13,196153.04,3.16
851507.68,13.72,0.13,196403.31,3.16
851681.44,13.72,0.13,196425.24,3.17
851421.78,13.72,0.13,196263.04,3.16
851413.11,13.72,0.13,196011.2,3.16
851413.11,13.72,0.13,196011.2,3.16
851586.27,13.73,0.14,195941.18,3.16
851269.53,13.72,0.13,195624.45,3.15
851004.62,13.72,0.13,195359.54,3.15
851184.33,13.72,0.13,195350.67,3.15
850820.75,13.72,0.13,194743.92,3.14
850871.2,13.72,0.13,194936.38,3.14
850694.98,13.72,0.13,194516.99,3.14
850518.76,13.72,0.13,194097.6,3.13
850342.54,13.72,0.13,193678.21,3.12
850086.93,13.72,0.12,193588.5,3.12
850176.69,13.72,0.13,193440.09,3.12
850343.12,13.72,0.13,193363.34,3.12
850166.9,13.72,0.13,192943.95,3.11
850166.9,13.72,0.13,192943.95,3.11
849990.68,13.72,0.13,192524.56,3.11
849854.77,13.72,0.13,192576.49,3.11
850027.93,13.72,0.13,192506.48,3.11
849851.71,13.72,0.13,192087.09,3.1
