ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
1,2,0,6212,0
2,3,460,6212,460
3,4,680,6212,680
4,5,1150,6212,1150
4,5,1150,6212,1150
4,5,1470,6212,1470
5,6,2280,6212,2280
6,7,3090,6212,3090
6,7,3200,6212,3200
6,7,3680,6212,3680
7,8,4150,6212,4150
7,8,4620,6212,4620
8,9,5090,6212,5090
8,9,5560,6212,5560
8,9,6030,6212,6030
8,9,6510,6212,6510
8,9,6980,6212,6980
9,10,7570,6212,7570
9,10,7570,6212,7570
10,11,8030,6212,8030
10,11,8350,6212,8350
11,12,8670,6212,8670
12,14,9140,6212,9140
12,14,10140,6212,10140
13,15,10950,6212,10950
14,16,11760,6212,11760
15,17,12570,6212,12570
16,18,13380,6212,13380
16,18,13850,6212,13850
17,19,14330,6212,14330
18,20,14800,6212,14800
19,21,15610,6212,15610
19,21,15610,6212,15610
20,22,16420,6212,16420
21,24,17420,6212,17420
21,24,17880,6212,17880
22,25,18690,6212,18690
22,25,19280,6212,19280
23,33,19280,6212,19280
24,34,20090,6212,20090
25,36,20740,6212,20740
25,36,21550,6212,21550
26,37,22360,6212,22360
26,37,22830,6212,22830
27,39,23300,6212,23300
27,39,24110,6212,24110
28,40,24920,6212,24920
29,41,25470,6212,25470
29,41,25700,6212,25700
29,41,26170,6212,26170
30,42,26980,6212,26980
31,44,27450,6212,27450
31,44,28450,6212,28450
31,44,28450,6212,28450
31,44,28450,6212,28450
31,44,28450,6212,28450
32,46,28910,6212,28910
32,46,29910,6212,29910
32,46,30380,6212,30380
33,48,30850,6212,30850
33,48,30850,6212,30850
