ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
851773.23,13.71,0.12,197326.28,3.18
851958.89,13.72,0.13,197297.8,3.18
851907.57,13.72,0.12,197542.42,3.18
852087.28,13.72,0.13,197709.73,3.18
852087.28,13.72,0.13,197570.33,3.18
851817.03,13.72,0.12,197505.89,3.18
851640.81,13.71,0.12,197086.5,3.17
851464.59,13.71,0.12,196934.09,3.17
851357.23,13.71,0.12,196826.73,3.17
851091.62,13.71,0.12,196550.52,3.17
851271.32,13.71,0.12,196550.49,3.17
851015.71,13.71,0.12,196550.1,3.17
851195.42,13.71,0.12,196550.1,3.17
850939.8,13.71,0.12,196692.47,3.17
851119.51,13.71,0.12,196653.56,3.17
850853.9,13.71,0.12,196550.1,3.17
851033.6,13.72,0.12,197530.48,3.18
851024.94,13.72,0.13,197562.14,3.18
851024.94,13.72,0.13,197562.14,3.18
850779.32,13.71,0.12,197154.24,3.18
850514.41,13.71,0.12,196872.81,3.17
850710.98,13.71,0.12,196477.72,3.17
850890.68,13.72,0.13,196468.85,3.17
850527.11,13.71,0.12,195862.11,3.16
850350.89,13.71,0.12,195442.72,3.15
850174.67,13.71,0.12,195023.32,3.15
849998.45,13.71,0.12,194603.93,3.14
849822.23,13.71,0.12,194184.54,3.13
849566.62,13.71,0.12,194046.1,3.13
849452.7,13.71,0.12,195825.75,3.16
849632.41,13.71,0.12,196205.68,3.17
849456.19,13.71,0.12,195786.29,3.16
849456.19,13.71,0.12,195786.29,3.16
849279.97,13.71,0.12,195366.9,3.15
849144.06,13.71,0.12,195368.1,3.15
848898.45,13.7,0.11,195118.18,3.15
848722.23,13.7,0.11,194698.79,3.14
848713.56,13.71,0.11,194446.95,3.14
848713.56,13.71,0.11,194446.95,3.14
848539.99,13.7,0.11,194030.2,3.13
848699.67,13.71,0.12,194031.37,3.13
