name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0252,,T4,104,2,549755813888,15109,10,2192,549755813888,0,0,50,755,0,0,0,0,0,0,0,0,0,0,0,0,50,755
0001-openb-node-0261,,G2,96,8,412316860416,20000,14,972,412316860416,60,1200,60,1200,50,1000,70,1400,200,4000,70,1400,450,9000,190,3800,1150,23000
0002-openb-node-1175,,T4,104,2,549755813888,15109,8,1684,549755813888,10,151,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,80,1208
0003-openb-node-0857,,G2,96,8,412316860416,20000,14,950,412316860416,0,0,120,2400,60,1200,60,1200,30,600,30,600,190,3800,220,4400,710,14200
0004-openb-node-0094,,G2,96,8,412316860416,20000,10,980,412316860416,60,1200,0,0,190,3800,90,1800,530,10600,1000,20000,1000,20000,1000,20000,3870,77400
0005-openb-node-0639,,T4,104,2,549755813888,15109,7,692,549755813888,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1057
0006-openb-node-0010,,P100,64,2,274877906944,16280,5,376,274877906944,60,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,976
0007-openb-node-0860,,G2,96,8,412316860416,20000,15,1436,412316860416,60,1200,30,600,70,1400,0,0,80,1600,50,1000,70,1400,0,0,360,7200
0008-openb-node-1136,,G2,96,8,412316860416,20000,7,276,412316860416,30,600,60,1200,350,7000,0,0,1000,20000,1000,20000,1000,20000,1000,20000,4440,88800
0009-openb-node-0499,,G2,96,8,412316860416,20000,9,672,412316860416,60,1200,160,3200,0,0,190,3800,0,0,350,7000,1000,20000,1000,20000,2760,55200
0010-openb-node-1133,,G2,96,8,412316860416,20000,17,228,412316860416,80,1600,30,600,0,0,30,600,50,1000,50,1000,190,3800,60,1200,490,9800
0011-openb-node-0648,,T4,104,2,549755813888,15109,9,3540,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0012-openb-node-0869,,P100,16,2,128849018880,16280,4,1696,128849018880,30,488,30,488,0,0,0,0,0,0,0,0,0,0,0,0,60,976
0013-openb-node-0315,,T4,104,2,549755813888,15109,7,2400,549755813888,0,0,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,70,1057
0014-openb-node-0736,,G2,96,8,412316860416,20000,16,608,412316860416,60,1200,130,2600,30,600,30,600,60,1200,30,600,30,600,190,3800,560,11200
0015-openb-node-0863,,G2,96,8,412316860416,20000,14,1316,412316860416,0,0,30,600,0,0,30,600,50,1000,30,600,190,3800,60,1200,390,7800
0016-openb-node-0737,,G2,96,8,412316860416,20000,12,1468,412316860416,120,2400,60,1200,30,600,0,0,30,600,190,3800,190,3800,190,3800,810,16200
0017-openb-node-0867,,V100M32,96,8,824633720832,32510,11,1984,824633720832,0,0,70,2275,0,0,0,0,30,975,80,2600,190,6176,190,6176,560,18202
0018-openb-node-0790,,G2,96,8,412316860416,20000,14,1972,412316860416,210,4200,60,1200,30,600,60,1200,30,600,190,3800,70,1400,190,3800,840,16800
0019-openb-node-1199,,T4,104,2,549755813888,15109,8,2940,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0020-openb-node-0841,,G2,96,8,412316860416,20000,14,3428,412316860416,90,1800,0,0,30,600,80,1600,30,600,190,3800,0,0,90,1800,510,10200
0021-openb-node-0382,,G2,96,8,412316860416,20000,14,2760,412316860416,130,2600,30,600,30,600,70,1400,190,3800,0,0,60,1200,130,2600,640,12800
0022-openb-node-0515,,G2,96,8,412316860416,20000,15,1912,412316860416,60,1200,130,2600,190,3800,130,2600,190,3800,30,600,70,1400,30,600,830,16600
0023-openb-node-1004,,G2,96,8,412316860416,20000,13,376,412316860416,190,3800,190,3800,190,3800,60,1200,0,0,190,3800,70,1400,220,4400,1110,22200
0024-openb-node-0338,,G2,96,8,412316860416,20000,10,796,412316860416,130,2600,190,3800,190,3800,450,9000,1000,20000,1000,20000,1000,20000,1000,20000,4960,99200
0025-openb-node-0921,,V100M16,32,4,137438953472,16160,5,2636,137438953472,60,969,190,3070,190,3070,190,3070,0,0,0,0,0,0,0,0,630,10179
0026-openb-node-0000,,P100,64,2,274877906944,16280,5,4384,274877906944,0,0,30,488,0,0,0,0,0,0,0,0,0,0,0,0,30,488
0027-openb-node-1035,,G2,96,8,412316860416,20000,14,516,412316860416,0,0,0,0,30,600,60,1200,190,3800,190,3800,0,0,0,0,470,9400
0028-openb-node-0217,,G2,96,8,412316860416,20000,15,2668,412316860416,160,3200,70,1400,190,3800,190,3800,60,1200,190,3800,140,2800,130,2600,1130,22600
0029-openb-node-0800,,T4,104,2,549755813888,15109,13,48,549755813888,50,755,90,1359,0,0,0,0,0,0,0,0,0,0,0,0,140,2114
0030-openb-node-0307,,G3,128,8,824633720832,30000,16,524,824633720832,30,900,50,1500,190,5700,190,5700,190,5700,30,900,210,6300,190,5700,1080,32400
0031-openb-node-0012,,P100,64,2,274877906944,16280,6,2940,274877906944,30,488,30,488,0,0,0,0,0,0,0,0,0,0,0,0,60,976
0032-openb-node-0469,,G2,96,8,412316860416,20000,12,8676,412316860416,30,600,190,3800,120,2400,190,3800,0,0,190,3800,190,3800,70,1400,980,19600
0033-openb-node-0186,,G2,96,8,412316860416,20000,14,1724,412316860416,60,1200,30,600,190,3800,190,3800,190,3800,70,1400,190,3800,0,0,920,18400
0034-openb-node-0235,,T4,104,2,549755813888,15109,8,92,549755813888,30,453,50,755,0,0,0,0,0,0,0,0,0,0,0,0,80,1208
0035-openb-node-0717,,T4,104,2,549755813888,15109,8,2940,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0036-openb-node-0348,,T4,104,2,549755813888,15109,10,940,549755813888,30,453,20,302,0,0,0,0,0,0,0,0,0,0,0,0,50,755
0037-openb-node-0767,,V100M16,8,1,34359738368,16160,2,848,34359738368,80,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1292
0038-openb-node-0285,,G2,96,8,412316860416,20000,15,272,412316860416,0,0,80,1600,30,600,30,600,60,1200,190,3800,190,3800,210,4200,790,15800
0039-openb-node-0327,,G2,96,8,412316860416,20000,15,1668,412316860416,80,1600,30,600,30,600,30,600,30,600,30,600,190,3800,60,1200,480,9600
0040-openb-node-1047,,G2,96,8,412316860416,20000,15,432,412316860416,80,1600,120,2400,70,1400,30,600,190,3800,0,0,70,1400,80,1600,640,12800
0041-openb-node-0099,,V100M16,32,4,137438953472,16160,6,2544,137438953472,60,969,190,3070,190,3070,90,1454,0,0,0,0,0,0,0,0,530,8563
0042-openb-node-0445,,G2,96,8,412316860416,20000,14,2462,412316860416,0,0,30,600,80,1600,30,600,190,3800,190,3800,160,3200,190,3800,870,17400
0043-openb-node-0844,,G2,96,8,412316860416,20000,15,2924,412316860416,30,600,190,3800,120,2400,130,2600,60,1200,190,3800,190,3800,30,600,940,18800
0044-openb-node-0477,,G2,96,8,412316860416,20000,12,2940,412316860416,0,0,0,0,30,600,30,600,50,1000,190,3800,190,3800,190,3800,680,13600
0045-openb-node-0871,,T4,104,2,549755813888,15109,8,348,549755813888,50,755,30,453,0,0,0,0,0,0,0,0,0,0,0,0,80,1208
0046-openb-node-0512,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0047-openb-node-1130,,T4,96,4,412316860416,15109,10,2388,412316860416,80,1208,30,453,30,453,190,2870,0,0,0,0,0,0,0,0,330,4984
0048-openb-node-0224,,V100M16,32,4,137438953472,16160,6,244,137438953472,0,0,80,1292,130,2100,190,3070,0,0,0,0,0,0,0,0,400,6462
0049-openb-node-0158,,G2,96,8,412316860416,20000,13,2932,412316860416,60,1200,0,0,30,600,190,3800,130,2600,190,3800,190,3800,70,1400,860,17200
0050-openb-node-0602,,T4,104,2,549755813888,15109,6,392,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0051-openb-node-0734,,G2,96,8,412316860416,20000,13,3076,412316860416,120,2400,30,600,0,0,40,800,0,0,190,3800,60,1200,70,1400,510,10200
0052-openb-node-0176,,G2,96,8,412316860416,20000,11,1932,412316860416,30,600,210,4200,0,0,190,3800,190,3800,0,0,190,3800,190,3800,1000,20000
0053-openb-node-0263,,P100,16,2,128849018880,16280,2,1448,128849018880,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0054-openb-node-0189,,G2,96,8,412316860416,20000,16,772,412316860416,40,800,60,1200,90,1800,80,1600,90,1800,80,1600,190,3800,190,3800,820,16400
0055-openb-node-0276,,G2,96,8,412316860416,20000,13,1324,412316860416,80,1600,190,3800,30,600,50,1000,0,0,0,0,190,3800,190,3800,730,14600
0056-openb-node-0434,,G2,96,8,412316860416,20000,14,820,412316860416,30,600,30,600,190,3800,30,600,130,2600,190,3800,60,1200,60,1200,720,14400
0057-openb-node-0457,,T4,104,2,549755813888,15109,8,2348,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0058-openb-node-0777,,T4,104,2,549755813888,15109,8,1196,549755813888,90,1359,30,453,0,0,0,0,0,0,0,0,0,0,0,0,120,1812
0059-openb-node-0420,,T4,104,2,549755813888,15109,8,2848,549755813888,90,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0060-openb-node-0352,,G2,96,8,412316860416,20000,15,468,412316860416,30,600,60,1200,0,0,30,600,30,600,130,2600,30,600,30,600,340,6800
0061-openb-node-0637,,T4,104,2,549755813888,15109,7,2940,549755813888,60,906,30,453,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0062-openb-node-0771,,G2,96,8,412316860416,20000,14,2640,412316860416,30,600,90,1800,60,1200,0,0,0,0,80,1600,190,3800,190,3800,640,12800
0063-openb-node-0500,,G2,96,8,412316860416,20000,15,3364,412316860416,10,200,80,1600,70,1400,30,600,80,1600,60,1200,190,3800,190,3800,710,14200
0064-openb-node-0153,,G2,96,8,412316860416,20000,14,864,412316860416,80,1600,30,600,30,600,190,3800,30,600,0,0,60,1200,190,3800,610,12200
0065-openb-node-0641,,T4,104,2,549755813888,15109,8,696,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0066-openb-node-0835,,G3,128,8,824633720832,30000,15,272,824633720832,30,900,30,900,60,1800,190,5700,60,1800,190,5700,190,5700,190,5700,940,28200
0067-openb-node-0141,,G2,96,8,412316860416,20000,13,912,412316860416,190,3800,190,3800,190,3800,60,1200,60,1200,120,2400,60,1200,60,1200,930,18600
0068-openb-node-1082,,T4,104,2,549755813888,15109,10,2040,549755813888,80,1208,10,151,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0069-openb-node-0856,,G2,96,8,412316860416,20000,13,118,412316860416,0,0,20,400,130,2600,80,1600,190,3800,190,3800,60,1200,0,0,670,13400
0070-openb-node-0159,,G2,96,8,412316860416,20000,14,2968,412316860416,90,1800,50,1000,0,0,130,2600,0,0,60,1200,30,600,90,1800,450,9000
0071-openb-node-0203,,T4,104,2,549755813888,15109,7,440,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0072-openb-node-0336,,G3,128,8,824633720832,30000,17,332,824633720832,70,2100,130,3900,90,2700,0,0,30,900,30,900,130,3900,190,5700,670,20100
0073-openb-node-0018,,P100,64,2,274877906944,16280,5,4348,274877906944,30,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,488
0074-openb-node-0660,,G2,96,8,412316860416,20000,3,7000,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0075-openb-node-0770,,G2,96,8,412316860416,20000,14,3776,412316860416,30,600,60,1200,90,1800,190,3800,0,0,190,3800,30,600,30,600,620,12400
0076-openb-node-1026,,T4,104,2,549755813888,15109,7,3440,549755813888,30,453,140,2115,0,0,0,0,0,0,0,0,0,0,0,0,170,2568
0077-openb-node-1121,,T4,104,2,549755813888,15109,8,440,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0078-openb-node-0041,,G2,96,8,412316860416,20000,14,1464,412316860416,60,1200,30,600,30,600,120,2400,190,3800,190,3800,190,3800,190,3800,1000,20000
0079-openb-node-0086,,G2,96,8,412316860416,20000,11,2980,412316860416,190,3800,30,600,70,1400,0,0,0,0,190,3800,30,600,0,0,510,10200
0080-openb-node-0283,,P100,16,2,128849018880,16280,3,3696,128849018880,30,488,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,220,3581
0081-openb-node-0121,,T4,104,2,549755813888,15109,9,2140,549755813888,10,151,30,453,0,0,0,0,0,0,0,0,0,0,0,0,40,604
0082-openb-node-0740,,G2,96,8,412316860416,20000,13,1528,412316860416,30,600,60,1200,30,600,0,0,190,3800,190,3800,190,3800,190,3800,880,17600
0083-openb-node-0761,,T4,104,2,549755813888,15109,7,2288,549755813888,50,755,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,240,3625
0084-openb-node-0969,,G3,128,8,824633720832,30000,16,2248,824633720832,30,900,60,1800,50,1500,30,900,30,900,60,1800,30,900,60,1800,350,10500
0085-openb-node-1014,,T4,104,2,549755813888,15109,8,1790,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0086-openb-node-1120,,T4,104,2,549755813888,15109,10,2048,549755813888,30,453,60,906,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
