ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
1,2,0,6212,0
1,2,460,6212,460
1,2,680,6212,680
1,2,1150,6212,1150
1,2,1150,6212,1150
1,2,1470,6212,1470
2,3,2280,6212,2280
3,4,3090,6212,3090
3,4,3200,6212,3200
3,4,3680,6212,3680
4,12,4150,6212,4150
4,12,4620,6212,4620
4,12,5090,6212,5090
4,12,5560,6212,5560
4,12,6030,6212,6030
4,12,6510,6212,6510
4,12,6980,6212,6980
5,13,7570,6212,7570
5,13,7570,6212,7570
5,13,8030,6212,8030
5,13,8350,6212,8350
6,15,8670,6212,8670
7,17,9140,6212,9140
8,18,10140,6212,10140
9,19,10950,6212,10950
10,20,11760,6212,11760
11,21,12570,6212,12570
12,22,13380,6212,13380
12,22,13850,6212,13850
13,23,14330,6212,14330
13,23,14800,6212,14800
14,24,15610,6212,15610
14,24,15610,6212,15610
15,25,16420,6212,16420
16,33,17420,6212,17420
16,33,17880,6212,17880
17,34,18690,6212,18690
17,34,19280,6212,19280
17,34,19280,6212,19280
17,34,20090,6212,20090
17,34,20740,6212,20740
18,35,21550,6212,21550
19,36,22360,6212,22360
19,36,22830,6212,22830
19,36,23300,6212,23300
20,37,24110,6212,24110
21,38,24920,6212,24920
22,39,25470,6212,25470
22,39,25700,6212,25700
22,39,26170,6212,26170
23,40,26980,6212,26980
23,40,27450,6212,27450
24,41,28450,6212,28450
24,41,28450,6212,28450
24,41,28450,6212,28450
24,41,28450,6212,28450
24,41,28910,6212,28910
25,42,29910,6212,29910
26,50,30380,6212,30380
26,50,30850,6212,30850
26,50,30850,6212,30850
26,50,30850,6212,30850
26,50,31850,6212,31850
27,52,31850,6212,31850
28,53,32660,6212,32660
29,54,33470,6212,33470
29,54,33940,6212,33940
30,56,34750,6212,34750
30,56,35210,6212,35210
30,56,36020,6212,36020
31,58,36830,6212,36830
31,58,37830,6212,37830
32,60,38300,6212,38300
32,60,39110,6212,39110
32,60,39920,6212,39920
32,60,40730,6212,40730
32,60,41280,6212,41280
32,60,41510,6212,41510
32,60,42510,6212,42510
32,60,42980,6212,42980
32,60,43790,6212,43790
32,60,44260,6212,44260
32,60,44260,6212,44260
33,68,44730,6212,44730
33,68,44730,6212,44730
33,68,45540,6212,45540
33,68,46010,6212,46010
33,68,47010,6212,47010
33,68,47330,6212,47330
33,68,48140,6212,48140
33,68,48370,6212,48370
33,68,49180,6212,49180
33,68,49640,6212,49640
33,68,50640,6212,50640
34,76,50640,6212,50640
34,76,51290,6212,51290
34,76,51760,6212,51760
34,76,51760,6212,51760
34,76,52230,6212,52230
35,84,52880,6212,52880
35,84,53350,6212,53350
35,84,53350,6212,53350
35,84,53820,6212,53820
35,84,53820,6212,53820
35,84,53980,6212,53980
35,84,54450,6212,54450
36,92,54920,6212,54920
36,92,55920,6212,55920
36,92,56470,6212,56470
36,92,57280,6212,57280
36,92,57650,6212,57650
36,92,58650,6212,58650
36,92,58970,6212,58970
36,92,59780,6212,59780
36,92,60590,6212,60590
36,92,61400,6212,61400
36,92,62210,6212,62210
36,92,62800,6212,62800
36,92,63270,6212,63270
36,92,63590,6212,63590
36,92,64240,6212,64240
36,92,65240,6212,65240
36,92,65400,6212,65400
36,92,66400,6212,66400
36,92,66720,6212,66720
36,92,66720,6212,66720
37,94,67190,6212,67190
37,94,67560,6212,67560
37,94,68370,6212,68370
37,94,68830,6212,68830
38,96,69380,6212,69380
38,96,69930,6212,69930
38,96,70740,6212,70740
39,104,71390,6212,71390
39,104,71860,6212,71860
39,104,72090,6212,72090
39,104,72900,6212,72900
39,104,73130,6212,73130
39,104,73130,6212,73130
39,104,73130,6212,73130
39,104,73940,6212,73940
39,104,74260,6212,74260
39,104,74730,6212,74730
39,104,75540,6212,75540
39,104,75700,6212,75700
39,104,75700,6212,75700
39,104,76170,6212,76170
39,104,76280,6212,76280
39,104,76930,6212,76930
39,104,76930,6212,76930
39,104,77740,6212,77740
40,112,78740,6212,78740
40,112,79550,6212,79550
40,112,79710,6212,79710
40,112,79710,6212,79710
40,112,79710,6212,79710
40,112,79710,6212,79710
40,112,80710,6212,80710
40,112,81520,6212,81520
40,112,81840,6212,81840
40,112,82650,6212,82650
40,112,82650,6212,82650
40,112,83300,6212,83300
40,112,83460,6212,83460
40,112,83460,6212,83460
40,112,84270,6212,84270
40,112,84740,6212,84740
40,112,85390,6212,85390
40,112,85860,6212,85860
40,112,86330,6212,86330
40,112,86650,6212,86650
41,120,87120,6212,87120
41,120,87770,6212,87770
41,120,88770,6212,88770
41,120,88770,6212,88770
41,120,89580,6212,89580
41,120,89740,6212,89740
41,120,90740,6212,90740
41,120,91060,6212,91060
41,120,91290,6212,91290
42,128,91760,6212,91760
42,128,92760,6212,92760
42,128,93760,6212,93760
42,128,94220,6212,94220
42,128,95030,6212,95030
42,128,95500,6212,95500
42,128,96310,6212,96310
42,128,96630,6212,96630
42,128,97440,6212,97440
43,136,97910,6212,97910
43,136,98230,6212,98230
43,136,98880,6212,98880
43,136,99350,6212,99350
43,136,99510,6212,99510
43,136,99980,6212,99980
43,136,100140,6212,100140
43,136,100950,6212,100950
43,136,100950,6212,100950
43,136,101420,6212,101420
43,136,102230,6212,102230
43,136,103040,6212,103040
43,136,103690,6212,103690
43,136,103690,6212,103690
43,136,104500,6212,104500
43,136,105310,6212,105310
44,138,105780,6212,105780
44,138,106590,6212,106590
44,138,107050,6212,107050
44,138,107860,6212,107860
45,146,108510,6212,108510
45,146,108830,6212,108830
45,146,109300,6212,109300
45,146,110300,6212,110300
45,146,110300,6212,110300
45,146,110520,6212,110520
45,146,110520,6212,110520
45,146,111170,6212,111170
45,146,111630,6212,111630
45,146,112280,6212,112280
45,146,112500,6212,112500
45,146,112820,6212,112820
45,146,113630,6212,113630
46,154,114630,6212,114630
46,154,115280,6212,115280
46,154,115500,6212,115500
46,154,115960,6212,115960
46,154,116550,6212,116550
46,154,117360,6212,117360
46,154,118170,6212,118170
46,154,118490,6212,118490
46,154,118810,6212,118810
46,154,119280,6212,119280
46,154,119740,6212,119740
46,154,119740,6212,119740
46,154,120550,6212,120550
46,154,121550,6212,121550
46,154,122020,6212,122020
46,154,122490,6212,122490
46,154,122810,6212,122810
47,162,123280,6212,123280
47,162,123750,6212,123750
47,162,124300,6212,124300
47,162,124620,6212,124620
47,162,125170,6212,125170
47,162,125980,6212,125980
47,162,126300,6212,126300
47,162,126530,6212,126530
47,162,126530,6212,126530
47,162,127340,6212,127340
47,162,127340,6212,127340
47,162,127340,6212,127340
47,162,127660,6212,127660
47,162,128310,6212,128310
47,162,128770,6212,128770
47,162,129420,6212,129420
47,162,130230,6212,130230
47,162,130700,6212,130700
48,170,131170,6212,131170
48,170,131720,6212,131720
48,170,132040,6212,132040
48,170,132850,6212,132850
48,170,133660,6212,133660
48,170,134010,6212,134010
48,170,134010,6212,134010
48,170,134470,6212,134470
48,170,134940,6212,134940
48,170,135940,6212,135940
48,170,136410,6212,136410
48,170,136730,6212,136730
48,170,136960,6212,136960
48,170,137770,6212,137770
49,178,138230,6212,138230
49,178,138230,6212,138230
49,178,138230,6212,138230
50,180,139230,6212,139230
50,180,139700,6212,139700
50,180,140250,6212,140250
50,180,140250,6212,140250
50,180,140720,6212,140720
50,180,141040,6212,141040
50,180,141270,6212,141270
51,188,141920,6212,141920
51,188,142390,6212,142390
51,188,143200,6212,143200
51,188,143200,6212,143200
51,188,144200,6212,144200
51,188,144520,6212,144520
51,188,145330,6212,145330
52,192,146140,6212,146140
52,192,146510,6212,146510
52,192,146980,6212,146980
52,192,147790,6212,147790
52,192,148260,6212,148260
52,192,148580,6212,148580
52,192,149390,6212,149390
52,192,149860,6212,149860
52,192,150670,6212,150670
52,192,151670,6212,151670
52,192,152670,6212,152670
52,192,153040,6212,153040
53,200,153510,6212,153510
53,200,153740,6212,153740
53,200,154550,6212,154550
53,200,155360,6212,155360
53,200,155360,6212,155360
53,200,155360,6212,155360
53,200,155830,6212,155830
53,200,156300,6212,156300
53,200,156770,6212,156770
53,200,157000,6212,157000
53,200,157810,6212,157810
53,200,158130,6212,158130
54,202,158130,6212,158130
54,202,158350,6212,158350
54,202,158350,6212,158350
54,202,158670,6212,158670
54,202,158890,6212,158890
54,202,159540,6212,159540
54,202,160010,6212,160010
54,202,160330,6212,160330
54,202,160700,6212,160700
54,202,160700,6212,160700
54,202,160700,6212,160700
55,204,161020,6212,161020
55,204,161830,6212,161830
55,204,162150,6212,162150
55,204,162470,6212,162470
56,206,163280,6212,163280
56,206,164090,6212,164090
57,208,164900,6212,164900
57,208,165120,6212,165120
57,208,165120,6212,165120
58,216,165590,6212,165590
58,216,165590,6212,165590
58,216,166240,6212,166240
58,216,166710,6212,166710
58,216,167520,6212,167520
58,216,167840,6212,167840
58,216,168490,6212,168490
58,216,168490,6212,168490
58,216,168490,6212,168490
58,216,169300,6212,169300
58,216,169620,6212,169620
58,216,170270,6212,170270
58,216,170590,6212,170590
58,216,171400,6212,171400
58,216,172050,6212,172050
58,216,172860,6212,172860
58,216,173090,6212,173090
59,218,174090,6212,174090
59,218,174410,6212,174410
60,222,175220,6212,175220
60,222,176030,6212,176030
60,222,176030,6212,176030
60,222,176490,6212,176490
61,230,176960,6212,176960
61,230,177430,6212,177430
61,230,177430,6212,177430
61,230,178240,6212,178240
61,230,179050,6212,179050
61,230,179860,6212,179860
61,230,180670,6212,180670
