ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
851773.23,13.71,0.12,197326.28,3.18
989792.63,15.93,0.15,233035.77,3.75
990037.05,15.94,0.15,233194.35,3.75
989934.95,15.94,0.15,233183.43,3.75
989934.95,15.94,0.15,232860.79,3.75
990127.79,15.94,0.15,233519.51,3.76
989907.26,15.94,0.15,233089.86,3.75
989686.74,15.94,0.15,232660.21,3.75
989586.53,15.94,0.15,232584.73,3.75
989435.79,15.94,0.15,232401.49,3.74
989590.32,15.94,0.15,232401.86,3.74
989337.89,15.94,0.15,232400.42,3.74
989457.37,15.94,0.15,232310.77,3.74
989611.89,15.94,0.16,232310.77,3.74
989359.47,15.94,0.15,232310.77,3.74
989419.68,15.94,0.15,232161.85,3.74
989574.21,15.95,0.16,232921.18,3.75
989547.79,15.95,0.16,232685.64,3.75
989547.79,15.95,0.16,232685.64,3.75
989305.37,15.95,0.16,232383.46,3.75
988985.37,15.94,0.15,232063.46,3.74
988691.26,15.94,0.15,231769.35,3.74
988845.79,15.94,0.15,231819.75,3.74
988435.26,15.94,0.15,231200.1,3.73
988214.74,15.94,0.15,230770.45,3.72
987994.21,15.93,0.15,230340.8,3.72
987773.68,15.93,0.14,229911.15,3.71
987553.16,15.93,0.14,229481.5,3.7
987342.84,15.93,0.14,229688.62,3.71
987403.05,15.93,0.14,229539.7,3.7
987522.53,15.93,0.15,229450.05,3.7
987302.0,15.93,0.14,229020.4,3.7
987302.0,15.93,0.14,229020.4,3.7
987081.47,15.93,0.14,228590.75,3.69
986923.58,15.93,0.14,228415.92,3.69
987053.05,15.94,0.15,228336.27,3.69
986832.53,15.93,0.14,227906.62,3.68
986806.11,15.93,0.15,227671.07,3.68
986806.11,15.93,0.15,227671.07,3.68
986585.58,15.93,0.14,227241.42,3.67
986755.58,15.94,0.15,227562.01,3.68
986535.05,15.94,0.15,227132.36,3.67
986314.53,15.93,0.15,226702.71,3.66
986434.0,15.94,0.15,226613.06,3.66
986588.53,15.94,0.15,226613.43,3.66
986525.89,15.94,0.15,225949.05,3.65
986147.47,15.94,0.15,225652.63,3.65
986411.16,15.94,0.16,225651.19,3.65
986203.26,15.94,0.15,225450.6,3.64
985950.84,15.94,0.15,225450.6,3.64
985888.21,15.94,0.15,224786.22,3.63
986042.74,15.94,0.15,225058.25,3.64
985474.32,15.94,0.15,224571.83,3.63
985474.32,15.94,0.15,224571.83,3.63
985474.32,15.94,0.15,224571.83,3.63
985474.32,15.94,0.15,224571.83,3.63
985231.89,15.93,0.14,224404.89,3.63
985074.0,15.93,0.14,224299.8,3.63
985228.53,15.94,0.15,225293.19,3.64
984976.11,15.94,0.15,225210.51,3.64
984976.11,15.94,0.15,225210.51,3.64
984976.11,15.94,0.15,225209.44,3.64
984839.26,15.94,0.15,224521.04,3.63
984839.26,15.94,0.15,224521.04,3.63
984871.37,15.94,0.15,225560.02,3.65
984882.42,15.94,0.15,225301.36,3.65
985036.95,15.94,0.15,225301.36,3.65
985069.05,15.95,0.16,225816.3,3.66
984826.63,15.94,0.15,225599.76,3.65
984858.74,15.95,0.16,225490.22,3.65
984890.84,15.95,0.16,225359.9,3.65
984732.95,15.95,0.16,227122.95,3.68
984887.47,15.95,0.16,227138.97,3.68
984919.58,15.96,0.17,226709.36,3.67
984951.68,15.96,0.17,226493.26,3.67
984983.79,15.96,0.17,226527.38,3.67
985247.47,15.97,0.18,226759.47,3.67
985045.89,15.96,0.17,226546.84,3.67
984888.0,15.96,0.17,226361.52,3.67
984635.58,15.96,0.17,226417.26,3.67
984667.68,15.96,0.17,226607.26,3.67
984822.21,15.97,0.18,226606.75,3.67
984822.21,15.97,0.18,226525.33,3.67
984569.79,15.96,0.17,226524.76,3.67
984569.79,15.96,0.17,226524.76,3.67
984601.89,15.97,0.18,226524.76,3.67
984756.42,15.97,0.18,226524.76,3.67
984598.53,15.97,0.18,226751.3,3.68
984306.95,15.97,0.18,226544.04,3.67
984339.05,15.97,0.18,226459.69,3.67
984317.16,15.97,0.18,226330.76,3.67
984349.26,15.97,0.18,226317.5,3.67
984509.68,15.98,0.19,227424.38,3.69
984351.79,15.98,0.19,227243.18,3.69
984351.79,15.98,0.19,227243.18,3.69
984521.79,15.98,0.19,227242.1,3.69
984273.47,15.98,0.19,227200.64,3.69
984273.47,15.98,0.19,227200.64,3.69
984428.0,15.98,0.19,227200.64,3.69
984598.0,15.99,0.2,227372.58,3.69
984345.58,15.98,0.19,227304.09,3.69
856760.84,13.91,0.23,202071.81,3.28
856930.84,13.92,0.23,202120.43,3.28
856930.84,13.92,0.23,202120.33,3.28
856800.32,13.91,0.23,201972.12,3.28
856553.47,13.91,0.23,202043.74,3.28
856723.47,13.91,0.23,202043.74,3.28
856586.63,13.91,0.23,202542.28,3.29
856805.05,13.92,0.24,202373.83,3.29
856844.21,13.92,0.24,202207.44,3.29
856560.53,13.92,0.23,201892.07,3.28
856423.68,13.92,0.23,201777.17,3.28
856233.16,13.92,0.23,204414.59,3.32
856272.32,13.92,0.23,204309.87,3.32
856311.47,13.92,0.24,204309.77,3.32
856350.63,13.92,0.24,204309.77,3.32
856389.79,13.93,0.24,204309.77,3.32
856576.63,13.93,0.25,204332.7,3.32
856456.11,13.93,0.24,206642.8,3.36
856222.42,13.93,0.24,206619.88,3.36
856369.26,13.93,0.25,206619.88,3.36
856190.32,13.93,0.24,205352.09,3.34
856044.32,13.93,0.24,205205.1,3.34
855907.47,13.93,0.24,205732.96,3.35
855653.79,13.92,0.24,205389.71,3.34
855653.79,13.92,0.24,205389.71,3.34
855823.79,13.93,0.24,205356.44,3.34
855611.68,13.92,0.24,204650.03,3.33
855650.84,13.93,0.24,205122.06,3.34
855414.0,13.92,0.24,205425.74,3.34
855632.42,13.93,0.25,205516.92,3.35
855850.84,13.93,0.25,206081.03,3.36
855890.0,13.94,0.25,205651.24,3.35
856036.84,13.94,0.26,205750.55,3.35
856206.84,13.94,0.26,205908.69,3.35
856008.42,13.94,0.26,205685.82,3.35
856005.47,13.94,0.26,205443.7,3.35
855841.79,13.94,0.26,205489.01,3.35
855841.79,13.94,0.26,205433.44,3.35
855841.79,13.94,0.26,205433.44,3.35
855880.95,13.94,0.26,205433.33,3.35
855655.68,13.94,0.26,205122.12,3.34
855408.84,13.94,0.25,204867.76,3.34
855448.0,13.94,0.26,204867.76,3.34
855302.0,13.94,0.25,204677.91,3.34
855302.0,13.94,0.25,204744.65,3.34
855472.0,13.94,0.26,204744.65,3.34
855362.0,13.94,0.26,204634.65,3.34
855508.84,13.94,0.26,204634.65,3.34
855508.84,13.94,0.26,204537.5,3.33
