ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ac30-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ac30-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ac30-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ac30-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ac30-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
1179977.54,19.0,0.41,218646.21,3.52
1179998.47,19.0,0.41,218743.53,3.52
1179838.93,19.0,0.41,218725.61,3.52
1179673.7,19.0,0.41,218711.96,3.52
1179506.67,19.0,0.41,218703.01,3.52
1179535.09,19.0,0.41,218713.65,3.52
1179808.26,19.01,0.42,218718.98,3.52
1179965.11,19.01,0.42,218756.59,3.52
1179986.04,19.02,0.43,218853.91,3.53
1180384.45,19.02,0.43,218905.75,3.53
1180402.8,19.03,0.44,218919.02,3.53
1180243.25,19.03,0.44,218922.28,3.53
1180505.24,19.03,0.44,219017.63,3.53
1180747.85,19.04,0.45,218477.52,3.52
1180747.85,19.04,0.45,218450.19,3.52
1180588.3,19.04,0.45,218436.54,3.52
1180858.39,19.04,0.46,218427.23,3.52
1181139.72,19.05,0.46,218425.13,3.52
1180514.06,19.04,0.45,217703.1,3.51
1180347.03,19.04,0.45,217694.16,3.51
1180380.07,19.04,0.45,217706.19,3.51
1180642.06,19.05,0.46,217801.53,3.51
1180642.06,19.05,0.46,217787.85,3.51
1180662.99,19.05,0.46,217885.17,3.52
1181044.18,19.06,0.47,217880.38,3.52
1181060.71,19.06,0.47,217873.78,3.52
1180862.44,19.06,0.47,217772.57,3.51
1180702.89,19.06,0.47,217775.83,3.52
1180731.31,19.06,0.47,217786.47,3.52
1180571.76,19.06,0.47,217785.58,3.52
1180985.14,19.07,0.48,217766.52,3.52
1180825.6,19.07,0.48,217769.79,3.52
1180825.6,19.07,0.48,217700.85,3.52
1181088.31,19.08,0.49,217422.73,3.51
1180928.76,19.08,0.49,217428.9,3.51
1180769.22,19.08,0.49,217435.08,3.51
1180609.67,19.08,0.49,217438.34,3.51
1180450.13,19.08,0.49,217441.6,3.51
1180290.58,19.08,0.49,217444.87,3.51
1180563.75,19.08,0.5,217450.25,3.52
1180596.8,19.08,0.5,217462.28,3.52
1180429.77,19.08,0.5,217385.14,3.51
1180429.77,19.08,0.5,217316.2,3.51
1180270.22,19.09,0.5,217315.3,3.51
1180635.31,19.09,0.5,217319.04,3.51
1180475.76,19.09,0.5,217309.54,3.51
1180475.76,19.09,0.5,217240.6,3.51
1180827.14,19.1,0.51,217165.91,3.51
1180660.1,19.1,0.51,217144.41,3.51
1180665.29,19.1,0.51,216705.27,3.51
1180665.29,19.1,0.51,216635.75,3.5
1180997.65,19.11,0.52,216560.86,3.5
1180830.62,19.11,0.52,216558.85,3.5
1180671.08,19.11,0.52,216555.02,3.51
1180511.53,19.11,0.52,216556.11,3.51
1180876.62,19.12,0.53,216559.85,3.51
1180709.59,19.12,0.53,216482.7,3.51
1180550.04,19.12,0.53,216478.87,3.51
1180357.45,19.12,0.53,216394.58,3.5
1180378.38,19.12,0.53,216491.91,3.51
1180531.09,19.13,0.54,216135.04,3.5
1180364.06,19.13,0.54,216113.54,3.5
1180693.38,19.13,0.54,216186.4,3.5
1180526.35,19.13,0.54,216109.25,3.5
1180366.8,19.13,0.54,216110.34,3.5
1180207.26,19.13,0.54,216113.6,3.5
1180047.71,19.13,0.54,216116.86,3.5
1180080.76,19.14,0.55,216128.89,3.5
1179913.72,19.14,0.55,216051.75,3.5
1179754.18,19.14,0.55,216057.93,3.5
1180027.35,19.14,0.55,216063.25,3.5
1180055.77,19.15,0.55,216073.89,3.51
1179896.22,19.15,0.56,216077.15,3.51
1179736.68,19.15,0.56,216059.23,3.51
1179757.61,19.15,0.56,216156.55,3.51
1179757.61,19.15,0.56,216146.97,3.51
1179598.06,19.15,0.56,216153.14,3.51
1179431.03,19.15,0.56,216080.46,3.51
1179451.96,19.15,0.56,216177.79,3.51
1178714.64,19.15,0.56,216178.55,3.51
1179857.54,19.17,0.58,217049.55,3.53
1179885.96,19.17,0.58,217060.19,3.53
1179902.48,19.18,0.58,217053.59,3.53
1179923.41,19.18,0.59,217150.92,3.53
1179756.38,19.18,0.59,217073.77,3.53
1179563.4,19.18,0.59,216295.06,3.52
1179596.45,19.18,0.59,216307.1,3.52
1179624.87,19.18,0.59,216317.74,3.52
1179422.21,19.18,0.59,216196.97,3.52
1179255.17,19.18,0.59,216119.65,3.52
1179095.63,19.18,0.59,216115.22,3.52
1179340.76,19.19,0.6,215923.42,3.51
1179500.0,19.19,0.6,215923.21,3.51
1179520.94,19.2,0.61,216020.54,3.52
1179351.32,19.2,0.61,216019.98,3.52
1179191.78,19.2,0.61,216016.15,3.52
1179453.77,19.2,0.61,216111.49,3.52
1179818.86,19.21,0.62,216115.23,3.52
1179818.86,19.21,0.62,216046.29,3.52
1179839.79,19.21,0.62,216143.61,3.52
1179860.72,19.22,0.62,216240.93,3.52
1180107.73,19.22,0.63,216165.3,3.52
1180128.66,19.23,0.63,216344.28,3.52
1180145.19,19.23,0.63,216337.68,3.52
1180145.19,19.23,0.63,216267.13,3.52
1179978.15,19.23,0.63,216189.99,3.52
1179811.12,19.23,0.63,216112.69,3.52
1179641.51,19.23,0.63,216121.87,3.52
1179636.88,19.23,0.64,216093.52,3.52
1179865.23,19.24,0.64,215839.14,3.52
1179554.57,19.23,0.64,216104.42,3.52
1179395.03,19.23,0.64,216100.59,3.52
1179235.48,19.23,0.64,216103.85,3.52
1179263.9,19.24,0.64,216114.49,3.53
1179096.87,19.24,0.64,216112.48,3.53
1178937.32,19.24,0.64,216130.71,3.53
1178767.32,19.24,0.64,215676.25,3.52
1179910.22,19.26,0.66,216547.26,3.53
1179910.22,19.26,0.66,216518.7,3.53
1179910.22,19.26,0.66,216491.36,3.53
1179926.74,19.26,0.66,216477.34,3.53
1179767.19,19.26,0.66,216483.52,3.53
1179600.16,19.26,0.66,216489.28,3.53
1179440.61,19.26,0.66,216495.46,3.54
1179461.55,19.26,0.67,216592.78,3.54
1179478.07,19.26,0.67,216577.01,3.54
1179478.07,19.26,0.67,216508.07,3.54
1179318.52,19.26,0.67,216511.34,3.54
1179335.05,19.26,0.67,216504.74,3.54
1180477.94,19.28,0.69,217375.75,3.55
1180477.94,19.28,0.69,217306.81,3.55
1180634.79,19.29,0.69,217344.42,3.55
1180655.73,19.29,0.69,217441.74,3.55
1180655.73,19.29,0.69,217372.8,3.55
1180463.14,19.29,0.69,217320.92,3.55
1180303.59,19.29,0.69,217320.02,3.55
1180912.95,19.3,0.71,217499.41,3.55
1180745.92,19.3,0.71,217497.4,3.56
1180578.89,19.3,0.71,217419.96,3.55
1180607.31,19.3,0.71,217403.76,3.55
1180852.44,19.31,0.72,217223.09,3.55
1180685.4,19.31,0.72,217145.95,3.55
1180701.93,19.31,0.72,217131.93,3.55
1180856.4,19.32,0.72,217274.75,3.55
1180689.37,19.32,0.72,217265.8,3.55
1180705.89,19.32,0.72,217259.2,3.55
1180862.74,19.32,0.73,217500.18,3.56
1181135.91,19.33,0.73,217505.51,3.56
1180968.88,19.33,0.73,217428.18,3.56
1180989.81,19.33,0.73,217525.51,3.56
1181018.23,19.33,0.74,217536.15,3.56
1180858.69,19.33,0.74,217533.03,3.56
1180854.06,19.34,0.74,217507.39,3.56
1180661.47,19.34,0.74,217571.82,3.56
1181421.15,19.35,0.75,217893.62,3.57
1181238.37,19.35,0.75,217263.75,3.56
1181078.83,19.35,0.76,217260.19,3.56
1181099.76,19.35,0.76,217357.51,3.56
1180940.21,19.36,0.76,217343.86,3.56
1181305.31,19.36,0.77,217347.59,3.56
1181560.56,19.37,0.77,217340.17,3.56
1181401.01,19.37,0.77,217343.44,3.56
1181241.47,19.37,0.77,217346.7,3.56
1181522.8,19.38,0.78,217344.6,3.56
1181363.26,19.38,0.78,217345.69,3.56
1181391.68,19.38,0.78,217356.33,3.57
1181221.67,19.38,0.78,217361.66,3.57
1181054.64,19.38,0.78,217764.32,3.57
1181406.01,19.39,0.79,217841.8,3.57
1181238.98,19.39,0.79,218086.76,3.58
1181604.07,19.39,0.8,218083.63,3.58
1181437.04,19.39,0.8,218081.62,3.58
1181788.41,19.4,0.8,218006.93,3.58
1181788.41,19.4,0.8,217979.6,3.58
1181595.82,19.4,0.8,217952.5,3.58
1181628.87,19.4,0.8,217964.53,3.58
1181461.83,19.4,0.8,217887.04,3.58
1181302.29,19.4,0.8,217893.21,3.58
1181325.03,19.41,0.81,217903.85,3.58
1181158.0,19.41,0.81,217901.85,3.58
1181174.52,19.41,0.81,217886.08,3.58
1181014.97,19.41,0.81,217892.26,3.58
1181288.14,19.41,0.81,217897.64,3.58
1181309.07,19.42,0.82,217994.97,3.58
1181106.42,19.42,0.82,217953.09,3.58
1181271.34,19.42,0.82,217952.88,3.58
1181304.39,19.42,0.82,217964.91,3.58
1181304.39,19.42,0.82,217939.22,3.58
1181724.37,19.43,0.83,217998.08,3.58
1182075.75,19.44,0.84,218520.2,3.59
1182440.84,19.44,0.84,218523.93,3.59
1182469.26,19.45,0.85,218534.57,3.59
1182302.22,19.45,0.85,218530.09,3.59
1182330.64,19.45,0.85,218540.73,3.6
1182347.16,19.45,0.85,218534.13,3.59
1182363.69,19.45,0.85,218502.46,3.59
1182171.1,19.45,0.85,218479.06,3.59
1182192.03,19.45,0.85,218402.35,3.59
1182192.03,19.45,0.85,218332.46,3.59
1182192.03,19.45,0.85,218305.13,3.59
1182181.72,19.46,0.86,218164.46,3.59
1182513.77,19.46,0.86,218117.98,3.59
1182354.22,19.46,0.86,218119.06,3.59
1182194.68,19.46,0.86,218114.64,3.59
1182035.13,19.46,0.86,218111.07,3.59
1182191.99,19.47,0.87,218148.69,3.59
1182024.95,19.47,0.87,218071.19,3.59
1182045.88,19.47,0.87,218168.52,3.59
1183188.78,19.49,0.89,219039.52,3.61
1183029.23,19.49,0.89,219030.03,3.61
1182862.2,19.49,0.89,219028.02,3.61
1182695.17,19.49,0.89,219006.52,3.61
1182684.86,19.49,0.89,218987.04,3.61
1182681.88,19.5,0.89,218887.69,3.61
1182955.05,19.5,0.9,218893.02,3.61
1182788.02,19.5,0.9,218813.4,3.61
1183061.19,19.51,0.91,218818.78,3.61
1182901.64,19.51,0.91,218822.05,3.61
1182709.05,19.51,0.91,218798.02,3.61
