ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
1,2,0,6212,0
2,3,810,6212,810
3,5,1810,6212,1810
4,9,2810,6212,2810
5,11,3810,6212,3810
5,11,4620,6212,4620
5,11,5090,6212,5090
6,13,5740,6212,5740
6,13,6550,6212,6550
6,13,6780,6212,6780
7,14,7590,6212,7590
8,16,8590,6212,8590
8,16,9060,6212,9060
9,18,9520,6212,9520
9,18,9520,6212,9520
10,20,10520,6212,10520
10,20,10980,6212,10980
11,21,11440,6212,11440
11,21,12440,6212,12440
12,23,13440,6212,13440
13,27,13440,6212,13440
14,29,13910,6212,13910
15,33,13910,6212,13910
15,33,14720,6212,14720
15,33,14880,6212,14880
16,35,14880,6212,14880
16,35,15880,6212,15880
17,37,16880,6212,16880
17,37,17690,6212,17690
18,39,18690,6212,18690
19,41,18800,6212,18800
20,43,19800,6212,19800
20,43,19800,6212,19800
21,44,20270,6212,20270
22,46,21270,6212,21270
23,48,22270,6212,22270
24,50,23270,6212,23270
25,52,24270,6212,24270
26,54,25270,6212,25270
27,56,25740,6212,25740
28,60,25740,6212,25740
28,60,26740,6212,26740
29,62,26740,6212,26740
30,64,27740,6212,27740
30,64,28060,6212,28060
31,66,29060,6212,29060
32,68,29060,6212,29060
33,70,29380,6212,29380
33,70,30380,6212,30380
33,70,31190,6212,31190
34,72,31190,6212,31190
34,72,31560,6212,31560
35,74,32560,6212,32560
36,76,33560,6212,33560
36,76,34560,6212,34560
36,76,34880,6212,34880
37,78,35880,6212,35880
38,80,36880,6212,36880
38,80,37880,6212,37880
38,80,38690,6212,38690
39,81,39690,6212,39690
39,81,40690,6212,40690
39,81,41010,6212,41010
40,83,42010,6212,42010
40,83,43010,6212,43010
41,85,44010,6212,44010
42,87,45010,6212,45010
42,87,45010,6212,45010
43,89,46010,6212,46010
44,91,47010,6212,47010
44,91,47480,6212,47480
44,91,48290,6212,48290
45,93,49290,6212,49290
46,95,50290,6212,50290
46,95,51100,6212,51100
47,97,51100,6212,51100
47,97,52100,6212,52100
48,99,53100,6212,53100
48,99,53910,6212,53910
49,107,57910,6212,57910
50,109,57910,6212,57910
50,109,58720,6212,58720
