ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
1,8,0,6212,0
2,9,810,6212,810
3,10,1810,6212,1810
4,14,2810,6212,2810
4,14,3810,6212,3810
5,15,4620,6212,4620
6,16,5090,6212,5090
7,17,5740,6212,5740
8,18,6550,6212,6550
8,18,6780,6212,6780
9,19,7590,6212,7590
9,19,8590,6212,8590
10,21,9060,6212,9060
10,21,9520,6212,9520
10,21,9520,6212,9520
11,23,10520,6212,10520
11,23,10980,6212,10980
11,23,11440,6212,11440
11,23,12440,6212,12440
12,25,13440,6212,13440
12,25,13440,6212,13440
13,27,13910,6212,13910
13,27,13910,6212,13910
13,27,14720,6212,14720
13,27,14880,6212,14880
13,27,14880,6212,14880
13,27,15880,6212,15880
14,29,16880,6212,16880
15,30,17690,6212,17690
16,32,18690,6212,18690
16,32,18800,6212,18800
17,34,19800,6212,19800
18,42,19800,6212,19800
18,42,20270,6212,20270
18,42,21270,6212,21270
19,44,22270,6212,22270
19,44,23270,6212,23270
20,46,24270,6212,24270
20,46,25270,6212,25270
21,48,25740,6212,25740
21,48,25740,6212,25740
22,50,26740,6212,26740
22,50,26740,6212,26740
22,50,27740,6212,27740
22,50,28060,6212,28060
23,52,29060,6212,29060
23,52,29060,6212,29060
23,52,29380,6212,29380
23,52,30380,6212,30380
24,53,31190,6212,31190
24,53,31190,6212,31190
24,53,31560,6212,31560
25,55,32560,6212,32560
25,55,33560,6212,33560
25,55,34560,6212,34560
26,56,34880,6212,34880
27,58,35880,6212,35880
27,58,36880,6212,36880
27,58,37880,6212,37880
28,59,38690,6212,38690
29,60,39690,6212,39690
30,61,40690,6212,40690
30,61,41010,6212,41010
31,63,42010,6212,42010
31,63,43010,6212,43010
32,65,44010,6212,44010
32,65,45010,6212,45010
33,73,45010,6212,45010
34,75,46010,6212,46010
34,75,47010,6212,47010
