ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1179977.54,19.0,0.41,219985.21,3.54
1179540.33,18.99,0.4,219451.64,3.53
1179337.67,18.99,0.4,219330.87,3.53
1179167.67,18.99,0.4,218555.58,3.52
1179123.91,18.99,0.41,219608.24,3.54
1178692.9,18.99,0.4,219218.54,3.53
1178597.24,18.99,0.4,219026.51,3.53
1178719.06,18.99,0.41,219180.34,3.53
1178281.85,18.99,0.4,218646.76,3.52
1178077.13,18.99,0.4,218489.22,3.52
1177639.92,18.98,0.39,217955.64,3.51
1178056.34,18.99,0.4,217723.47,3.51
1178318.33,19.0,0.41,217818.82,3.51
1177959.31,18.99,0.41,217817.62,3.51
1177975.83,18.99,0.41,217805.77,3.51
1178204.18,19.0,0.41,217551.39,3.51
1178474.26,19.0,0.42,217782.71,3.51
1178117.14,19.0,0.41,217525.63,3.51
1177422.04,18.99,0.41,216844.98,3.5
1177255.0,18.99,0.41,216836.03,3.5
1177271.53,18.99,0.41,216821.49,3.5
1177533.52,19.0,0.41,216916.83,3.5
1177871.2,19.0,0.42,223481.25,3.61
1177892.13,19.01,0.42,223784.77,3.61
1177733.67,19.0,0.42,223626.32,3.61
1182313.51,19.08,0.49,224842.79,3.63
1182146.48,19.08,0.49,224770.11,3.63
1182391.6,19.09,0.5,224578.31,3.63
1181954.4,19.08,0.49,224044.74,3.62
1182216.31,19.09,0.5,223823.92,3.61
1182107.85,19.09,0.5,223715.47,3.61
1181915.26,19.09,0.5,223701.64,3.61
1181931.78,19.09,0.5,223694.8,3.61
1181562.76,19.08,0.5,223455.7,3.61
1181370.17,19.08,0.5,223380.88,3.61
1181177.58,19.08,0.5,223373.66,3.61
1180984.99,19.08,0.5,223292.23,3.61
1180817.96,19.08,0.5,223283.29,3.61
1180650.92,19.08,0.5,223210.61,3.61
1180912.91,19.09,0.5,223305.95,3.61
1180929.44,19.09,0.5,223293.03,3.61
1180736.85,19.09,0.5,223214.98,3.61
1180736.85,19.09,0.5,224787.13,3.63
1180544.25,19.09,0.5,224776.54,3.63
1180322.98,19.09,0.5,224604.56,3.63
1180584.89,19.09,0.51,224383.75,3.63
1180584.89,19.09,0.51,225026.69,3.64
1180936.26,19.1,0.51,225742.47,3.65
1180224.37,19.09,0.5,224999.24,3.64
1179793.36,19.09,0.5,224609.54,3.63
1183018.35,19.14,0.55,226745.99,3.67
1182799.19,19.14,0.55,226454.6,3.66
1182632.15,19.14,0.55,226452.59,3.66
1182465.12,19.14,0.55,226372.97,3.66
1181736.45,19.13,0.54,225658.76,3.65
1181744.36,19.13,0.54,225568.28,3.65
1181551.77,19.13,0.54,225486.56,3.65
1181359.18,19.13,0.54,225479.64,3.65
1180630.51,19.12,0.53,224765.42,3.64
1180193.3,19.12,0.53,224231.85,3.63
1179567.64,19.11,0.52,223509.82,3.62
1178941.98,19.1,0.51,222787.79,3.61
1178668.41,19.1,0.51,222516.24,3.61
1178501.38,19.1,0.51,222439.1,3.61
1178334.34,19.1,0.51,222434.62,3.61
1178167.31,19.1,0.51,222425.67,3.61
1178000.28,19.1,0.51,222352.99,3.61
1178033.33,19.1,0.51,222365.69,3.61
1177866.29,19.1,0.51,222288.55,3.61
1177699.26,19.1,0.51,222284.07,3.61
1177603.6,19.1,0.51,222092.04,3.6
1177166.39,19.1,0.51,221558.46,3.59
1176999.36,19.1,0.51,221549.52,3.6
1176832.33,19.1,0.51,221476.84,3.59
1176395.12,19.09,0.5,220943.26,3.59
1176395.12,19.09,0.5,220910.81,3.59
1176640.25,19.1,0.51,220730.14,3.58
1176473.22,19.1,0.51,220721.19,3.58
1176036.01,19.1,0.51,220187.62,3.58
1175303.34,19.1,0.51,222560.38,3.62
1177290.69,19.13,0.54,223739.35,3.64
1176853.48,19.13,0.53,223205.77,3.63
1176870.0,19.13,0.53,223198.94,3.63
1176432.8,19.12,0.53,222665.36,3.62
1176265.76,19.12,0.53,222592.68,3.62
1175553.88,19.11,0.52,221838.33,3.61
1175570.4,19.11,0.52,221825.4,3.61
1175139.39,19.11,0.52,221435.7,3.6
1174972.36,19.11,0.52,221358.4,3.6
1174805.32,19.11,0.52,221354.08,3.6
1175338.56,19.12,0.53,221419.05,3.6
1175171.53,19.12,0.53,221410.1,3.6
1175328.38,19.13,0.53,221447.72,3.6
1175349.32,19.13,0.54,221752.14,3.61
1175182.28,19.13,0.54,221679.46,3.61
1175015.25,19.13,0.54,221602.16,3.61
1175277.24,19.14,0.54,221697.5,3.61
1174983.35,19.13,0.54,221486.27,3.61
1174983.35,19.13,0.54,223058.42,3.63
1175004.29,19.14,0.54,223361.95,3.64
1174567.08,19.13,0.54,222828.37,3.63
1174390.14,19.13,0.54,222555.06,3.63
1173952.93,19.12,0.53,222021.49,3.62
1173952.93,19.12,0.53,222664.43,3.63
1177177.92,19.18,0.58,224800.88,3.66
1177010.89,19.18,0.58,224796.56,3.66
1177239.24,19.18,0.59,224542.18,3.66
1177072.2,19.18,0.59,224540.17,3.66
1176635.0,19.18,0.59,224006.6,3.65
1176467.97,19.18,0.59,223926.98,3.65
1176098.94,19.18,0.58,223687.88,3.65
1176327.29,19.18,0.59,223433.5,3.64
1176572.42,19.19,0.59,223241.7,3.64
1176233.83,19.19,0.59,222595.61,3.63
1176478.96,19.19,0.6,222414.93,3.63
1176311.92,19.19,0.6,222454.13,3.63
1176144.89,19.2,0.6,222333.31,3.63
1176144.89,19.2,0.6,222333.31,3.63
1179345.1,19.25,0.65,225937.92,3.69
1182545.31,19.3,0.7,229542.53,3.75
1182545.31,19.3,0.7,229542.53,3.75
1182378.27,19.3,0.7,229540.52,3.75
1181683.17,19.29,0.7,228859.87,3.74
1181516.13,19.29,0.7,228780.25,3.74
1180995.79,19.29,0.69,228330.31,3.73
1180995.79,19.29,0.69,228330.31,3.73
