ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
1,8,0,6212,0
2,9,810,6212,810
3,10,1810,6212,1810
4,14,2810,6212,2810
4,14,3810,6212,3810
4,14,4620,6212,4620
4,14,5090,6212,5090
5,15,5740,6212,5740
6,16,6550,6212,6550
6,16,6780,6212,6780
7,17,7590,6212,7590
8,19,8590,6212,8590
8,19,9060,6212,9060
8,19,9520,6212,9520
8,19,9520,6212,9520
9,21,10520,6212,10520
9,21,10980,6212,10980
10,22,11440,6212,11440
11,23,12440,6212,12440
12,25,13440,6212,13440
12,25,13440,6212,13440
12,25,13910,6212,13910
12,25,13910,6212,13910
13,27,14720,6212,14720
13,27,14880,6212,14880
13,27,14880,6212,14880
13,27,15880,6212,15880
14,29,16880,6212,16880
14,29,17690,6212,17690
15,31,18690,6212,18690
15,31,18800,6212,18800
16,33,19800,6212,19800
17,41,19800,6212,19800
17,41,20270,6212,20270
17,41,21270,6212,21270
18,43,22270,6212,22270
18,43,23270,6212,23270
19,45,24270,6212,24270
19,45,25270,6212,25270
20,47,25740,6212,25740
20,47,25740,6212,25740
20,47,26740,6212,26740
20,47,26740,6212,26740
21,49,27740,6212,27740
21,49,28060,6212,28060
22,51,29060,6212,29060
22,51,29060,6212,29060
22,51,29380,6212,29380
22,51,30380,6212,30380
22,51,31190,6212,31190
22,51,31190,6212,31190
22,51,31560,6212,31560
23,53,32560,6212,32560
23,53,33560,6212,33560
24,54,34560,6212,34560
25,55,34880,6212,34880
26,57,35880,6212,35880
26,57,36880,6212,36880
27,58,37880,6212,37880
28,59,38690,6212,38690
29,60,39690,6212,39690
30,61,40690,6212,40690
30,61,41010,6212,41010
31,63,42010,6212,42010
31,63,43010,6212,43010
32,65,44010,6212,44010
32,65,45010,6212,45010
33,73,45010,6212,45010
34,75,46010,6212,46010
34,75,47010,6212,47010
35,76,47480,6212,47480
36,77,48290,6212,48290
