ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
1179977.54,19.0,0.41,219985.21,3.54
1179540.33,18.99,0.4,219451.64,3.53
1179337.67,18.99,0.4,219330.87,3.53
1179172.45,18.99,0.4,219317.22,3.53
1178969.79,18.99,0.4,219196.45,3.53
1178538.78,18.99,0.4,218806.75,3.52
1178443.12,18.99,0.4,218614.72,3.52
1178599.97,18.99,0.4,218652.33,3.52
1178162.76,18.99,0.4,218118.76,3.51
1177958.63,18.98,0.4,218210.0,3.52
1177521.42,18.98,0.39,217676.43,3.51
1177354.39,18.98,0.39,217568.95,3.51
1177593.15,18.98,0.4,217660.05,3.51
1177231.8,18.98,0.39,217669.06,3.51
1177231.8,18.98,0.39,217667.98,3.51
1177064.77,18.98,0.39,217590.49,3.51
1176977.57,18.98,0.39,217406.93,3.51
1176890.38,18.98,0.39,217223.37,3.5
1176264.72,18.97,0.39,216501.34,3.49
1176097.68,18.97,0.39,216497.2,3.49
1176097.68,18.97,0.39,216511.67,3.49
1176359.67,18.98,0.39,216607.01,3.49
1176359.67,18.98,0.39,216600.59,3.49
1176380.61,18.98,0.39,216904.11,3.5
1176222.64,18.98,0.39,216876.57,3.5
1176222.64,18.98,0.39,216876.57,3.5
1175596.98,18.97,0.39,216154.54,3.49
1175404.39,18.97,0.39,216035.79,3.49
1174967.18,18.97,0.38,215502.22,3.48
1174774.59,18.97,0.38,215420.49,3.48
1174664.84,18.97,0.38,215319.45,3.48
1174472.25,18.97,0.38,215312.53,3.48
1174472.25,18.97,0.38,215312.53,3.48
1174103.23,18.96,0.37,214949.57,3.47
1173936.19,18.96,0.37,214947.57,3.47
1173769.16,18.96,0.37,214867.95,3.47
1173570.89,18.96,0.37,214847.6,3.47
1173372.62,18.96,0.37,214904.48,3.47
1173174.35,18.96,0.37,214865.87,3.47
1173408.8,18.97,0.38,214838.86,3.47
1173408.8,18.97,0.38,214838.86,3.47
1173229.37,18.97,0.38,215806.83,3.49
1173229.37,18.97,0.38,215806.83,3.49
1173059.76,18.97,0.38,215808.94,3.49
1172834.79,18.97,0.38,215398.85,3.48
1172632.13,18.97,0.38,215365.74,3.48
1172632.13,18.97,0.38,215365.74,3.48
1172686.47,18.97,0.38,215323.71,3.48
1172060.81,18.96,0.37,214601.68,3.47
1171629.8,18.96,0.37,214211.98,3.47
1171629.8,18.96,0.37,214211.98,3.47
1171626.82,18.96,0.37,214112.63,3.46
1171424.16,18.96,0.37,214140.47,3.47
1171221.5,18.96,0.37,214116.45,3.47
1170595.84,18.95,0.36,213394.42,3.45
1170603.74,18.95,0.36,213303.94,3.45
1170401.09,18.95,0.36,213287.69,3.45
1170198.43,18.95,0.36,213365.29,3.46
1169572.76,18.94,0.36,212643.26,3.44
1169141.75,18.94,0.35,212253.56,3.44
1168516.09,18.93,0.35,211531.53,3.43
1167890.43,18.92,0.34,210809.5,3.42
1167616.86,18.92,0.34,210537.95,3.41
1167449.83,18.92,0.34,210460.81,3.41
1166824.17,18.91,0.33,209738.78,3.4
1166621.51,18.91,0.33,209724.44,3.4
1166418.85,18.91,0.33,209648.79,3.4
1166418.85,18.91,0.33,209648.79,3.4
1166249.24,18.91,0.33,209650.9,3.4
1166046.58,18.91,0.33,209625.66,3.4
1165950.92,18.91,0.33,209433.63,3.4
1165612.33,18.91,0.33,208787.53,3.39
1165409.67,18.91,0.33,208775.49,3.39
1165207.01,18.91,0.33,208795.52,3.39
1164686.67,18.9,0.32,208345.58,3.38
1164686.67,18.9,0.32,208345.58,3.38
1164484.01,18.9,0.32,208327.8,3.38
1164281.35,18.9,0.32,208313.82,3.38
1163942.76,18.9,0.32,207667.72,3.37
1163205.44,18.9,0.32,207724.99,3.38
1163205.44,18.9,0.32,207752.14,3.38
1162685.1,18.9,0.31,207302.2,3.37
1162685.1,18.9,0.31,207323.97,3.37
1162680.48,18.9,0.31,208081.05,3.38
1162513.44,18.9,0.31,208076.57,3.38
1162320.46,18.9,0.31,207297.86,3.37
1162320.46,18.9,0.31,207297.86,3.37
1162234.65,18.9,0.32,207329.24,3.37
1162031.99,18.9,0.32,207452.3,3.37
1161829.33,18.9,0.32,207320.31,3.37
1161636.74,18.9,0.32,207235.8,3.37
1161444.15,18.9,0.32,207231.67,3.37
1161601.0,18.9,0.32,207269.28,3.37
1161596.37,18.91,0.32,206754.35,3.37
1161429.34,18.91,0.32,206949.84,3.37
1161236.75,18.91,0.32,206865.52,3.37
1161498.74,18.91,0.33,206960.86,3.37
1161204.85,18.91,0.32,206676.13,3.37
1161204.85,18.91,0.32,206676.13,3.37
1161225.79,18.91,0.33,206979.66,3.37
1161221.16,18.91,0.33,207159.06,3.37
1161452.79,18.92,0.33,206843.96,3.37
1161438.74,18.92,0.34,207737.19,3.38
1161438.74,18.92,0.34,207737.19,3.38
1161438.74,18.92,0.34,207737.19,3.38
1161271.71,18.92,0.34,207660.04,3.38
1161104.68,18.92,0.34,207655.56,3.38
1160937.64,18.92,0.34,207653.55,3.38
1160927.34,18.92,0.34,207113.69,3.38
1160760.31,18.92,0.34,207034.07,3.38
1160391.28,18.92,0.33,206795.51,3.37
1160224.25,18.92,0.33,206718.21,3.37
1160057.22,18.92,0.33,206713.89,3.37
1160046.91,18.92,0.34,206497.39,3.37
1159877.3,18.92,0.34,206506.57,3.37
1159674.64,18.92,0.34,206466.74,3.37
1159471.98,18.92,0.34,206462.22,3.37
1159471.98,18.92,0.34,206462.22,3.37
1159471.98,18.92,0.34,206388.51,3.37
1159471.98,18.92,0.34,206387.44,3.37
1159471.98,18.92,0.34,206387.44,3.37
1159269.32,18.92,0.34,206406.91,3.37
1159066.66,18.92,0.34,206387.07,3.37
1158864.0,18.92,0.34,206375.24,3.37
1158849.31,18.92,0.34,206627.04,3.37
1158849.31,18.92,0.34,206627.04,3.37
