name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0260,,G2,96,8,412316860416,20000,11,1344,412316860416,0,0,0,0,0,0,0,0,30,600,190,3800,190,3800,70,1400,480,9600
0001-openb-node-0858,,G2,96,8,412316860416,20000,10,440,412316860416,0,0,190,3800,30,600,0,0,540,10800,1000,20000,1000,20000,1000,20000,3760,75200
0002-openb-node-0619,,G2,96,8,412316860416,20000,15,1024,412316860416,30,600,30,600,190,3800,190,3800,70,1400,190,3800,130,2600,0,0,830,16600
0003-openb-node-0582,,G2,96,8,412316860416,20000,11,228,412316860416,0,0,0,0,190,3800,60,1200,190,3800,160,3200,0,0,0,0,600,12000
0004-openb-node-0882,,T4,104,2,549755813888,15109,7,692,549755813888,10,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,151
0005-openb-node-1135,,G2,96,8,412316860416,20000,13,1224,412316860416,0,0,70,1400,30,600,130,2600,60,1200,190,3800,190,3800,190,3800,860,17200
0006-openb-node-0431,,P100,16,2,128849018880,16280,3,7848,128849018880,0,0,30,488,0,0,0,0,0,0,0,0,0,0,0,0,30,488
0007-openb-node-1096,,T4,104,2,549755813888,15109,7,2400,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0008-openb-node-1052,,P100,16,2,128849018880,16280,2,600,128849018880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0009-openb-node-0985,,P100,16,2,128849018880,16280,2,4848,128849018880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010-openb-node-1151,,T4,104,2,549755813888,15109,8,4540,549755813888,60,906,30,453,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0011-openb-node-1171,,G2,96,8,412316860416,20000,11,8884,412316860416,70,1400,0,0,210,4200,120,2400,0,0,1000,20000,1000,20000,1000,20000,3400,68000
0012-openb-node-0016,,P100,64,2,274877906944,16280,4,2692,274877906944,70,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1139
0013-openb-node-0003,,P100,64,2,274877906944,16280,5,200,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0014-openb-node-0877,,T4,104,2,549755813888,15109,8,3400,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015-openb-node-0256,,V100M32,96,8,824633720832,32510,10,3340,824633720832,0,0,0,0,0,0,0,0,210,6827,0,0,0,0,0,0,210,6827
0016-openb-node-0382,,G2,96,8,412316860416,20000,11,680,412316860416,190,3800,70,1400,0,0,190,3800,60,1200,530,10600,350,7000,1000,20000,2390,47800
0017-openb-node-0280,,G2,96,8,412316860416,20000,7,1276,412316860416,0,0,0,0,0,0,350,7000,0,0,0,0,0,0,1000,20000,1350,27000
0018-openb-node-0080,,G2,96,8,412316860416,20000,12,1428,412316860416,30,600,70,1400,190,3800,30,600,60,1200,0,0,190,3800,0,0,570,11400
0019-openb-node-0320,,G3,128,8,824633720832,30000,14,216,824633720832,30,900,30,900,0,0,0,0,190,5700,0,0,0,0,0,0,250,7500
0020-openb-node-1170,,G3,128,8,824633720832,30000,14,2528,824633720832,190,5700,190,5700,160,4800,190,5700,190,5700,190,5700,30,900,190,5700,1330,39900
0021-openb-node-0764,,G2,96,8,412316860416,20000,10,692,412316860416,190,3800,0,0,0,0,0,0,190,3800,190,3800,0,0,0,0,570,11400
0022-openb-node-0717,,T4,104,2,549755813888,15109,6,3082,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0023-openb-node-0074,,G2,96,8,412316860416,20000,12,680,412316860416,30,600,190,3800,0,0,190,3800,180,3600,190,3800,190,3800,190,3800,1160,23200
0024-openb-node-0430,,P100,16,2,128849018880,16280,2,848,128849018880,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0025-openb-node-0466,,G2,96,8,412316860416,20000,10,884,412316860416,0,0,0,0,0,0,190,3800,120,2400,0,0,190,3800,190,3800,690,13800
0026-openb-node-0989,,P100,8,2,64424509440,16280,2,1696,64424509440,190,3093,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,380,6186
0027-openb-node-0321,,G2,96,8,412316860416,20000,10,3544,412316860416,190,3800,0,0,0,0,0,0,190,3800,0,0,0,0,0,0,380,7600
0028-openb-node-0014,,P100,64,2,274877906944,16280,5,800,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0029-openb-node-1026,,T4,104,2,549755813888,15109,5,4100,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0030-openb-node-0019,,P100,64,2,274877906944,16280,4,2190,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0031-openb-node-0780,,T4,104,2,549755813888,15109,5,4100,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0032-openb-node-0849,,G2,96,8,412316860416,20000,9,5730,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0033-openb-node-0775,,T4,104,2,549755813888,15109,6,3900,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0034-openb-node-1196,,T4,104,2,549755813888,15109,6,2400,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0035-openb-node-1066,,G2,96,8,412316860416,20000,12,1938,412316860416,60,1200,0,0,0,0,0,0,0,0,0,0,80,1600,0,0,140,2800
0036-openb-node-0853,,G2,96,8,412316860416,20000,10,56,412316860416,0,0,190,3800,30,600,0,0,190,3800,0,0,350,7000,60,1200,820,16400
0037-openb-node-1080,,V100M16,8,1,34359738368,16160,2,848,34359738368,30,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,484
0038-openb-node-0912,,G2,96,8,412316860416,20000,12,3968,412316860416,190,3800,60,1200,0,0,0,0,120,2400,0,0,190,3800,160,3200,720,14400
0039-openb-node-0477,,G2,96,8,412316860416,20000,10,3478,412316860416,0,0,190,3800,0,0,0,0,0,0,190,3800,0,0,0,0,380,7600
0040-openb-node-0632,,G2,96,8,412316860416,20000,12,384,412316860416,0,0,0,0,30,600,60,1200,190,3800,0,0,0,0,0,0,280,5600
0041-openb-node-1161,,T4,104,2,549755813888,15109,5,484,549755813888,0,0,60,906,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0042-openb-node-0333,,G3,128,8,824633720832,30000,15,2724,824633720832,60,1800,190,5700,190,5700,190,5700,190,5700,190,5700,0,0,210,6300,1220,36600
0043-openb-node-1003,,P100,16,2,128849018880,16280,4,1696,128849018880,30,488,30,488,0,0,0,0,0,0,0,0,0,0,0,0,60,976
0044-openb-node-0169,,G3,128,8,824633720832,30000,3,0,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0045-openb-node-0141,,G2,96,8,412316860416,20000,12,628,412316860416,80,1600,0,0,210,4200,0,0,0,0,60,1200,190,3800,0,0,540,10800
0046-openb-node-0681,,G2,96,8,412316860416,20000,10,2178,412316860416,0,0,0,0,0,0,0,0,0,0,190,3800,0,0,0,0,190,3800
0047-openb-node-0561,,G2,96,8,412316860416,20000,10,870,412316860416,30,600,0,0,0,0,0,0,190,3800,0,0,0,0,0,0,220,4400
0048-openb-node-0153,,G2,96,8,412316860416,20000,5,13496,412316860416,0,0,0,0,0,0,0,0,530,10600,0,0,190,3800,1000,20000,1720,34400
0049-openb-node-0390,,T4,104,2,549755813888,15109,5,1640,549755813888,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0050-openb-node-0928,,T4,104,2,549755813888,15109,6,0,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0051-openb-node-0384,,G2,96,8,412316860416,20000,11,440,412316860416,0,0,0,0,30,600,0,0,0,0,190,3800,0,0,0,0,220,4400
0052-openb-node-0893,,G2,96,8,412316860416,20000,12,2444,412316860416,70,1400,0,0,190,3800,90,1800,190,3800,0,0,190,3800,0,0,730,14600
0053-openb-node-0065,,V100M32,96,8,824633720832,32510,12,1612,824633720832,60,1950,120,3901,0,0,30,975,190,6176,130,4226,0,0,0,0,530,17228
0054-openb-node-0511,,G2,96,8,412316860416,20000,10,744,412316860416,0,0,190,3800,0,0,0,0,0,0,0,0,0,0,190,3800,380,7600
0055-openb-node-0282,,G2,96,8,412316860416,20000,10,2392,412316860416,190,3800,0,0,0,0,0,0,190,3800,190,3800,0,0,0,0,570,11400
0056-openb-node-0168,,G3,128,8,824633720832,30000,6,7400,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0057-openb-node-0957,,G2,96,8,412316860416,20000,11,2092,412316860416,0,0,30,600,0,0,0,0,0,0,0,0,0,0,190,3800,220,4400
0058-openb-node-0543,,P100,16,2,128849018880,16280,3,1696,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0059-openb-node-0422,,T4,104,2,549755813888,15109,7,148,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0060-openb-node-0391,,T4,104,2,549755813888,15109,5,1384,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
